Second Blank for NH3-H2O Specific Heat - Large HF,,,,
Creation Date : 7/8/2022 3:02:26 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 0 mg,,,,
 Molar Mass : N/A,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,299.096148,299.097733,-1.023605
2,11.6,299.095059,299.098387,-0.986912
3,23.2,299.093533,299.098605,-0.953306
4,34.8,299.092524,299.098248,-0.921415
5,46.4,299.091395,299.098288,-0.892268
6,58,299.09076,299.098645,-0.86912
7,69.6,299.08874,299.098565,-0.842716
8,81.2,299.088067,299.09809,-0.817341
9,92.8,299.087471,299.098742,-0.794022
10,104.4,299.085966,299.098782,-0.773618
11,116,299.085274,299.09894,-0.755101
12,127.6,299.084343,299.098961,-0.736583
13,139.2,299.083094,299.098406,-0.717723
14,150.8,299.082005,299.098803,-0.702635
15,162.4,299.080996,299.098546,-0.686518
16,174,299.080342,299.099554,-0.6728
17,185.6,299.079153,299.098645,-0.658056
18,197.2,299.078242,299.099575,-0.647082
19,208.8,299.076855,299.098584,-0.632166
20,220.4,299.07638,299.09916,-0.620849
21,232,299.07535,299.099179,-0.609533
22,243.6,299.074478,299.099396,-0.597359
23,255.2,299.073309,299.09898,-0.589129
24,266.8,299.072596,299.099198,-0.577127
25,278.4,299.070893,299.099516,-0.57044
26,290,299.070437,299.099514,-0.562896
27,301.6,299.069407,299.099476,-0.552951
28,313.2,299.068457,299.099139,-0.545065
29,324.8,299.067427,299.098624,-0.539064
30,336.4,299.06614,299.099219,-0.531348
31,348,299.065604,299.099297,-0.524147
32,359.6,299.064059,299.098565,-0.518489
33,371.2,299.063286,299.098782,-0.51043
34,382.8,299.062039,299.098643,-0.505801
35,394.4,299.061385,299.098387,-0.499114
36,406,299.059662,299.098425,-0.494485
37,417.6,299.058909,299.097752,-0.488827
38,429.2,299.057007,299.098723,-0.486255
39,440.8,299.055403,299.098009,-0.479397
40,452.4,299.054472,299.098071,-0.475625
41,464,299.053067,299.09791,-0.469624
42,475.6,299.051957,299.097416,-0.466023
43,487.2,299.050433,299.098546,-0.462079
44,498.8,299.048708,299.097357,-0.45745
45,510.4,299.047362,299.09795,-0.455907
46,522,299.046034,299.097296,-0.450935
47,533.6,299.044508,299.097515,-0.450249
48,545.2,299.042925,299.097197,-0.446992
49,556.8,299.041558,299.096663,-0.440305
50,568.4,299.039439,299.097376,-0.43859
51,580,299.037932,299.097456,-0.43739
52,591.6,299.035853,299.097237,-0.433961
53,603.2,299.033713,299.097296,-0.433961
54,614.8,299.032505,299.096722,-0.428474
55,626.4,299.030009,299.096167,-0.426588
56,638,299.027989,299.096228,-0.421445
57,649.6,299.026127,299.095751,-0.421273
58,661.2,299.023236,299.095158,-0.41853
59,672.8,299.022026,299.095534,-0.416301
60,684.4,299.018778,299.095593,-0.413901
61,696,299.016085,299.094979,-0.411158
62,707.6,299.014143,299.095177,-0.409957
63,719.2,299.011054,299.094662,-0.4079
64,730.8,299.008717,299.094622,-0.407214
65,742.4,299.005547,299.094029,-0.405843
66,754,299.002575,299.09389,-0.402928
67,765.6,298.999743,299.093256,-0.4019
68,777.2,298.996638,299.093098,-0.399842
69,788.8,298.993292,299.092682,-0.396927
70,800.4,298.990008,299.092425,-0.394356
71,812,298.986248,299.091395,-0.394528
72,823.6,298.981598,299.091811,-0.391784
73,835.2,298.977066,299.091334,-0.390413
74,846.8,298.972336,299.090424,-0.389727
75,858.4,298.967924,299.08973,-0.386984
76,870,298.963312,299.089295,-0.38647
77,881.6,298.959553,299.089236,-0.384584
78,893.2,298.955,299.088858,-0.38647
79,904.8,298.950251,299.088343,-0.382527
80,916.4,298.9457,299.088324,-0.383384
81,928,298.940792,299.087611,-0.377726
82,939.6,298.935212,299.086066,-0.379098
83,951.2,298.929869,299.085926,-0.377212
84,962.8,298.924387,299.085036,-0.377384
85,974.4,298.91857,299.084502,-0.372926
86,986,298.912672,299.083571,-0.37447
87,997.6,298.906775,299.082976,-0.372069
88,1009.2,298.900029,299.082163,-0.371041
89,1020.8,298.893616,299.082381,-0.369155
90,1032.4,298.886492,299.08042,-0.369156
91,1044,298.88024,299.079489,-0.367613
92,1055.6,298.872977,299.079213,-0.366584
93,1067.2,298.865694,299.07844,-0.365384
94,1078.8,298.858689,299.077469,-0.364527
95,1090.4,298.850674,299.076043,-0.365042
96,1102,298.843274,299.075329,-0.361956
97,1113.6,298.835339,299.074379,-0.362642
98,1125.2,298.826533,299.073191,-0.362128
99,1136.8,298.818241,299.071566,-0.361614
100,1148.4,298.809,299.071032,-0.359214
101,1160,298.799916,299.069844,-0.358014
102,1171.6,298.791289,299.068873,-0.359558
103,1183.2,298.781176,299.06707,-0.355443
104,1194.8,298.771382,299.065504,-0.355444
105,1206.4,298.761368,299.065089,-0.35493
106,1218,298.75169,299.063584,-0.355616
107,1229.6,298.741145,299.061999,-0.353387
108,1241.2,298.730101,299.060732,-0.351502
109,1252.8,298.719653,299.059563,-0.353388
110,1264.4,298.708592,299.058018,-0.349617
111,1276,298.697213,299.055977,-0.348931
112,1287.6,298.685339,299.054234,-0.349446
113,1299.2,298.673268,299.052453,-0.350647
114,1310.8,298.660801,299.050749,-0.349105
115,1322.4,298.648333,299.049164,-0.347905
116,1334,298.635392,299.047203,-0.348077
117,1345.6,298.62237,299.045262,-0.349621
118,1357.2,298.609667,299.0434,-0.348764
119,1368.8,298.595379,299.041182,-0.345507
120,1380.4,298.581725,299.039082,-0.344136
121,1392,298.567339,299.037022,-0.345851
122,1403.6,298.552477,299.034764,-0.346366
123,1415.2,298.537814,299.032505,-0.343795
124,1426.8,298.523308,299.030129,-0.343282
125,1438.4,298.507893,299.028088,-0.345168
126,1450,298.492636,299.025374,-0.344483
127,1461.6,298.475874,299.023137,-0.34277
128,1473.2,298.459311,299.020621,-0.344142
129,1484.8,298.442847,299.017788,-0.342085
130,1496.4,298.426581,299.014876,-0.342086
131,1508,298.409285,299.011866,-0.34243
132,1519.6,298.391634,299.009667,-0.341745
133,1531.2,298.374398,299.006142,-0.342775
134,1542.8,298.356074,299.003071,-0.342948
135,1554.4,298.337611,299.001011,-0.341234
136,1566,298.318198,298.997864,-0.341749
137,1577.6,298.298546,298.995055,-0.340721
138,1589.2,298.278819,298.991749,-0.340551
139,1600.8,298.259385,298.988583,-0.338323
140,1612.4,298.239558,298.984862,-0.338324
141,1624,298.217966,298.981459,-0.340211
142,1635.6,298.197169,298.977896,-0.337126
143,1647.2,298.175896,298.974118,-0.336613
144,1658.8,298.153395,298.97016,-0.338157
145,1670.4,298.131569,298.965945,-0.338501
146,1682,298.10818,298.962363,-0.337645
147,1693.6,298.085125,298.958582,-0.337646
148,1705.2,298.06132,298.954428,-0.336276
149,1716.8,298.037276,298.950251,-0.337135
150,1728.4,298.012461,298.945563,-0.333364
151,1740,297.987408,298.941031,-0.334908
152,1751.6,297.961642,298.936301,-0.334053
153,1763.2,297.935461,298.931908,-0.333711
154,1774.8,297.908253,298.927159,-0.333713
155,1786.4,297.881754,298.922369,-0.334743
156,1798,297.852843,298.918017,-0.33423
157,1809.6,297.824229,298.91198,-0.33166
158,1821.2,297.795714,298.906895,-0.332004
159,1832.8,297.766188,298.901947,-0.331663
160,1844.4,297.735615,298.89704,-0.330464
161,1856,297.704745,298.890627,-0.32978
162,1867.6,297.673161,298.885523,-0.331668
163,1879.2,297.641123,298.879546,-0.331842
164,1890.8,297.608828,298.873352,-0.329957
165,1902.4,297.575562,298.867634,-0.332531
166,1914,297.541922,298.86134,-0.333219
167,1925.6,297.50648,298.855168,-0.332878
168,1937.2,297.471453,298.849467,-0.332023
169,1948.8,297.43524,298.842364,-0.333569
170,1960.4,297.398295,298.835062,-0.334771
171,1972,297.361824,298.828789,-0.335802
172,1983.6,297.323492,298.821743,-0.338034
173,1995.2,297.284886,298.814225,-0.336836
174,2006.8,297.245684,298.806822,-0.337868
175,2018.4,297.205809,298.800194,-0.342329
176,2030,297.165024,298.791903,-0.342503
177,2041.6,297.123488,298.783907,-0.343707
178,2053.2,297.080981,298.776289,-0.345939
179,2064.8,297.038178,298.768275,-0.345427
180,2076.4,296.994761,298.759804,-0.347316
181,2088,296.95093,298.75088,-0.349206
182,2099.6,296.905316,298.742983,-0.350752
183,2111.2,296.859862,298.733901,-0.351785
184,2122.8,296.813614,298.724224,-0.352474
185,2134.4,296.767229,298.715577,-0.355907
186,2146,296.718865,298.706335,-0.357283
187,2157.6,296.670245,298.696104,-0.357115
188,2169.2,296.620772,298.687357,-0.357461
189,2180.8,296.571062,298.676909,-0.359523
190,2192.4,296.5208,298.666125,-0.35987
191,2204,296.468972,298.656546,-0.359873
192,2215.6,296.416968,298.646218,-0.363822
193,2227.2,296.364468,298.634739,-0.364512
194,2238.8,296.311099,298.624251,-0.365374
195,2250.4,296.257212,298.613188,-0.363834
196,2262,296.201605,298.60183,-0.366754
197,2273.6,296.146376,298.590273,-0.365214
198,2285.2,296.089543,298.578816,-0.36985
199,2296.8,296.032887,298.566033,-0.368654
200,2308.4,295.975182,298.554594,-0.369515
201,2320,295.916725,298.541731,-0.370378
202,2331.6,295.857399,298.528908,-0.369696
203,2343.2,295.797776,298.515828,-0.373304
204,2354.8,295.737498,298.50261,-0.372622
205,2366.4,295.676766,298.489352,-0.371255
206,2378,295.614569,298.47621,-0.370058
207,2389.6,295.552157,298.46222,-0.37298
208,2401.2,295.489506,298.448111,-0.374529
209,2412.8,295.424542,298.433783,-0.372476
210,2424.4,295.360844,298.418684,-0.370765
211,2436,295.295861,298.403567,-0.370599
212,2447.6,295.230145,298.388844,-0.373007
213,2459.2,295.16358,298.373805,-0.371125
214,2470.8,295.097332,298.357974,-0.369929
215,2482.4,295.029421,298.342379,-0.368391
216,2494,294.961136,298.326727,-0.366337
217,2505.6,294.892338,298.309885,-0.366515
218,2517.2,294.823025,298.293421,-0.36206
219,2528.8,294.752684,298.27674,-0.35829
220,2540.4,294.682858,298.258593,-0.357096
221,2552,294.611607,298.241753,-0.355042
222,2563.6,294.540436,298.224043,-0.353676
223,2575.2,294.46875,298.206055,-0.353167
224,2586.8,294.395937,298.188225,-0.350256
225,2598.4,294.323618,298.169623,-0.347001
226,2610,294.24968,298.150902,-0.346493
227,2621.6,294.175938,298.13238,-0.343582
228,2633.2,294.101267,298.112967,-0.345991
229,2644.8,294.026816,298.093079,-0.342908
230,2656.4,293.951195,298.073607,-0.340684
231,2668,293.876761,298.053839,-0.34069
232,2679.6,293.80041,298.032725,-0.336578
233,2691.2,293.723486,298.012204,-0.3371
234,2702.8,293.646483,297.99091,-0.332644
235,2714.4,293.568846,297.970072,-0.329218
236,2726,293.491448,297.948819,-0.328367
237,2737.6,293.41391,297.926813,-0.325284
238,2749.2,293.335799,297.905621,-0.322373
239,2760.8,293.256978,297.883002,-0.322723
240,2772.4,293.178214,297.859473,-0.317237
241,2784,293.0987,297.837132,-0.316214
242,2795.6,293.018908,297.814394,-0.311071
243,2807.2,292.93896,297.79049,-0.30919
244,2818.8,292.858595,297.767317,-0.310399
245,2830.4,292.77837,297.743689,-0.305427
246,2842,292.697293,297.718676,-0.303203
247,2853.6,292.616692,297.694632,-0.303725
248,2865.2,292.534766,297.669876,-0.298753
249,2876.8,292.453141,297.645081,-0.29567
250,2888.4,292.371415,297.619355,-0.290183
251,2900,292.289944,297.593708,-0.292079
252,2911.6,292.206715,297.567845,-0.286248
253,2923.2,292.124081,297.542317,-0.282821
254,2934.8,292.041483,297.515643,-0.275616
255,2946.4,291.958809,297.489106,-0.276825
256,2958,291.875384,297.461579,-0.272368
257,2969.6,291.791266,297.433855,-0.267223
258,2981.2,291.707545,297.406784,-0.266028
259,2992.8,291.623488,297.379515,-0.261055
260,3004.4,291.539193,297.351631,-0.261062
261,3016,291.455571,297.322958,-0.259523
262,3027.6,291.370663,297.294146,-0.257985
263,3039.2,291.285656,297.265374,-0.251122
264,3050.8,291.200238,297.236819,-0.248209
265,3062.4,291.115923,297.206522,-0.24375
266,3074,291.031233,297.176224,-0.239119
267,3085.6,290.944588,297.147116,-0.237237
268,3097.2,290.859366,297.11583,-0.231747
269,3108.8,290.773194,297.086363,-0.226084
270,3120.4,290.68726,297.055375,-0.223514
271,3132,290.600972,297.02385,-0.218367
272,3143.6,290.514603,296.992585,-0.216999
273,3155.2,290.427819,296.961556,-0.215459
274,3166.8,290.341095,296.92924,-0.209281
275,3178.4,290.254332,296.897084,-0.205679
276,3190,290.167569,296.864769,-0.201733
277,3201.6,290.080628,296.831662,-0.19985
278,3213.2,289.993548,296.798258,-0.196763
