NH3-H2O 2wt%  Specific Heat - Large HF,,,,
Creation Date : 6/23/2022 3:57:25 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4874 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,297.956044,298.009711,31.443053
2,11.6,297.954499,298.009196,30.2845
3,23.2,297.952242,298.008522,29.169202
4,34.8,297.951174,298.008839,28.096958
5,46.4,297.948958,298.008581,27.062662
6,58,297.946564,298.008166,26.065272
7,69.6,297.944743,298.008067,25.103403
8,81.2,297.941992,298.008345,24.183233
9,92.8,297.939558,298.00787,23.291232
10,104.4,297.937323,298.007731,22.433376
11,116,297.934691,298.007672,21.610363
12,127.6,297.931584,298.007651,20.813094
13,139.2,297.928378,298.007018,20.047077
14,150.8,297.925805,298.007197,19.307989
15,162.4,297.922144,298.006958,18.600836
16,174,297.918581,298.006623,17.915653
17,185.6,297.915356,298.006424,17.259133
18,197.2,297.911557,298.005989,16.623899
19,208.8,297.907341,298.006009,16.013373
20,220.4,297.903147,298.005633,15.424308
21,232,297.899229,298.005574,14.862187
22,243.6,297.895073,298.004704,14.31621
23,255.2,297.890126,298.004822,13.79751
24,266.8,297.885634,298.004565,13.292032
25,278.4,297.880568,298.003754,12.804925
26,290,297.875382,298.003535,12.335833
27,301.6,297.870219,298.003298,11.888025
28,313.2,297.865271,298.002091,11.457391
29,324.8,297.859671,298.001635,11.040308
30,336.4,297.853596,298.001557,10.639698
31,348,297.848134,298.000765,10.26055
32,359.6,297.841505,298.000349,9.889466
33,371.2,297.83541,298.000033,9.53194
34,382.8,297.828524,297.998549,9.192961
35,394.4,297.821894,297.998629,8.864439
36,406,297.814888,297.997599,8.551544
37,417.6,297.807587,297.996985,8.24963
38,429.2,297.800206,297.996273,7.958703
39,440.8,297.793181,297.995343,7.683224
40,452.4,297.785206,297.994572,7.411864
41,464,297.776953,297.993027,7.155956
42,475.6,297.769177,297.992731,6.912397
43,487.2,297.760134,297.991465,6.675881
44,498.8,297.751446,297.990614,6.448803
45,510.4,297.742184,297.989861,6.232537
46,522,297.7333,297.988516,6.027946
47,533.6,297.723503,297.987585,5.832278
48,545.2,297.713908,297.986933,5.642787
49,556.8,297.703696,297.98527,5.460511
50,568.4,297.693961,297.984242,5.288357
51,580,297.683569,297.983193,5.122211
52,591.6,297.672707,297.982005,4.96705
53,603.2,297.661604,297.981213,4.818066
54,614.8,297.651057,297.978304,4.673211
55,626.4,297.639679,297.977295,4.541736
56,638,297.628062,297.976149,4.408887
57,649.6,297.616347,297.973933,4.288745
58,661.2,297.604277,297.972784,4.172717
59,672.8,297.591948,297.971537,4.064241
60,684.4,297.57952,297.969321,3.961949
61,696,297.566063,297.967343,3.86223
62,707.6,297.553557,297.966076,3.769202
63,719.2,297.540457,297.96374,3.681498
64,730.8,297.526327,297.962376,3.601344
65,742.4,297.512753,297.959841,3.525141
66,754,297.498505,297.95818,3.455801
67,765.6,297.484534,297.955588,3.391441
68,777.2,297.469811,297.953648,3.330855
69,788.8,297.454634,297.951748,3.27559
70,800.4,297.439654,297.949194,3.22273
71,812,297.424298,297.946484,3.175535
72,823.6,297.409178,297.944664,3.134001
73,835.2,297.393189,297.94221,3.092641
74,846.8,297.37714,297.939875,3.061579
75,858.4,297.359944,297.936827,3.031721
76,870,297.34346,297.933978,3.005466
77,881.6,297.326916,297.931149,2.982988
78,893.2,297.309145,297.928458,2.964457
79,904.8,297.292286,297.926062,2.951247
80,916.4,297.274754,297.922818,2.940957
81,928,297.255993,297.91981,2.93101
82,939.6,297.238024,297.916426,2.930848
