H2O 0wt%  Specific Heat - Large HF,,,,
Creation Date : 7/25/2022 9:36:48 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4985.9 mg,,,,
 Molar Mass : 18 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,298.77801,298.412175,79.789186
2,11.6,298.770789,298.414332,76.734353
3,23.2,298.764613,298.416111,73.788846
4,34.8,298.759388,298.417754,70.944249
5,46.4,298.753432,298.42013,68.200317
6,58,298.748307,298.421969,65.553377
7,69.6,298.744191,298.423651,62.996012
8,81.2,298.739975,298.425532,60.530437
9,92.8,298.735226,298.427372,58.151513
10,104.4,298.731606,298.429074,55.859589
11,116,298.727331,298.430994,53.644527
12,127.6,298.72373,298.433665,51.51299
13,139.2,298.720583,298.434773,49.452055
14,150.8,298.716942,298.435645,47.468511
15,162.4,298.713776,298.437622,45.556293
16,174,298.710253,298.439047,43.711016
17,185.6,298.707028,298.440276,41.932839
18,197.2,298.703961,298.441323,40.216778
19,208.8,298.701605,298.443619,38.561581
20,220.4,298.698559,298.445162,36.968695
21,232,298.69567,298.446568,35.428663
22,243.6,298.692404,298.447875,33.951434
23,255.2,298.689871,298.448981,32.519678
24,266.8,298.686665,298.450308,31.148481
25,278.4,298.684092,298.452187,29.820504
26,290,298.681578,298.45282,28.539236
27,301.6,298.679858,298.455037,27.308365
28,313.2,298.677226,298.455887,26.122143
29,324.8,298.673209,298.457709,24.974328
30,336.4,298.671526,298.458243,23.875101
31,348,298.669251,298.459649,22.811198
32,359.6,298.667569,298.460696,21.788824
33,371.2,298.664818,298.461943,20.803334
34,382.8,298.662621,298.463011,19.854049
35,394.4,298.659712,298.464318,18.938733
36,406,298.65712,298.465388,18.058249
37,417.6,298.65536,298.466416,17.210023
38,429.2,298.653498,298.466891,16.393202
39,440.8,298.651223,298.468197,15.602447
40,452.4,298.648888,298.469384,14.847211
41,464,298.646613,298.470196,14.113769
42,475.6,298.644694,298.47168,13.412058
43,487.2,298.642615,298.472451,12.736265
44,498.8,298.640221,298.473421,12.084317
45,510.4,298.638361,298.474371,11.456732
46,522,298.636145,298.475003,10.853342
47,533.6,298.633513,298.475974,10.272938
48,545.2,298.632126,298.477299,9.713464
49,556.8,298.630406,298.47815,9.175955
50,568.4,298.627694,298.478882,8.656632
51,580,298.625616,298.479515,8.160301
52,591.6,298.623639,298.480742,7.681294
53,603.2,298.621559,298.481751,7.218415
54,614.8,298.619107,298.482384,6.77424
55,626.4,298.617245,298.482939,6.348252
56,638,298.614258,298.483908,5.938388
57,649.6,298.612694,298.484581,5.544482
58,661.2,298.610161,298.485274,5.162586
59,672.8,298.607846,298.486086,4.798703
60,684.4,298.605254,298.48749,4.446141
61,696,298.603354,298.488005,4.111941
62,707.6,298.601078,298.48852,3.784946
63,719.2,298.599238,298.489014,3.476652
64,730.8,298.596447,298.489747,3.175392
65,742.4,298.594092,298.490795,2.887341
66,754,298.591441,298.491507,2.612329
67,765.6,298.588789,298.491488,2.346585
68,777.2,298.586672,298.49222,2.092333
69,788.8,298.583525,298.49321,1.845629
70,800.4,298.581467,298.493527,1.612652
71,812,298.578738,298.493763,1.386709
72,823.6,298.575274,298.494397,1.170372
73,835.2,298.57288,298.495129,0.96433
74,846.8,298.569199,298.495367,0.765494
75,858.4,298.566231,298.495902,0.574892
76,870,298.562727,298.496476,0.391667
77,881.6,298.560789,298.496495,0.21805
78,893.2,298.556832,298.497208,0.05061
79,904.8,298.553605,298.49782,-0.103278
80,916.4,298.549925,298.498038,-0.258366
