NH3-H2O 6wt%  Specific Heat - Large HF,,,,
Creation Date : 7/12/2022 10:24:27 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4598.3 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,299.00533,298.955792,329.509919
2,11.6,299.00317,298.956366,317.347557
3,23.2,299.000496,298.957573,305.625916
4,34.8,298.999506,298.958384,294.33331
5,46.4,298.99737,298.959374,283.457539
6,58,298.995312,298.960364,272.978403
7,69.6,298.993115,298.961155,262.885357
8,81.2,298.991749,298.961947,253.161664
9,92.8,298.990305,298.96254,243.797316
10,104.4,298.988247,298.96349,234.77929
11,116,298.987021,298.963471,226.091921
12,127.6,298.985655,298.964716,217.727878
13,139.2,298.984328,298.964955,209.668089
14,150.8,298.981953,298.965588,201.905393
15,162.4,298.980885,298.965886,194.431214
16,174,298.979323,298.966696,187.230788
17,185.6,298.978154,298.967547,180.296686
18,197.2,298.976057,298.96735,173.618613
19,208.8,298.974692,298.96818,167.187302
20,220.4,298.973524,298.968399,160.989829
21,232,298.971663,298.969031,155.022925
22,243.6,298.970318,298.969328,149.27421
23,255.2,298.968834,298.970101,143.736175
24,266.8,298.967587,298.970774,138.402554
25,278.4,298.965985,298.970812,133.266405
26,290,298.964064,298.971011,128.317157
27,301.6,298.962481,298.971485,123.553583
28,313.2,298.960839,298.972811,118.963447
29,324.8,298.959414,298.972554,114.541374
30,336.4,298.95793,298.972752,110.284565
31,348,298.956583,298.973206,106.185312
32,359.6,298.954665,298.972733,102.233464
33,371.2,298.952349,298.973069,98.426773
34,382.8,298.950865,298.973643,94.765645
35,394.4,298.948965,298.97295,91.233929
36,406,298.946768,298.973978,87.832734
37,417.6,298.945464,298.974177,84.557989
38,429.2,298.94394,298.974078,81.404678
39,440.8,298.941466,298.974513,78.367072
40,452.4,298.939209,298.974513,75.442334
41,464,298.937033,298.974118,72.622394
42,475.6,298.934559,298.97473,69.909907
43,487.2,298.932858,298.974791,67.293999
44,498.8,298.930226,298.975245,64.777006
45,510.4,298.928227,298.974316,62.352871
46,522,298.925635,298.97477,60.017652
47,533.6,298.922923,298.975087,57.77058
48,545.2,298.920252,298.975008,55.606527
49,556.8,298.917719,298.97473,53.519304
50,568.4,298.914811,298.974732,51.512491
51,580,298.912039,298.974375,49.577887
52,591.6,298.909783,298.974118,47.715811
53,603.2,298.906657,298.974553,45.922128
54,614.8,298.903273,298.974375,44.195519
55,626.4,298.899771,298.973919,42.532538
56,638,298.896901,298.973959,40.934355
57,649.6,298.893023,298.973938,39.392248
58,661.2,298.889283,298.974217,37.909462
59,672.8,298.88584,298.973267,36.481078
60,684.4,298.882,298.973503,35.106668
61,696,298.878477,298.973069,33.781323
62,707.6,298.874361,298.972988,32.505179
63,719.2,298.870068,298.972435,31.279811
64,730.8,298.865517,298.97192,30.09662
65,742.4,298.86134,298.971781,28.960061
66,754,298.856472,298.971684,27.866886
67,765.6,298.851288,298.971011,26.81265
68,777.2,298.84644,298.971011,25.798349
69,788.8,298.841889,298.970358,24.824022
70,800.4,298.835873,298.969586,23.885191
71,812,298.831084,298.969191,22.981333
72,823.6,298.825623,298.968893,22.112451
73,835.2,298.819666,298.968378,21.27753
74,846.8,298.813788,298.96822,20.469177
75,858.4,298.807436,298.967429,19.698048
76,870,298.801182,298.96646,18.952644
77,881.6,298.794753,298.966023,18.238781
78,893.2,298.788597,298.96539,17.548757
79,904.8,298.781889,298.964737,16.885996
80,916.4,298.774489,298.964262,16.251699
81,928,298.766493,298.962599,15.638853
82,939.6,298.759646,298.962462,15.048276
83,951.2,298.751553,298.961512,14.485662
84,962.8,298.743479,298.960265,13.941913
85,974.4,298.73493,298.959513,13.418049
86,986,298.727311,298.958325,12.917339
87,997.6,298.718504,298.957673,12.436171
88,1009.2,298.709797,298.956862,11.972494
89,1020.8,298.70028,298.955061,11.527349
90,1032.4,298.691948,298.953972,11.103114
91,1044,298.681836,298.952942,10.695856
92,1055.6,298.67202,298.952448,10.302995
93,1067.2,298.662424,298.950648,9.926094
94,1078.8,298.652213,298.949282,9.562736
95,1090.4,298.641823,298.947838,9.218925
96,1102,298.630822,298.946907,8.886428
97,1113.6,298.620274,298.945225,8.568341
98,1125.2,298.60927,298.943346,8.264658
99,1136.8,298.597357,298.942494,7.971599
100,1148.4,298.585545,298.940634,7.695524
101,1160,298.573889,298.939803,7.425271
102,1171.6,298.562153,298.937785,7.171488
103,1183.2,298.549904,298.936379,6.928161
104,1194.8,298.536587,298.934658,6.696839
105,1206.4,298.523428,298.932461,6.470149
106,1218,298.510466,298.930741,6.262148
107,1229.6,298.496594,298.928543,6.060151
108,1241.2,298.48288,298.926346,5.869813
109,1252.8,298.469244,298.924843,5.686845
110,1264.4,298.454403,298.922547,5.512284
111,1276,298.440373,298.920945,5.348179
112,1287.6,298.425789,298.918036,5.189739
113,1299.2,298.410275,298.916155,5.042269
114,1310.8,298.394068,298.913741,4.903032
115,1322.4,298.379542,298.911248,4.770997
116,1334,298.362978,298.909249,4.646334
117,1345.6,298.346752,298.906123,4.525276
118,1357.2,298.33013,298.903431,4.418792
119,1368.8,298.313508,298.901078,4.312135
120,1380.4,298.296904,298.898623,4.216796
121,1392,298.278698,298.89518,4.129178
122,1403.6,298.261662,298.892706,4.044299
123,1415.2,298.24292,298.890133,3.966452
124,1426.8,298.22517,298.886948,3.892379
125,1438.4,298.206133,298.88386,3.827738
126,1450,298.187769,298.880318,3.767042
127,1461.6,298.168772,298.877726,3.710801
128,1473.2,298.149636,298.87442,3.663137
129,1484.8,298.12967,298.87076,3.617704
130,1496.4,298.110039,298.867138,3.578615
131,1508,298.088885,298.863459,3.546044
132,1519.6,298.06864,298.860213,3.515185
133,1531.2,298.04719,298.856593,3.495304
134,1542.8,298.026055,298.85295,3.471992
135,1554.4,298.004446,298.848141,3.456231
136,1566,297.983391,298.844183,3.446297
137,1577.6,297.961169,298.840445,3.439964
138,1589.2,297.938311,298.835991,3.437406
139,1600.8,297.915535,298.831934,3.438963
140,1612.4,297.892718,298.82774,3.442922
141,1624,297.868952,298.823248,3.455114
142,1635.6,297.845938,298.819033,3.467133
143,1647.2,297.821814,298.81466,3.484641
144,1658.8,297.796881,298.810128,3.504551
145,1670.4,297.772759,298.804388,3.528582
