H2O-NH3 4wt% Specific Heat - Large HF 28Oct22,,,,
Creation Date : 10/31/2022 3:01:18 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4684.4 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,318.962214,319.009295,-1768.13777
2,17.7,318.93109,319.001524,-1768.147556
3,35.4,318.902758,318.995009,-1727.318616
4,53.1,318.87546,318.98913,-1630.603296
5,70.8,318.849143,318.982916,-1538.945123
6,88.5,318.823298,318.976717,-1452.304598
7,106.2,318.798731,318.971976,-1370.505288
8,123.9,318.774344,318.965998,-1293.30225
9,141.6,318.75157,318.96086,-1220.473773
10,159.3,318.7283,318.956454,-1151.725999
11,177,318.705786,318.951414,-1086.891485
12,194.7,318.683089,318.946013,-1025.704754
13,212.4,318.66181,318.941889,-967.958031
14,230.1,318.639975,318.937006,-913.470654
15,247.8,318.618994,318.931929,-862.060047
16,265.5,318.597353,318.927763,-813.536551
17,283.2,318.576414,318.922621,-767.728813
18,300.9,318.555754,318.918517,-724.484977
19,318.6,318.534434,318.913596,-683.669244
20,336.3,318.514971,318.908434,-645.158123
21,354,318.493971,318.90441,-608.800846
22,371.7,318.474802,318.89955,-574.493968
23,389.4,318.454481,318.894511,-542.104633
24,407.1,318.435175,318.889887,-511.531497
25,424.8,318.415964,318.884806,-482.672877
26,442.5,318.39614,318.879725,-455.435135
27,460.2,318.377051,318.874884,-429.71725
28,477.9,318.357863,318.870738,-405.442044
29,495.6,318.338736,318.865099,-382.524481
30,513.3,318.319647,318.859938,-360.882028
31,531,318.301215,318.854918,-340.454621
32,548.7,318.282664,318.849818,-321.172822
33,566.4,318.26451,318.844397,-302.973344
34,584.1,318.246001,318.839259,-285.792398
35,601.8,318.227587,318.833578,-269.579625
36,619.5,318.209734,318.828398,-254.26955
37,637.2,318.190825,318.823477,-239.818736
38,654.9,318.173247,318.81758,-226.17614
39,672.6,318.155394,318.812281,-213.295608
40,690.3,318.137122,318.805945,-201.138964
41,708,318.11867,318.801024,-189.659143
42,725.7,318.100855,318.794588,-178.821648
43,743.4,318.083578,318.789027,-168.590243
44,761.1,318.065981,318.78269,-158.927697
45,778.8,318.048109,318.776976,-149.808377
46,796.5,318.030871,318.771117,-141.191941
47,814.2,318.012259,318.764922,-133.058635
48,831.9,317.995242,318.758623,-125.380635
49,849.6,317.976988,318.752848,-118.127194
50,867.3,317.959212,318.74655,-111.276814
51,885,317.94158,318.739455,-104.812488
52,902.7,317.9242,318.733321,-98.704561
53,920.4,317.906069,318.727004,-92.935259
54,938.1,317.888033,318.72019,-87.486053
55,955.8,317.87002,318.713614,-82.339684
56,973.5,317.852187,318.706423,-77.478506
57,991.2,317.833895,318.699927,-72.882549
58,1008.9,317.815779,318.69361,-68.544754
59,1026.6,317.797488,318.685782,-64.44666
60,1044.3,317.778319,318.679045,-60.571435
61,1062,317.760088,318.67211,-56.91225
62,1079.7,317.741198,318.665018,-53.45256
63,1097.4,317.722071,318.657389,-50.187326
64,1115.1,317.703719,318.649897,-47.096284
65,1132.8,317.683375,318.642504,-44.173369
66,1150.5,317.663489,318.63497,-41.412683
67,1168.2,317.644003,318.626604,-38.801937
68,1185.9,317.624419,318.620287,-36.331609
69,1203.6,317.603316,318.611243,-33.994066
70,1221.3,317.583113,318.603991,-31.784816
71,1239,317.561579,318.595461,-29.692457
72,1256.7,317.539961,318.587511,-27.709194
73,1274.4,317.518603,318.579523,-25.836052
74,1292.1,317.497504,318.571074,-24.061067
75,1309.8,317.474017,318.563063,-22.377476
76,1327.5,317.451445,318.555113,-20.782251
77,1345.2,317.428912,318.54595,-19.269509
78,1362.9,317.405146,318.536963,-17.837207
79,1380.6,317.381659,318.528494,-16.478085
80,1398.3,317.35678,318.51969,-15.186255
81,1416,317.332575,318.51071,-13.963908
82,1433.7,317.307036,318.501814,-12.798222
83,1451.4,317.281279,318.49256,-11.694095
84,1469.1,317.254786,318.483324,-10.643088
85,1486.8,317.228373,318.473891,-9.645543
86,1504.5,317.201105,318.463458,-8.696405
87,1522.2,317.174155,318.454142,-7.793972
88,1539.9,317.145232,318.444331,-6.931848
89,1557.6,317.116389,318.43408,-6.114248
90,1575.3,317.088225,318.423888,-5.333074
91,1593,317.057673,318.413576,-4.58664
92,1610.7,317.027037,318.402968,-3.875115
93,1628.4,316.996306,318.392737,-3.200186
94,1646.1,316.96424,318.382586,-2.553082
95,1663.8,316.932013,318.370684,-1.933807
96,1681.5,316.899191,318.359637,-1.334933
97,1699.2,316.865672,318.348113,-0.765066
98,1716.9,316.83193,318.336787,-0.218472
99,1734.6,316.797179,318.325777,0.303164
100,1752.3,316.760775,318.313616,0.809793
101,1770,316.725005,318.301096,1.293824
102,1787.7,316.687983,318.289313,1.763692
103,1805.4,316.650462,318.277109,2.214673
104,1823.1,316.612044,318.264532,2.646091
105,1840.8,316.572775,318.251376,3.071446
106,1858.5,316.533083,318.238757,3.480272
107,1876.2,316.492579,318.225378,3.873755
108,1893.9,316.450201,318.212241,4.256784
109,1911.6,316.408244,318.198248,4.631388
110,1929.3,316.365168,318.184634,4.999923
111,1947,316.32112,318.1705,5.3629
112,1964.7,316.275954,318.156767,5.716434
113,1982.4,316.229735,318.142256,6.06576
114,2000.1,316.182642,318.127508,6.411889
115,2017.8,316.135268,318.111983,6.747737
116,2035.5,316.085665,318.097231,7.076838
117,2053.2,316.036341,318.081408,7.403591
118,2070.9,315.985091,318.066122,7.726804
119,2088.6,315.932082,318.049681,8.041088
120,2106.3,315.879416,318.033637,8.353521
121,2124,315.824,318.016959,8.659384
122,2141.7,315.768088,317.999758,8.96087
123,2159.4,315.710028,317.981886,9.260345
124,2177.1,315.652422,317.965044,9.552225
125,2194.8,315.591753,317.947451,9.844624
126,2212.5,315.530028,317.929079,10.132312
127,2230.2,315.467745,317.910269,10.415792
128,2247.9,315.402956,317.891657,10.699108
129,2265.6,315.336771,317.872527,10.983957
130,2283.3,315.269217,317.852942,11.268985
131,2301,315.199847,317.833296,11.54879
132,2318.7,315.129607,317.812537,11.835026
133,2336.4,315.057761,317.791975,12.12127
134,2354.1,314.984621,317.771014,12.40803
135,2371.8,314.909434,317.749121,12.697341
136,2389.5,314.83285,317.727999,12.987498
137,2407.2,314.753687,317.705031,13.283082
138,2424.9,314.674303,317.682379,13.579517
139,2442.6,314.593367,317.659129,13.882888
140,2460.3,314.509169,317.635027,14.189148
141,2478,314.424654,317.611021,14.500313
142,2495.7,314.338389,317.5866,14.816894
143,2513.4,314.250277,317.561476,15.140246
144,2531.1,314.160174,317.535502,15.465647
145,2548.8,314.068499,317.509409,15.797645
146,2566.5,313.975195,317.482657,16.138441
147,2584.2,313.880835,317.455824,16.480264
148,2601.9,313.783892,317.428019,16.834605
149,2619.6,313.686453,317.399851,17.19082
150,2637.3,313.586325,317.37147,17.551445
151,2655,313.485308,317.342089,17.92476
152,2672.7,313.382437,317.312552,18.30282
153,2690.4,313.278296,317.282317,18.685802
154,2708.1,313.172503,317.250647,19.08047
155,2725.8,313.06478,317.219,19.482586
156,2743.5,312.955447,317.187567,19.888772
