index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Q_err,Q_err%,Fc,Fc_err
6531,103174,120.7534534,115,-11.15726587,-9.973173568,0.089382226,0.896226514,,
6570,103790.2,121.7812812,116,-11.1863263,-10.01053752,0.071127682,0.710528102,,
6609,104406.4,122.8084882,117,-11.22822171,-10.06084613,0.076202218,0.757413609,,
6647.5,105014.7,123.82075,118,-11.27475299,-10.11424377,0.093428648,0.923733404,,
6686.5,105630.9,124.8436829,119,-11.3014564,-10.14758369,0.091513931,0.901829773,,
6726.5,106262.9,125.9043484,120,-11.3474979,-10.19706675,0.099343418,0.974235238,,
6765.5,106879.1,126.9296107,121,-11.41104477,-10.26387108,0.081521678,0.794258589,,
6804.5,107495.3,127.9595676,122,-11.47494607,-10.3312627,0.111577596,1.0799996,,
6843.5,108111.5,128.9877936,123,-11.54220275,-10.40298015,0.144011023,1.384324696,,
6882.5,108727.7,130.0130727,124,-11.62055063,-10.48529765,0.131327149,1.252488519,,
6922,109351.8,131.0536968,125,-11.68503857,-10.55371507,0.106648923,1.010534413,,
6961,109968,132.0761236,126,-11.75548692,-10.62766483,0.084223365,0.792491731,,
7000,110584.2,133.1011741,127,-11.80620636,-10.68211134,0.074197405,0.694594945,,
7039,111200.4,134.1276234,128,-11.86467618,-10.74467158,0.108819358,1.0127751,,
7078,111816.6,135.1604464,129,-11.92993322,-10.81438129,0.124326127,1.149636984,,
7116.5,112424.9,136.1731885,130,-12.01632572,-10.90531926,0.135538146,1.242862704,,
7155.5,113041.1,137.2064341,131,-12.09787194,-10.99196101,0.14527623,1.321658893,,
7194,113649.4,138.2202516,132,-12.19503291,-11.09497706,0.139681673,1.258963157,,
7233,114265.6,139.2484626,133,-12.27969349,-11.18491429,0.140481955,1.25599492,,
7271.5,114873.9,140.2591428,134,-12.36916875,-11.27926473,0.12686724,1.124782893,,
7310,115482.2,141.2693184,135,-12.43818294,-11.35331113,0.111875857,0.985402896,,
7348.5,116090.5,142.2856098,136,-12.51509119,-11.43498147,0.103942921,0.908990724,,
7387,116698.8,143.2975938,137,-12.59638469,-11.52049114,0.128060595,1.111589718,,
7425.5,117307.1,144.3087826,138,-12.66751785,-11.59520308,0.12382633,1.067909972,,
7463.5,117907.5,145.3159538,139,-12.7415752,-11.67231672,0.131819622,1.129335548,,
7502,118515.8,146.333004,140,-12.83503613,-11.7679865,0.128896051,1.095311003,,
7540,119116.2,147.3299506,141,-12.91409978,-11.84781751,0.115842745,0.977755985,,
7579,119732.4,148.3613969,142,-12.99367526,-11.92498103,0.139490198,1.169730988,,
7617,120332.8,149.3663945,143,-13.08890685,-12.01284197,0.15039926,1.251987337,,
7655,120933.2,150.3651873,144,-13.19034571,-12.09962547,0.177762691,1.469158624,,
7693,121533.6,151.3643942,145,-13.28786418,-12.1736293,0.207548449,1.704901993,,
7731,122134,152.3687916,146,-13.39600917,-12.25072406,0.208424041,1.70132018,,
7769.5,122742.3,153.3785968,147,-13.48748644,-12.31477826,0.177887145,1.444501405,,
7807.5,123342.7,154.374521,148,-13.54079563,-12.35974482,0.119342161,0.965571403,,
7845.5,123943.1,155.3767106,149,-13.57712401,-12.41463725,0.115787293,0.932667548,,
7883.5,124543.5,156.3791896,150,-13.61278343,-12.48581265,0.14043707,1.124773167,,
7921.5,125143.9,157.3772877,151,-13.63500595,-12.55546076,0.151688694,1.208149165,,
7959.5,125744.3,158.3846326,152,-13.66744478,-12.63569982,0.152577802,1.207513668,,
7997.5,126344.7,159.3867594,153,-13.73308818,-12.73631927,0.128143435,1.006126122,,
8035.5,126945.1,160.3832726,154,-13.78865371,-12.8083234,0.097753672,0.763204274,,
8073.5,127545.5,161.3878441,155,-13.84287017,-12.87510731,0.103581536,0.804510078,,
8111.5,128145.9,162.3848174,156,-13.90589479,-12.9488047,0.101732792,0.785653924,,
8149.5,128746.3,163.3826845,157,-13.96145996,-13.01633683,0.103239871,0.793156109,,
8187.5,129346.7,164.3871736,158,-14.02128144,-13.087545,0.125713706,0.960559879,,
8225.5,129947.1,165.3912883,159,-14.09244411,-13.17144391,0.118775813,0.901767594,,
8263.5,130547.5,166.3921004,160,-14.16133496,-13.25310477,0.124170451,0.936915942,,
8301.5,131147.9,167.3943499,161,-14.21444659,-13.31890411,0.109668169,0.823402347,,
8339.5,131748.3,168.3894974,162,-14.27215747,-13.38623762,0.086545087,0.646522862,,
8377.5,132348.7,169.3874736,163,-14.31629747,-13.44390585,0.081553215,0.606618466,,
8415.5,132949.1,170.3892355,164,-14.36860333,-13.50880843,0.095245336,0.70506097,,
8453,133541.6,171.377491,165,-14.42695176,-13.58127488,0.133559874,0.983411905,,
8491,134142,172.3783584,166,-14.49631633,-13.6657788,0.139923793,1.023899152,,
8529,134742.4,173.3816034,167,-14.54708164,-13.73772202,0.124002128,0.902639663,,
8567,135342.8,174.3865961,168,-14.60225086,-13.81551634,0.103780943,0.751191202,,
8605,135943.2,175.3867174,169,-14.65374821,-13.89608386,0.100007557,0.719681585,,
8642.5,136535.7,176.3712796,170,-14.69075453,-13.96206353,0.116760005,0.836266106,,
8680.5,137136.1,177.3719762,171,-14.72470671,-14.02754958,0.124717516,0.889089823,,
8718,137728.6,178.3643968,172,-14.76564047,-14.10567888,0.111398532,0.789742437,,
8756,138329,179.3633184,173,-14.80634784,-14.17771676,0.093055024,0.656347038,,
8794,138929.4,180.362788,174,-14.85027588,-14.25044243,0.115181034,0.808262862,,
8832,139529.8,181.3625151,175,-14.91364287,-14.32243606,0.150933113,1.053822916,,
8870,140130.2,182.3596748,176,-14.9835755,-14.37834599,0.1894238,1.317424132,1,0
8907.5,140722.7,183.3451508,177,-15.06321116,-14.43771951,0.193625863,1.341111131,1,0
8945.5,141323.1,184.3452795,178,-15.15970519,-14.51777024,0.193257742,1.331180605,1,0
8983.5,141923.5,185.3444076,179,-15.24369516,-14.58207352,0.152113527,1.043154302,1,0
9021,142516,186.3345083,180,-15.3166275,-14.65374615,0.149788009,1.022182363,1,0
9059,143116.4,187.3412435,181,-15.40150097,-14.75995975,0.155214149,1.051589246,1,0
9097,143716.8,188.3439696,182,-15.49140231,-14.86535034,0.148517048,0.999082058,1,0
9135,144317.2,189.3448242,183,-15.56449522,-14.95219005,0.152035211,1.016808982,1,0
9172.5,144909.7,190.3333045,184,-15.63535372,-15.03989049,0.127396397,0.847056682,1,0
9210,145502.2,191.3145618,185,-15.6923551,-15.10503212,0.088666418,0.586999204,1,0
9248,146102.6,192.3165984,186,-15.74329231,-15.16899239,0.088469506,0.58322599,1,0
9286,146703,193.3156797,187,-15.79875047,-15.23155875,0.109926081,0.721699482,1,0
9324,147303.4,194.3150997,188,-15.8515863,-15.29094396,0.120543996,0.788335872,1,0
9361.5,147895.9,195.2993547,189,-15.89761998,-15.33497361,0.113792171,0.742043474,1,0
9399,148488.4,196.2926252,190,-15.96488025,-15.4077787,0.112071513,0.727369698,1,0
9437,149088.8,197.2907574,191,-16.0351592,-15.48150215,0.116912024,0.755172354,1,0
9475,149689.2,198.2912917,192,-16.09827432,-15.55627873,0.144739973,0.930427998,1,0
9513,150289.6,199.2939026,193,-16.15964622,-15.63251699,0.155900969,0.997286422,1,0
9550.5,150882.1,200.2873082,194,-16.23578865,-15.7316152,0.133549118,0.848921846,1,0
9588,151474.6,201.2763186,195,-16.30828278,-15.82152109,0.128101991,0.809669252,1,0
9625.5,152067.1,202.2665888,196,-16.38730271,-15.91039913,0.14706494,0.924332187,1,0
9663.5,152667.5,203.2646579,197,-16.46409085,-15.99730129,0.152754816,0.954878661,1,0
9701.5,153267.9,204.264598,198,-16.53946745,-16.08457563,0.137741567,0.856358106,1,0
9739,153860.4,205.2451824,199,-16.60623423,-16.15450636,0.105520761,0.653197061,1,0
9777,154460.8,206.2421091,200,-16.65575594,-16.20637485,0.070917086,0.437587595,1,0
9814,155045.4,207.2159732,201,-16.71194053,-16.2642986,0.098904204,0.608106173,1,0
9852,155645.8,208.2181042,202,-16.77257991,-16.32937358,0.127014764,0.777829986,1,0
9890,156246.2,209.2207809,203,-16.8518593,-16.4147768,0.16680806,1.016206689,1,0
9927.5,156838.7,210.214173,204,-16.93818631,-16.50138156,0.176285009,1.068304543,1,0
9965.5,157439.1,211.2187537,205,-17.04413654,-16.61359836,0.158703984,0.955265564,1,0
10003,158031.6,212.2034344,206,-17.13732453,-16.72359481,0.169698927,1.01472757,1,0
10040.5,158624.1,213.1913651,207,-17.22341761,-16.82194064,0.154153862,0.916385722,1,0
10078.5,159224.5,214.1915501,208,-17.30234956,-16.90126238,0.145636477,0.861689937,1,0
10115.5,159809.1,215.1631003,209,-17.38158524,-16.98857128,0.128405908,0.755837003,1,0
10153.5,160409.5,216.1613152,210,-17.44554482,-17.05013096,0.115785828,0.679090548,1,0
10191.5,161009.9,217.163758,211,-17.50737565,-17.09984745,0.123347742,0.721338261,1,0
10228.5,161594.5,218.1398372,212,-17.57746765,-17.16202435,0.123331649,0.718631128,1,0
10266,162187,219.1294012,213,-17.66810379,-17.24420856,0.160123894,0.928566209,1,0
10303,162771.6,220.1060336,214,-17.77394196,-17.34597822,0.20564624,1.185555735,1,0
10341,163372,221.1059365,215,-17.89091957,-17.4635352,0.20538315,1.176068577,1,0
10378.5,163964.5,222.09286,216,-17.98625645,-17.55909693,0.166577474,0.948667661,1,0
10416,164557,223.0777423,217,-18.0693963,-17.64075454,0.10341621,0.586234618,1,0
10453,165141.6,224.0481246,218,-18.13672904,-17.71209337,0.073400358,0.41440815,1,0
