"Blank - Small HF - -196C to 46C, 0.1 K/min.",,,,
Creation Date : 10/20/2022 3:05:21 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 0 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,297.679335,297.692772,60.011073
2,17.7,297.678881,297.693425,60.011034
3,35.4,297.679909,297.693722,60.011016
4,53.1,297.67985,297.695206,60.010929
5,70.8,297.679989,297.69578,60.010895
6,88.5,297.680682,297.695998,60.010882
7,106.2,297.680542,297.696274,60.010865
8,123.9,297.681176,297.697422,60.010798
9,141.6,297.681315,297.697442,60.010796
10,159.3,297.68175,297.698037,60.010761
11,177,297.681551,297.698077,60.010759
12,194.7,297.682085,297.698096,60.010758
13,212.4,297.682501,297.698233,60.01075
14,230.1,297.682719,297.698689,60.010723
15,247.8,297.68359,297.699046,60.010702
16,265.5,297.683531,297.699402,60.01068
17,283.2,297.683075,297.699561,60.010671
18,300.9,297.683907,297.700728,60.010602
19,318.6,297.684559,297.700272,60.010629
20,336.3,297.684401,297.700489,60.010616
21,354,297.684599,297.699856,58.146848
22,371.7,297.685292,297.700806,53.914023
23,389.4,297.686123,297.700669,49.989537
24,407.1,297.685629,297.701084,46.34976
25,424.8,297.68648,297.701144,42.974746
26,442.5,297.6864,297.700964,39.845271
27,460.2,297.686518,297.701678,36.943403
28,477.9,297.686896,297.701737,34.252327
29,495.6,297.687468,297.701914,31.756785
30,513.3,297.68739,297.701895,29.442896
31,531,297.687132,297.700985,27.296977
32,548.7,297.687825,297.701281,25.306975
33,566.4,297.687687,297.701836,23.4618
34,584.1,297.687092,297.702212,21.750688
35,601.8,297.687746,297.701954,20.163997
36,619.5,297.68739,297.702252,18.692433
37,637.2,297.687172,297.702113,17.327737
38,654.9,297.687588,297.702132,16.062558
39,672.6,297.687191,297.701935,14.889757
40,690.3,297.686894,297.702351,13.801837
41,708,297.686835,297.70241,12.792976
42,725.7,297.686064,297.702349,11.857331
43,743.4,297.686163,297.70241,10.990138
