T(K),X,m,cp(J/gK),cpm(J/molK)
183.72,0.333433,29.37139825,2.999650828,53.05508986
192.28,0.333433,29.37139825,3.071427905,54.32461739
200.07,0.333433,29.37139825,3.17160031,56.09637558
208.11,0.333433,29.37139825,3.269406437,57.82628122
215.9,0.333433,29.37139825,3.364846287,59.5143343
223.49,0.333433,29.37139825,3.460286138,61.20238738
230.93,0.333433,29.37139825,3.557303506,62.91834217
238.48,0.333433,29.37139825,3.647222043,64.50873929
245.97,0.333433,29.37139825,3.739506856,66.14098896
253.07,0.333433,29.37139825,3.817594006,67.5221233
259.93,0.333433,29.37139825,3.88384977,68.69399487
266.98,0.333433,29.37139825,3.976134584,70.32624454
274.34,0.333433,29.37139825,4.038446552,71.42836184
281.63,0.333433,29.37139825,4.109434871,72.68393851
288.15,0.333433,29.37139825,4.166225525,73.68839985
