T(K),cp(J/gK)
100,0.874141332611692
101,0.88183603057678
102,0.889491152245481
103,0.897107237983592
104,0.904684870671694
105,0.912224675705158
106,0.919727320037889
107,0.927193491598355
108,0.934623898668599
109,0.942019289509985
110,0.949380453235765
111,0.956708219811087
112,0.964003460052989
113,0.971267075182866
114,0.978499921188478
115,0.985702849460195
116,0.992876747116216
117,1.0000225372761
118,1.00714117906077
119,1.0142336675925
120,1.02130102665727
121,1.02834420684828
122,1.03536410724908
123,1.04236165423709
124,1.04933780353289
125,1.05629354020019
126,1.06322987864585
127,1.07014786261988
128,1.07704852083231
129,1.08393271994607
130,1.09080129785635
131,1.09765511295848
132,1.10449504414831
133,1.11132199082221
134,1.11813687287704
135,1.1249406307102
136,1.13173419458843
137,1.13851833084578
138,1.14529375197863
139,1.15206118264393
140,1.15882135976323
141,1.16557503252269
142,1.17232296237311
143,1.17906592302987
144,1.1858046998163
145,1.1925400019207
146,1.19927237077739
147,1.20600233154322
148,1.21273041374115
149,1.21945715126028
150,1.22618308235577
151,1.23290874964889
152,1.23963470012704
153,1.24636148513659
154,1.25308962157089
155,1.25981949918551
156,1.26655148033872
157,1.27328592667654
158,1.28002319913279
159,1.28676365792903
160,1.2935076625746
161,1.30025557186662
162,1.30700774388998
163,1.313764535347
164,1.32052624754021
165,1.32729308502785
166,1.33406523859846
167,1.34084289445638
168,1.34762623422165
169,1.35441543493011
170,1.36121066903333
171,1.36801210439863
172,1.37481990430909
173,1.38163422746354
174,1.38845522262827
175,1.39528300517798
176,1.40211767554713
177,1.40895932858329
178,1.41580805355339
179,1.42266393414369
180,1.42952704845981
181,1.43639746902671
182,1.44327526278871
183,1.45016049110947
184,1.457053209772
185,1.46395346537258
186,1.47086127608279
187,1.4777766450624
188,1.48469956911399
189,1.49163003870187
190,1.49856803795219
191,1.50551354465282
192,1.51246653025344
193,1.51942695986549
194,1.52639479226221
195,1.53336997987859
196,1.54035246881916
197,1.54734221158163
198,1.55433919343052
199,1.56134340171691
200,1.56835481864548
201,1.57537342127447
202,1.58239918151572
203,1.58943206613465
204,1.59647203675026
205,1.60351904983512
206,1.6105730567154
207,1.61763400357085
208,1.62470183143479
209,1.63177647671079
210,1.63885787898456
211,1.64594597959334
212,1.65304071521588
213,1.66014201768401
214,1.66724981398271
215,1.67436402625005
216,1.68148457177723
217,1.68861136300858
218,1.69574430754154
219,1.70288330812668
220,1.71002826266765
221,1.71717906422128
222,1.72433560130953
223,1.73149778777691
224,1.73866558822431
225,1.7458389697887
226,1.75301789639404
227,1.76020232875131
228,1.76739222435851
229,1.77458753750061
230,1.78178821924961
231,1.7889942174645
232,1.7962054767913
233,1.803421938663
234,1.81064354129962
235,1.81787021970819
236,1.8251019056866
237,1.83233853128335
238,1.83958003525755
239,1.84682635512401
240,1.85407742543805
241,1.86133317779552
242,1.86859354083277
243,1.87585844022669
244,1.88312779869469
245,1.8904015359947
246,1.89767956892517
247,1.90496181132505
248,1.91224817407386
249,1.91953856509159
250,1.92683288933878
251,1.93413104881862
252,1.94143295893472
253,1.94873858838318
254,1.95604791601372
255,1.96336091905
256,1.97067757308965
257,1.97799785210425
258,1.98532172843935
259,1.99264917281448
260,1.99998015432311
261,2.00731464043268
262,2.0146525969846
263,2.02199398819423
264,2.02933877665091
265,2.03668692331791
266,2.04403838753251
267,2.05139312700592
268,2.05875109782331
269,2.06611225444383
270,2.0734765497006
271,2.08084393480067
272,2.08821435932507
273,2.09558777122882
