T(K),wt,cp(J/gK),cp_TRF,dev,cp(cal),TRF_1,TRF_2
275.55,1.39,4.2120328,4.2467,-0.82305152,1.0067,-2.4809,1.7658
275.55,2.88,4.1998992,4.2821,-1.957208878,1.0038,-12.394,-8.1119
275.55,3.78,4.1952968,4.299,-2.471891858,1.0027,-17.889,-13.59
275.55,15.8,4.0886048,4.266,-4.338771015,0.9772,-67.964,-63.698
275.55,23.7,4.0476016,4.195,-3.641623227,0.9674,-86.938,-82.743
275.55,30.12,4.0413256,4.205,-4.050017648,0.9659,-96.138,-91.933
275.55,40.1,4.1626616,4.338,-4.212170406,0.9949,-96.288,-91.95
293.75,1.47,4.133792,4.217,-2.01287341,0.988,73.966,78.183
293.75,2.87,4.1886024,4.244,-1.322579579,1.0011,65.217,69.461
293.75,4.02,4.1894392,4.26,-1.684254064,1.0013,58.598,62.858
293.75,8.53,4.186092,4.289,-2.458331064,1.0005,36.409,40.698
293.75,15.07,4.1614064,4.276,-2.753722876,0.9946,11.972,16.248
293.75,24.05,4.1789792,4.2742,-2.278566019,0.9988,-10.559,-6.2848
293.75,30.11,4.2191456,4.319,-2.366697182,1.0084,-18.569,-14.25
293.75,32.3,4.2375552,4.345,-2.535537472,1.0128,-19.833,-15.488
314.15,1.47,4.1810712,4.2,-0.452726086,0.9993,159.88,164.08
314.15,3.98,4.1982256,4.24,-0.995048956,1.0034,145.53,149.77
314.15,8.18,4.2296056,4.28,-1.191468065,1.0109,125.28,129.56
314.15,14.78,4.2735376,4.3,-0.619215331,1.0214,100.37,104.67
314.15,20.97,4.2986416,4.333,-0.799285058,1.0274,83.494,87.827
334.05,2.87,4.2107776,4.23,-0.456504756,1.0064,235.8,240.03
334.05,8.2,4.2576384,4.29,-0.760083336,1.0176,210.42,214.71
334.05,12.26,4.2965496,4.32,-0.545796096,1.0269,194.71,199.03
