P(MPa),T(K),massfrac,molefrac,cp(J/kgK)
0.1,275.55,0.013900448,0.014692,4212.033129
0.1,275.55,0.028801111,0.030415,4199.925128
0.1,275.55,0.037801489,0.039899,4195.320951
0.1,275.55,0.158000929,0.16562,4088.641248
0.1,275.55,0.237010071,0.24732,4047.623033
0.1,275.55,0.301203764,0.31316,4041.326213
0.1,275.55,0.401002478,0.41457,4162.68143
0.1,293.75,0.014700602,0.015537,4133.783348
0.1,293.75,0.028700569,0.030309,4188.613829
0.1,293.75,0.040201205,0.042426,4189.44801
0.1,293.75,0.085302722,0.08979,4186.12654
0.1,293.75,0.15070665,0.15804,4161.401658
0.1,293.75,0.240507952,0.25092,4179.001779
0.1,293.75,0.301105908,0.31306,4219.143912
0.1,293.75,0.323003768,0.33541,4237.571236
0.1,314.15,0.014700602,0.015537,4181.06119
0.1,314.15,0.039801365,0.042005,4219.172363
0.1,314.15,0.081802511,0.086123,4229.62124
0.1,314.15,0.147802184,0.15502,4273.570257
0.1,314.15,0.209706602,0.21917,4298.685876
0.1,334.05,0.028700569,0.030309,4210.798459
0.1,334.05,0.082001967,0.086332,4257.667196
0.1,334.05,0.122606657,0.12878,4296.576265
