index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
5896,104341.5,106.501379,106.588065,-0.405975,0.7801199999999999,,
5897,104359.2,106.5362,106.589117,-0.415546,0.774275,,
5898,104376.9,106.573202,106.589041,-0.422887,0.777533,,
5899,104394.6,106.612784,106.589102,-0.437568,0.764623,,
5900,104412.3,106.654654,106.590308,-0.447458,0.757162,,
5901,104430.0,106.698691,106.591315,-0.465965,0.7420550000000001,,
5902,104447.7,106.744544,106.592032,-0.48224,0.7252689999999999,,
5903,104465.4,106.790808,106.593466,-0.497234,0.708121,,
5904,104483.1,106.83956,106.59487,-0.518612,0.6800260000000001,,
5905,104500.8,106.888205,106.596732,-0.553071,0.6463519999999999,,
5906,104518.5,106.938208,106.598425,-0.574766,0.6296830000000001,,
5907,104536.2,106.988562,106.601065,-0.602837,0.601103,,
5908,104553.9,107.039237,106.603308,-0.625485,0.588051,,
5909,104571.6,107.090063,106.606161,-0.650043,0.571778,,
5910,104589.3,107.140463,106.608405,-0.677475,0.548392,,
5911,104607.0,107.190329,106.611533,-0.705859,0.5224169999999999,,
5912,104624.7,107.240729,106.615408,-0.736471,0.489656,,
5913,104642.4,107.289359,106.619345,-0.778249,0.446372,,
5914,104660.1,107.338599,106.623267,-0.816834,0.4040070000000001,,
5915,104677.8,107.38645,106.627448,-0.850629,0.36381399999999997,,
5916,104695.5,107.433493,106.63111,-0.894315,0.32221600000000006,,
5917,104713.2,107.480475,106.635901,-0.933206,0.2938750000000001,,
5918,104730.9,107.526556,106.640814,-0.96954,0.26483899999999994,,
5919,104748.6,107.57096,106.645438,-1.011297,0.2271120000000002,,
5920,104766.3,107.61492,106.650732,-1.056555,0.18132400000000004,,
5921,104784.0,107.658362,106.656317,-1.10723,0.13109700000000002,,
5922,104801.7,107.700201,106.6621,-1.149605,0.08753999999999995,,
5923,104819.4,107.741675,106.667639,-1.201547,0.03702099999999997,,
5924,104837.1,107.782111,106.673575,-1.245508,-0.013003000000000098,,
5925,104854.8,107.822607,106.679633,-1.292652,-0.06100299999999992,,
5926,104872.5,107.861289,106.685889,-1.336282,-0.10386499999999987,,
5927,104890.2,107.899207,106.692984,-1.384683,-0.13815500000000003,,
5928,104907.9,107.936423,106.699164,-1.428943,-0.18327500000000008,,
5929,104925.6,107.973303,106.705756,-1.480527,-0.231487,,
5930,104943.3,108.009817,106.713141,-1.53146,-0.28003200000000006,,
5931,104961.0,108.045065,106.719885,-1.576656,-0.323159,,
5932,104978.7,108.080512,106.72756,-1.622154,-0.37276900000000013,,
5933,104996.4,108.114539,106.734885,-1.677852,-0.4348509999999999,,
5934,105014.1,108.14794,106.742377,-1.730992,-0.489827,,
5935,105031.8,108.180746,106.750418,-1.777744,-0.5289889999999999,,
5936,105049.5,108.213583,106.758292,-1.827041,-0.570703,,
5937,105067.2,108.245673,106.766486,-1.876328,-0.615661,,
5938,105084.9,108.277808,106.775061,-1.934527,-0.677969,,
