index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Q_err,Q_err%,Fc,Fc_err
6407.0,108261.4,113.53745290353694,111.0,-5.098352932475888,-4.098166432475888,2.4221678153740434,59.103695647389856,,
6478.5,109469.75,115.58037944881889,112.0,-6.758302421259847,-5.718874085643409,1.4260155131670778,24.935249348240234,,
6531.5,110365.45000000001,117.0759001,113.0,-7.612935734782611,-6.478156909782612,1.0404558115712976,16.060985031099104,,
6578.0,111151.3,118.38767086175118,114.0,-8.231848815668204,-7.008827282334871,0.8297948551789547,11.839282404210175,,
6621.5,111886.45000000001,119.61517094711536,115.0,-8.753757096153846,-7.483259006063756,0.7277962494838377,9.725658952791791,,
6663.0,112587.8,120.78493500995027,116.0,-9.242060208955227,-7.941269147634472,0.7058034638362007,8.887791746064217,,
6703.5,113272.25000000001,121.92642043877545,117.0,-9.755323530612246,-8.43324839890493,0.7690613805061708,9.1193967511503,,
6743.0,113939.80000000002,123.03998474611397,118.0,-10.345232813471506,-9.009691898898641,0.9125695335864429,10.12875405537449,,
6781.5,114590.45,124.12445476315789,119.0,-11.004110415789476,-9.659928502968963,1.0494857718038066,10.86432235477984,,
6819.5,115232.65,125.19550828191497,120.0,-11.615572537234048,-10.266001839317381,0.9859136881973318,9.603677299388526,,
6857.0,115866.40000000001,126.25182295721926,121.0,-12.031831117647062,-10.678850794895741,0.7021555756665305,6.575197923002592,,
6894.0,116491.7,127.29489104324331,122.0,-12.278851313513519,-10.926222431160577,0.3938567048925701,3.60469235707052,,
6931.5,117125.45,128.35103638586958,123.0,-12.359258146739137,-11.008553619857416,0.2801370545503637,2.5447217157124777,,
6968.0,117742.30000000002,129.37934537158475,124.0,-12.285657655737708,-10.937573400302925,0.25734115958937426,2.3528176696144225,,
7004.5,118359.14999999998,130.40648995604406,125.0,-12.185379967032976,-10.841766265946019,0.10580255573771273,0.9758793276150814,,
7041.0,118976.0,131.4345063038674,126.0,-12.188088629834262,-10.849885433112949,0.09350176982378036,0.8617765634503451,,
7077.5,119592.84999999999,132.45840547252746,127.0,-12.245683093406587,-10.914481824175818,0.14040190508291495,1.2863817755591624,,
7114.0,120209.7,133.48295810497243,128.0,-12.29289638121547,-10.968145729281769,0.1276749901943163,1.1640526424941737,,
7150.5,120826.55,134.506766879121,129.0,-12.32922060989011,-11.012583571216076,0.11308489197604221,1.0268697735163221,,
7187.0,121443.40000000002,135.53094603825136,130.0,-12.351706540983598,-11.043328602094709,0.10426392924467634,0.9441349886564044,,
7223.5,122060.25000000001,136.55454650000004,131.0,-12.360343070652169,-11.06066467065217,0.100695619263309,0.9103939253351552,,
7260.5,122685.54999999997,137.59710947282613,132.0,-12.352431619565227,-11.060696975120782,0.025131106524250695,0.22721087631981043,,
7297.0,123302.4,138.6280064594595,133.0,-12.372049254054051,-11.088465337387385,0.05612723966729355,0.5061768058925817,,
7334.0,123927.7,139.6734354108108,134.0,-12.398789745945948,-11.123274807057058,0.07677231627018816,0.6901952671481305,,
7370.5,124544.55000000002,140.71086074456517,135.0,-12.457352749999998,-11.188737199999998,0.1310537883446924,1.1713009788512363,,
7407.0,125161.4,141.74724476502735,136.0,-12.55589848087432,-11.295082782550297,0.19658489028226314,1.7404466533522525,,
7443.0,125769.8,142.76781259668513,137.0,-12.681760143646402,-11.42879203750115,0.220068950413539,1.9255661463733835,,
7479.5,126386.65,143.79994814444444,138.0,-12.811898688888894,-11.566896487771574,0.2331221150802791,2.015424926874152,,
7515.5,126995.05000000002,144.8163792078651,139.0,-12.94364142134831,-11.705005415761718,0.1916604914135583,1.6374233467288466,,
7551.0,127595.0,145.814558259887,140.0,-13.04855259322033,-11.817501766404689,0.13304695050226695,1.1258466732833383,,
7587.0,128203.40000000001,146.82610197740127,141.0,-13.111919757062143,-11.887270321307954,0.08769150108497106,0.7376924955410822,,
7622.0,128794.90000000001,147.8100212429379,142.0,-13.11464536158193,-11.897210126945058,0.09073992094963104,0.762699153679074,,
7657.5,129394.85,148.80831636363632,143.0,-13.014436778409094,-11.80384833148172,0.2530149058165956,2.143495059503488,,
7692.5,129986.35,149.79410068181815,144.0,-12.720980943181821,-11.519160785878451,0.6087485270113124,5.284660387392008,,
7728.0,130586.3,150.79104268926554,145.0,-12.036341717514127,-10.844281532120869,1.3139693273407607,12.116702461557924,,
7763.5,131186.25000000003,151.79006614204548,146.0,-10.643017323863639,-9.460793206545203,2.599580709501328,27.477407578287156,,
7798.5,131777.75,152.7766626590909,147.0,-7.915370380681818,-6.742639094164964,5.047431729857067,74.85839979519415,,
7833.5,132369.25,153.7620244943182,148.0,-2.6907460681818196,-1.5285490003852096,9.561488995722275,625.5271498206918,,
7869.0,132969.19999999998,154.76079930508484,149.0,6.309431056497176,7.457227253126389,16.0467272087291,215.1835617186217,,
7904.5,133569.15,155.7620286193183,150.0,17.016828397727277,18.15233243143514,19.178449261017008,105.6528098163567,,
7939.5,134160.65,156.74780648863637,151.0,24.007589352272728,25.130148583911147,15.80469294938131,62.891362924530455,,
7974.5,134752.15,157.7321385965909,152.0,24.943888443181812,26.054581375766084,14.639316059760253,56.18710908698994,,
8010.0,135352.1,158.7315401355932,153.0,20.62562616384181,21.723133770583384,19.39536763529648,89.28439073353645,,
8045.5,135952.05000000002,159.7314746931818,154.0,11.878618068181828,12.964910051327895,21.48293020501484,165.70057269941884,,
