index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6001,106200.0,110.14408,105.546606,-7.317328,-6.008667,
6002,106217.7,110.173315,105.5716,-7.327802,-6.019064,
6003,106235.4,110.20275,105.596899,-7.338575,-6.025263,
6004,106253.1,110.232398,105.622443,-7.342577,-6.023736,
6005,106270.8,110.26174,105.648077,-7.345609,-6.0250889999999995,
6006,106288.5,110.291144,105.673498,-7.349615,-6.0283739999999995,
6007,106306.2,110.320685,105.698477,-7.355574,-6.035538,
6008,106323.9,110.349738,105.723883,-7.373717,-6.055531,
6009,106341.6,110.379019,105.749609,-7.384445,-6.071637000000001,
6010,106359.3,110.408667,105.775503,-7.386166,-6.075202,
6011,106377.0,110.437964,105.800696,-7.396597,-6.084277,
6012,106394.7,110.467307,105.826498,-7.405705,-6.0942680000000005,
6013,106412.4,110.496695,105.852271,-7.403898,-6.083095999999999,
6014,106430.1,110.526572,105.878104,-7.409469,-6.08859,
6015,106447.8,110.555914,105.904044,-7.416637,-6.090884,
6016,106465.5,110.584631,105.929373,-7.423195,-6.099615999999999,
6017,106483.2,110.614767,105.955512,-7.434836,-6.111179,
6018,106500.9,110.644003,105.980994,-7.445228,-6.124384,
6019,106518.6,110.673926,106.006125,-7.458842,-6.143357,
6020,106536.3,110.703268,106.032095,-7.461183,-6.146591,
6021,106554.0,110.731894,106.057867,-7.467381,-6.1520779999999995,
6022,106571.7,110.761618,106.083472,-7.469421,-6.152125,
6023,106589.4,110.790915,106.109229,-7.470491,-6.146723,
6024,106607.1,110.820593,106.135626,-7.477609,-6.151214,
6025,106624.8,110.85015,106.161185,-7.491177,-6.164074,
6026,106642.5,110.879996,106.187506,-7.502134,-6.174637,
6027,106660.2,110.90882,106.213126,-7.509606,-6.17693,
6028,106677.9,110.939154,106.238547,-7.512288,-6.180825,
6029,106695.6,110.968436,106.264853,-7.527395,-6.197136,
6030,106713.3,110.997977,106.29093,-7.525555,-6.199699,
6031,106731.0,111.027823,106.316931,-7.52468,-6.197166,
6032,106748.7,111.056738,106.342917,-7.526685,-6.204844,
6033,106766.4,111.086295,106.368628,-7.539894,-6.217671,
6034,106784.1,111.115408,106.394888,-7.555304,-6.230776,
6035,106801.8,111.144949,106.420599,-7.564987,-6.2384770000000005,
6036,106819.5,111.174765,106.446463,-7.570505,-6.242973,
6037,106837.2,111.204596,106.473059,-7.577574,-6.248696000000001,
6038,106854.9,111.233511,106.498572,-7.579275,-6.244595,
6039,106872.6,111.263602,106.524878,-7.579013,-6.245861,
6040,106890.3,111.292532,106.550787,-7.583564,-6.244934,
6041,106908.0,111.322653,106.577048,-7.595434,-6.254192,
6042,106925.7,111.352042,106.603247,-7.612727,-6.273015999999999,
6043,106943.4,111.381018,106.628943,-7.620791,-6.279739999999999,
6044,106961.1,111.410849,106.655646,-7.626879,-6.285766,
6045,106978.8,111.440634,106.68186,-7.637777,-6.302652,
6046,106996.5,111.470038,106.707724,-7.63498,-6.304563,
6047,107014.2,111.499426,106.734412,-7.633093,-6.294981,
6048,107031.9,111.528891,106.760352,-7.638262,-6.294996,
6049,107049.6,111.558295,106.786246,-7.645026,-6.300428,
6050,107067.3,111.587317,106.813101,-7.654917,-6.308352,
6051,107085.0,111.617285,106.839728,-7.664499,-6.314695,
6052,107102.7,111.64765,106.865927,-7.67474,-6.323611,
6053,107120.4,111.675864,106.892203,-7.67924,-6.331864,
6054,107138.1,111.705618,106.918295,-7.68566,-6.3442620000000005,
6055,107155.8,111.735449,106.944266,-7.686356,-6.349342,
6056,107173.5,111.764838,106.970908,-7.687648,-6.345496000000001,
6057,107191.2,111.794409,106.997397,-7.692449,-6.344196999999999,
6058,107208.9,111.823554,107.024008,-7.70233,-6.348312,
6059,107226.6,111.853644,107.049918,-7.716066,-6.357863,
6060,107244.3,111.88259,107.076651,-7.720526,-6.362906000000001,
6061,107262.0,111.911963,107.103064,-7.731362,-6.374319,
6062,107279.7,111.941717,107.12937,-7.739021,-6.382873,
6063,107297.4,111.971137,107.155997,-7.732995,-6.379337,
6064,107315.1,112.00054,107.182044,-7.730182,-6.380595,
6065,107332.8,112.029746,107.208929,-7.735898,-6.388158,
6066,107350.5,112.059729,107.235403,-7.745764,-6.398282,
6067,107368.2,112.088934,107.261694,-7.763258,-6.40462,
6068,107385.9,112.118811,107.288672,-7.768006,-6.402025,
6069,107403.6,112.1482,107.314703,-7.7763,-6.413121,
6070,107421.3,112.177557,107.342032,-7.784831,-6.4216,
6071,107439.0,112.207037,107.368536,-7.784842,-6.4269490000000005,
6072,107456.7,112.236075,107.395087,-7.789926,-6.42596,
6073,107474.4,112.265784,107.421698,-7.784855,-6.427173,
6074,107492.1,112.29566,107.448309,-7.794055,-6.438216000000001,
6075,107509.8,112.325064,107.474188,-7.804246,-6.455635,
6076,107527.5,112.354865,107.501196,-7.816585,-6.460321,
6077,107545.2,112.384894,107.528342,-7.81782,-6.454543,
6078,107562.9,112.414313,107.555045,-7.827635,-6.465892,
6079,107580.6,112.44422,107.580817,-7.830216,-6.467471,
6080,107598.3,112.473105,107.608206,-7.831117,-6.467688,
6081,107616.0,112.503256,107.634711,-7.83397,-6.467333,
6082,107633.7,112.532721,107.661795,-7.842486,-6.4805399999999995,
6083,107651.4,112.562125,107.68859,-7.850699,-6.493759,
6084,107669.1,112.591513,107.715231,-7.860817,-6.504457,
6085,107686.8,112.621146,107.74227,-7.863947,-6.513223999999999,
6086,107704.5,112.650412,107.768622,-7.873443,-6.515712,
6087,107722.2,112.680335,107.79505,-7.877555,-6.5128260000000004,
6088,107739.9,112.710196,107.822272,-7.874346,-6.511148,
6089,107757.6,112.73989,107.848822,-7.874972,-6.51046,
6090,107775.3,112.769125,107.875586,-7.884435,-6.518295,
6091,107793.0,112.798712,107.902152,-7.892957,-6.52835,
6092,107810.7,112.828513,107.929434,-7.904593,-6.544986,
6093,107828.4,112.857321,107.956,-7.913425,-6.552512,
6094,107846.1,112.886664,107.983038,-7.919382,-6.564404,
6095,107863.8,112.916266,108.010016,-7.9225,-6.566528,
6096,107881.5,112.946463,108.03707,-7.924665,-6.566122,
6097,107899.2,112.974646,108.063925,-7.923055,-6.560682,
6098,107916.9,113.004416,108.090994,-7.929636,-6.5656300000000005,
6099,107934.6,113.03382,108.117407,-7.934677,-6.575041,
6100,107952.3,113.06362,108.145026,-7.946897,-6.585953,
6101,107970.0,113.092902,108.172293,-7.953773,-6.5930979999999995,
