T(K),X,m,cp(J/gK),cp_err(%),dev%,cpm(J/molK)
120.5,0.0,0.0,1.0269570366506466,0.9281955361994941,3.129211108739714,18.539449991246794
121.5,0.0,0.0,1.032073660622911,0.8412864921759817,3.149282966893338,18.63181938049329
122.5,0.0,0.0,1.0373548952496576,0.8087868491791834,3.1693548250469634,18.72716045296302
123.5,0.0,0.0,1.0427264965219676,0.8682525965062758,3.189426683200588,18.82413289641178
124.5,0.0,0.0,1.0487960229306041,0.9329168954878271,3.209498541354213,18.93370484276161
125.5,0.0,0.0,1.0554320062300908,0.968314577763226,3.2295703995078378,19.053502922070585
126.5,0.0,0.0,1.06238617000314,1.0223670900906583,3.2496422576614625,19.179045049832688
127.5,0.0,0.0,1.0694530908077353,1.0047121211434156,3.2697141158150878,19.306622757733887
128.5,0.0,0.0,1.0762996378408236,0.9459814082601771,3.2897859739687125,19.43022210201282
129.5,0.0,0.0,1.082821615408731,0.8706881124767679,3.3098578321223373,19.54796205865074
130.5,0.0,0.0,1.088817085617199,0.7740139010773613,3.329929690275962,19.656197083230172
131.5,0.0,0.0,1.0945542300788917,0.7623199646845167,3.350001548429587,19.75976860476822
132.5,0.0,0.0,1.1001953927866395,0.7686673637657863,3.370073406583212,19.861607386898648
133.5,0.0,0.0,1.1054482607332097,0.7460534018910865,3.3901452647368364,19.95643636136449
134.5,0.0,0.0,1.1109747286033604,0.7805786076151774,3.410217122890461,20.056204580530746
135.5,0.0,0.0,1.1174020385429337,0.8529841235033875,3.430288981044086,20.172235521407874
136.5,0.0,0.0,1.1240408119674985,0.9411071384317846,3.4503608391977107,20.292083970286857
137.5,0.0,0.0,1.13079579088022,0.9931448713510335,3.470432697351336,20.414030253602437
138.5,0.0,0.0,1.1383003816375425,0.9840094090498133,3.4905045555049607,20.54950912962623
139.5,0.0,0.0,1.1461107183151351,0.963170747173179,3.510576413658585,20.690507575599472
140.5,0.0,0.0,1.153325974544487,0.9409501324968544,3.5306482718122103,20.820763153256717
141.5,0.0,0.0,1.1604989303442823,0.9384477016587279,3.550720129965835,20.95025508971926
142.5,0.0,0.0,1.1680519083329646,0.9296724966760783,3.57079198811946,21.086607490753345
143.5,0.0,0.0,1.1754682199330408,0.9215766900717604,3.5908638462730846,21.2204926808072
144.5,0.0,0.0,1.1826596582553432,0.9280412874261043,3.610935704426709,21.350318278552063
