index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6001,106200.0,110.12435,107.180335,-1.276255,-1.308126,
6002,106217.7,110.153571,107.197073,-1.280263,-1.303842,
6003,106235.4,110.183798,107.213888,-1.286705,-1.294821,
6004,106253.1,110.21311,107.230093,-1.293395,-1.288413,
6005,106270.8,110.243506,107.246313,-1.300739,-1.2858360000000002,
6006,106288.5,110.272986,107.262656,-1.308028,-1.284344,
6007,106306.2,110.303503,107.279578,-1.31551,-1.282953,
6008,106323.9,110.332312,107.296072,-1.323058,-1.283641,
6009,106341.6,110.362051,107.312964,-1.330409,-1.287329,
6010,106359.3,110.3926,107.330008,-1.335165,-1.2830869999999999,
6011,106377.0,110.421835,107.346747,-1.340653,-1.2734750000000001,
6012,106394.7,110.452109,107.363791,-1.349944,-1.265632,
6013,106412.4,110.48194,107.380591,-1.358706,-1.2634159999999999,
6014,106430.1,110.511923,107.397879,-1.366372,-1.261078,
6015,106447.8,110.541266,107.414908,-1.372146,-1.2581060000000002,
6016,106465.5,110.571387,107.432577,-1.376813,-1.257025,
6017,106483.2,110.60079,107.449835,-1.378618,-1.2547439999999999,
6018,106500.9,110.630209,107.467368,-1.381425,-1.250757,
6019,106518.6,110.660239,107.485052,-1.38968,-1.248306,
6020,106536.3,110.690237,107.502234,-1.399757,-1.2476669999999999,
6021,106554.0,110.719504,107.520178,-1.408227,-1.2457749999999999,
6022,106571.7,110.749457,107.538321,-1.41551,-1.2439520000000002,
6023,106589.4,110.778738,107.555487,-1.421534,-1.241732,
6024,106607.1,110.808722,107.57366,-1.427081,-1.239431,
6025,106624.8,110.838782,107.591559,-1.427615,-1.2320440000000001,
6026,106642.5,110.867407,107.609137,-1.430506,-1.228893,
6027,106660.2,110.897498,107.626883,-1.436044,-1.229146,
6028,106677.9,110.926718,107.64556,-1.446034,-1.2359900000000001,
6029,106695.6,110.956534,107.663473,-1.456241,-1.2379889999999998,
6030,106713.3,110.986411,107.682028,-1.462492,-1.2348709999999998,
6031,106731.0,111.01586,107.700323,-1.469124,-1.2363050000000002,
6032,106748.7,111.045325,107.718024,-1.473536,-1.237066,
6033,106766.4,111.075095,107.7367,-1.474813,-1.2353649999999998,
6034,106784.1,111.103766,107.755087,-1.476263,-1.2382060000000001,
6035,106801.8,111.133246,107.773795,-1.481282,-1.245661,
6036,106819.5,111.163413,107.792197,-1.487558,-1.248413,
6037,106837.2,111.192709,107.810797,-1.494462,-1.243973,
6038,106854.9,111.22193,107.828925,-1.501128,-1.242655,
6039,106872.6,111.251578,107.84783,-1.507772,-1.2448329999999999,
6040,106890.3,111.280035,107.866583,-1.514163,-1.249102,
6041,106908.0,111.310568,107.885672,-1.51999,-1.253842,
6042,106925.7,111.339758,107.9047,-1.525753,-1.2605529999999998,
6043,106943.4,111.369406,107.923621,-1.531347,-1.2705060000000001,
6044,106961.1,111.399085,107.942221,-1.535532,-1.2740609999999999,
6045,106978.8,111.428275,107.962012,-1.542861,-1.272127,
6046,106996.5,111.457663,107.981039,-1.551301,-1.27369,
6047,107014.2,111.487189,108.00025,-1.558285,-1.277135,
6048,107031.9,111.516577,108.01943,-1.563478,-1.2814109999999999,
6049,107049.6,111.546362,108.039023,-1.568707,-1.2863760000000002,
6050,107067.3,111.576483,108.058295,-1.570077,-1.2902399999999998,
6051,107085.0,111.605673,108.077551,-1.57191,-1.2956649999999998,
6052,107102.7,111.635992,108.097067,-1.575169,-1.2974290000000002,
6053,107120.4,111.665411,108.116751,-1.585071,-1.304695,
6054,107138.1,111.69538,108.135977,-1.593767,-1.309472,
6055,107155.8,111.725363,108.155646,-1.600931,-1.3131210000000002,
6056,107173.5,111.754904,108.175269,-1.60576,-1.315442,
6057,107191.2,111.784338,108.195136,-1.610878,-1.318217,
6058,107208.9,111.813696,108.215399,-1.612218,-1.3179729999999998,
6059,107226.6,111.842658,108.235281,-1.613636,-1.316551,
6060,107244.3,111.872809,108.254599,-1.616962,-1.318841,
6061,107262.0,111.902197,108.274924,-1.624034,-1.3243179999999999,
6062,107279.7,111.932288,108.294531,-1.63272,-1.327847,
6063,107297.4,111.961432,108.314581,-1.639707,-1.332671,
6064,107315.1,111.990912,108.335226,-1.644596,-1.33694,
6065,107332.8,112.019904,108.35546,-1.648827,-1.340343,
6066,107350.5,112.049246,108.375922,-1.650525,-1.344321,
6067,107368.2,112.078879,108.396201,-1.65044,-1.3484599999999998,
6068,107385.9,112.10874,108.416357,-1.654712,-1.354505,
6069,107403.6,112.138022,108.43653,-1.659579,-1.353443,
6070,107421.3,112.167365,108.456946,-1.664883,-1.3494249999999999,
6071,107439.0,112.19689,108.476935,-1.670841,-1.350398,
6072,107456.7,112.226172,108.497382,-1.676371,-1.353357,
6073,107474.4,112.25582,108.51853,-1.681724,-1.358,
6074,107492.1,112.285666,108.539191,-1.687112,-1.3624939999999999,
6075,107509.8,112.315573,108.55979,-1.692175,-1.371118,
6076,107527.5,112.344504,108.580527,-1.695757,-1.3781809999999999,
6077,107545.2,112.373633,108.601813,-1.698628,-1.3766310000000002,
6078,107562.9,112.403159,108.622122,-1.704319,-1.374188,
6079,107580.6,112.433157,108.642889,-1.711909,-1.3758679999999999,
6080,107598.3,112.462622,108.664252,-1.716765,-1.3787760000000002,
6081,107616.0,112.492468,108.68479,-1.721401,-1.38186,
6082,107633.7,112.522421,108.705847,-1.725703,-1.385643,
6083,107651.4,112.551642,108.727148,-1.726548,-1.390435,
6084,107669.1,112.58103,108.748206,-1.728316,-1.394072,
6085,107686.8,112.611121,108.76853,-1.732217,-1.3954579999999999,
6086,107704.5,112.639883,108.790366,-1.741297,-1.3998540000000002,
6087,107722.2,112.669913,108.81124,-1.749267,-1.399886,
6088,107739.9,112.700095,108.832495,-1.7561,-1.401729,
6089,107757.6,112.729849,108.854193,-1.760217,-1.403676,
6090,107775.3,112.759573,108.875754,-1.764952,-1.408163,
6091,107793.0,112.78884,108.896841,-1.766638,-1.411752,
6092,107810.7,112.8189,108.917944,-1.767446,-1.4160220000000001,
6093,107828.4,112.848181,108.939475,-1.769952,-1.417787,
6094,107846.1,112.877448,108.961035,-1.774034,-1.419348,
6095,107863.8,112.907355,108.982733,-1.783514,-1.4258870000000001,
6096,107881.5,112.937018,109.004416,-1.79037,-1.428936,
6097,107899.2,112.966223,109.026282,-1.794484,-1.429976,
6098,107916.9,112.995596,109.048056,-1.797951,-1.430287,
6099,107934.6,113.024893,109.069311,-1.799942,-1.429535,
6100,107952.3,113.054388,109.091254,-1.79996,-1.427535,
6101,107970.0,113.084311,109.113394,-1.801896,-1.430189,
6102,107987.7,113.11344,109.135031,-1.805393,-1.43239,
6103,108005.4,113.143378,109.15676,-1.810943,-1.430237,
6104,108023.1,113.172415,109.178854,-1.816267,-1.430471,
6105,108040.8,113.201819,109.201193,-1.821555,-1.434333,
6106,108058.5,113.231497,109.222678,-1.826529,-1.4386230000000002,
6107,108076.2,113.261343,109.244665,-1.83014,-1.4435310000000001,
6108,108093.9,113.290869,109.267111,-1.833712,-1.450648,
6109,108111.6,113.320685,109.289282,-1.836182,-1.454941,
6110,108129.3,113.349921,109.311697,-1.842941,-1.456058,
6111,108147.0,113.380118,109.333701,-1.849589,-1.4533109999999998,
6112,108164.7,113.409354,109.355704,-1.854537,-1.4529390000000002,
6113,108182.4,113.439688,109.377997,-1.857927,-1.453526,
6114,108200.1,113.469092,109.400946,-1.860557,-1.455272,
6115,108217.8,113.49848,109.42298,-1.859492,-1.4533399999999999,
6116,108235.5,113.528311,109.445029,-1.859385,-1.45882,
6117,108253.2,113.557898,109.467215,-1.861951,-1.462883,
6118,108270.9,113.588019,109.490088,-1.869878,-1.4667,
6119,108288.6,113.617285,109.512915,-1.877563,-1.465611,
6120,108306.3,113.646979,109.535483,-1.882616,-1.464569,
6121,108324.0,113.676886,109.557776,-1.886278,-1.466092,
6122,108341.7,113.706763,109.580923,-1.889855,-1.4689940000000001,
6123,108359.4,113.735953,109.60369,-1.890846,-1.470073,
6124,108377.1,113.764838,109.62609,-1.891176,-1.475031,
6125,108394.8,113.794928,109.648459,-1.893461,-1.477621,
6126,108412.5,113.824164,109.671881,-1.897373,-1.479232,
6127,108430.2,113.853461,109.693716,-1.905068,-1.483462,
6128,108447.9,113.883124,109.71749,-1.910966,-1.486589,
6129,108465.6,113.911948,109.740347,-1.915141,-1.486861,
6130,108483.3,113.941794,109.763388,-1.918865,-1.488235,
6131,108501.0,113.97132,109.7862,-1.921542,-1.488556,
6132,108518.7,114.00141,109.809012,-1.920927,-1.486973,
6133,108536.4,114.030386,109.831656,-1.921705,-1.484365,
6134,108554.1,114.059821,109.85549,-1.925373,-1.482099,
6135,108571.8,114.089636,109.877997,-1.929287,-1.483986,
6136,108589.5,114.118826,109.901495,-1.934171,-1.48813,
6137,108607.2,114.147971,109.924262,-1.938794,-1.4918999999999998,
6138,108624.9,114.177435,109.947745,-1.942461,-1.499475,
