T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK),,
181.500094,0.908711225,0.317648363,27.33368817,3.733876395,66.19500796,,
181.528048,0.908696931,0.317598748,27.3274317,3.817913003,67.68502157,,1.42945E-05
181.556582,0.908682701,0.317548101,27.32104613,2.967304671,52.60535449,,1.42301E-05
181.5851195,0.908667804,0.317497446,27.31466048,3.818786618,67.70090454,,1.48968E-05
181.6132375,0.90865356,0.317447534,27.30836939,3.525467918,62.50101863,,1.42438E-05
181.6417335,0.908639081,0.317396949,27.30199442,3.33583032,59.13921379,,1.44787E-05
181.670069,0.908624441,0.317346647,27.29565605,3.76845484,66.80918427,,1.46403E-05
181.6983165,0.908610116,0.317296499,27.28933805,3.478444008,61.66789526,,1.43249E-05
181.7264045,0.908595556,0.317246632,27.2830564,4.014693242,71.17504072,,1.45607E-05
181.754515,0.908581384,0.317196724,27.2767704,3.469189247,61.50417511,,1.41719E-05
181.7830295,0.90856679,0.317146096,27.27039474,3.470106281,61.52061244,,1.4594E-05
181.8115065,0.908552194,0.317095533,27.26402816,3.516185618,62.33772269,,1.45956E-05
181.8401855,0.908537628,0.317044609,27.25761711,3.220021558,57.08725929,,1.45661E-05
181.868483,0.908522815,0.316994361,27.25129202,4.063919562,72.04880386,,1.48131E-05
181.896342,0.908508629,0.316944889,27.24506561,3.825673377,67.82515562,,1.41855E-05
181.9241625,0.908494255,0.316895483,27.23884845,4.135784721,73.32331158,,1.4374E-05
181.9525285,0.908480099,0.316845107,27.23251005,3.121700444,55.34477598,,1.4156E-05
181.981608,0.908465155,0.316793461,27.22601292,3.205110134,56.8237195,,1.4944E-05
182.010115,0.908450257,0.316742831,27.21964439,3.932243957,69.71535151,,1.48987E-05
182.0382405,0.90843589,0.316692875,27.21336175,3.749247739,66.47117509,,1.43671E-05
182.0665265,0.908421372,0.316642633,27.20704391,3.726448521,66.06715443,,1.45175E-05
182.0947095,0.90840683,0.316592571,27.20074974,3.896064327,69.07451553,,1.45423E-05
182.1229805,0.908392408,0.316542351,27.19443657,3.624798136,64.2653403,,1.44221E-05
182.1512015,0.908377764,0.316492217,27.18813523,3.991568111,70.76814061,,1.46432E-05
182.179373,0.908363383,0.316442169,27.18184558,3.702747172,65.64770562,,1.4381E-05
182.207537,0.908348781,0.316392133,27.17555826,4.009181696,71.08082906,,1.46028E-05
182.2359795,0.908334397,0.316341599,27.16920943,3.354961673,59.4820015,,1.43837E-05
182.26459,0.908319497,0.316290765,27.16282375,3.802382511,67.41477456,,1.49002E-05
182.292952,0.90830493,0.316240369,27.1564942,3.713065316,65.83140637,,1.45672E-05
182.3218215,0.908290275,0.31618907,27.15005205,3.157436715,55.98046258,,1.4655E-05
182.3503365,0.908275173,0.316138399,27.14368967,4.192737984,74.33627923,,1.51011E-05
182.3782335,0.908260873,0.316088823,27.13746581,3.959895954,70.20824423,,1.43002E-05
182.4065805,0.908246399,0.316038446,27.1311422,3.571771491,63.32705105,,1.44745E-05
182.4353815,0.908231624,0.315987259,27.12471796,3.343482108,59.27968441,,1.47749E-05
182.463736,0.90821667,0.315936863,27.11839397,4.149404168,73.56883512,,1.49538E-05
182.491873,0.908202345,0.315886852,27.11211911,3.579714212,63.46842897,,1.43246E-05
182.5201895,0.908187605,0.315836519,27.10580486,3.842230501,68.12304741,,1.474E-05
182.54859,0.908173085,0.315786035,27.09947251,3.408049508,60.42516025,,1.45206E-05
182.5769525,0.908158247,0.315735616,27.09314927,3.827259701,67.85800855,,1.48377E-05
182.605269,0.908143755,0.315685276,27.08683692,3.394589665,60.18686496,,1.4492E-05
182.6338525,0.908128954,0.315634459,27.08046568,3.393196092,60.16233278,,1.48009E-05
182.6625125,0.908114175,0.315583504,27.07407804,3.235462303,57.36583625,,1.4779E-05
182.691199,0.908099284,0.315532499,27.06768512,3.32311568,58.92013334,,1.48911E-05
182.71966,0.908084467,0.315481892,27.06134309,3.51551112,62.33156109,,1.48174E-05
182.7476825,0.908069798,0.315432063,27.05509939,3.912298711,69.3669791,,1.46685E-05
182.775694,0.908055424,0.315382251,27.04885874,3.541766032,62.79743287,,1.43738E-05
182.804297,0.908040757,0.315331385,27.04248694,3.159916203,56.02719251,,1.46678E-05
182.832831,0.908025759,0.315280639,27.03613113,3.699349871,65.5918639,,1.4998E-05
182.8613455,0.908011152,0.315229924,27.02978029,3.253211566,57.68171202,,1.46071E-05
182.8900055,0.907996163,0.315178949,27.02339766,3.564252191,63.19686507,,
182.9182075,0.907981394,0.315128786,27.01711765,3.906889947,69.27228977,,
182.946722,0.907966869,0.315078064,27.01076866,3.18331146,56.44282829,,
182.9753705,0.907951764,0.315027101,27.00439045,3.749158526,66.47597481,,
183.003584,0.90793709,0.314976909,26.99810969,3.787906454,67.16320492,,
183.0320835,0.907922426,0.314926206,26.99176588,3.411243966,60.48479542,,
183.060656,0.907907443,0.314875371,26.98540642,3.750906153,66.50754336,,
183.0887895,0.907892693,0.314825314,26.97914527,4.077268624,72.29450456,,
183.1172775,0.907878156,0.314774623,26.97280583,3.353042634,59.45334645,,
183.146006,0.907863025,0.314723502,26.96641348,3.793655513,67.26612353,,
183.174349,0.907848226,0.314673065,26.9601075,3.877228259,68.74816973,,
183.2027875,0.907833486,0.314622454,26.95378088,3.657613935,64.85431865,,
183.2313445,0.907818577,0.31457163,26.94742849,3.689466364,65.41929582,,
183.2598405,0.907803702,0.314520912,26.94109026,3.700412012,65.61356893,,
183.288119,0.907788845,0.314470578,26.93480101,3.965727955,70.31820198,,
183.316466,0.907774186,0.31442012,26.9284971,3.627725899,64.32511436,,
183.345,0.907759246,0.314369325,26.92215219,3.75253435,66.53835336,,
183.373507,0.90774438,0.314318577,26.91581388,3.712201972,65.82338918,,
183.402079,0.907729458,0.314267709,26.90946171,3.695933439,65.53511369,,
183.430842,0.907714513,0.314216499,26.90306767,3.466333775,61.464107,,
183.459559,0.907699379,0.314165368,26.89668444,3.761511606,66.69831819,,
183.4876085,0.907684471,0.314115422,26.89045016,4.398373847,77.99124751,,
183.5160775,0.907670025,0.314064727,26.88412321,3.260426212,57.81351458,,
183.5446495,0.907654666,0.314013845,26.87777396,4.305519721,76.34522018,,
183.572775,0.907640101,0.313963756,26.87152449,3.886391023,68.91345389,,
183.6010155,0.907625198,0.313913459,26.86525003,4.17457002,74.02365606,,
183.6296185,0.907610502,0.313862513,26.8588956,3.413558645,60.52954715,,
183.6581255,0.907595208,0.313811735,26.85256307,4.282260535,75.93367403,,
183.6864035,0.9075806,0.313761363,26.84628198,3.668424965,65.04924018,,
183.7148725,0.907565535,0.313710647,26.83995902,3.945224106,69.95770197,,
183.7433035,0.907550716,0.313659996,26.83364507,3.604826173,63.92186713,,
183.77199,0.907535679,0.313608887,26.82727495,3.467046484,61.47889711,,
183.8003065,0.907520581,0.313558434,26.82098754,4.003038014,70.98349526,,
183.828909,0.907505921,0.313507468,26.8146372,3.057568323,54.21820207,,
183.857546,0.90749051,0.313456438,26.80827976,3.940963086,69.88316816,,
183.8856455,0.907475803,0.313406363,26.80204219,3.747395113,66.45091385,,
183.9140765,0.907460946,0.313355694,26.79573158,3.481875886,61.74275812,,
183.9423735,0.907445879,0.313305261,26.78945126,3.926025233,69.61888899,,
183.9707665,0.907431151,0.313254653,26.78315018,3.352194248,59.4435099,,
183.9992165,0.907415971,0.313203941,26.776837,3.821051726,67.75782459,,
184.0277045,0.907401172,0.313153158,26.77051593,3.260606726,57.8197525,,
184.0563035,0.907385941,0.313102174,26.76417079,3.634856397,64.45644394,,
184.0843645,0.907371013,0.313052146,26.75794554,3.972911813,70.45134053,,
184.112418,0.907356338,0.313002128,26.75172248,3.654494641,64.80506001,,
184.141135,0.907341407,0.312950925,26.74535278,3.103413942,55.03292244,,
184.1698595,0.907326019,0.312899704,26.73898196,3.639305225,64.53608735,,
184.197928,0.907311069,0.31284965,26.73275717,3.94258816,69.91442927,,
184.225901,0.907296362,0.312799764,26.72655407,3.740955983,66.33905031,,
184.2546065,0.907281501,0.312748568,26.72018907,2.953631581,52.37743853,,
184.2835145,0.907266009,0.312697007,26.71377972,3.424214477,60.72257532,,
184.3116975,0.907250922,0.312646736,26.70753164,3.856692304,68.3920265,,
184.339594,0.907236185,0.312596974,26.70134758,3.782398316,67.07473847,,
184.3683035,0.90722139,0.312545757,26.69498382,2.791567133,49.50409034,,
184.397135,0.90720578,0.31249432,26.68859356,3.622298714,64.23601,,
184.4253485,0.907190844,0.312443982,26.68234079,3.60792594,63.98131608,,
184.453547,0.907175878,0.312393667,26.67609186,3.69206021,65.47350472,,
184.481684,0.907160946,0.312343459,26.66985706,3.764030709,66.74999359,,
184.5105345,0.907146033,0.312291974,26.66346469,2.859298353,50.70593937,,
184.5394615,0.907130332,0.31224035,26.65705589,3.764841597,66.76477026,,
184.567675,0.907115326,0.312189995,26.65080569,3.888014708,68.9492918,,
184.5962625,0.907100371,0.312138969,26.64447314,3.34884791,59.38798795,,
184.624533,0.907084956,0.312088506,26.63821132,4.377253323,77.62580756,,
184.6524795,0.907070326,0.312038618,26.63202176,3.813169881,67.6225981,,
184.6811015,0.907055243,0.311987521,26.62568309,3.485372785,61.80963983,,
184.7098755,0.907039883,0.311936149,26.61931128,3.623085375,64.25202662,,
184.7385465,0.907024627,0.311884957,26.61296278,3.62998311,64.37454138,,
184.7667525,0.907009365,0.311834592,26.60671775,4.267797722,75.68583929,,
184.794642,0.906994591,0.311784789,26.60054328,4.060003621,72.00099053,,
184.823092,0.906979654,0.311733981,26.5942452,3.507597351,62.20467924,,
184.851588,0.906964272,0.311683088,26.58793744,3.992895541,70.81129612,,
184.8798395,0.906949274,0.311632628,26.5816843,3.827606394,67.88020247,,
184.90856,0.906934141,0.311581326,26.57532784,3.365642854,59.68774481,,
184.937277,0.90691863,0.311530028,26.56897266,3.807541191,67.52475784,,
184.9658605,0.906903489,0.311478964,26.56264751,3.484749035,61.80038908,,
184.994532,0.906888108,0.311427739,26.55630339,3.626257619,64.31016722,,
185.0229935,0.90687286,0.311376886,26.55000622,3.720379664,65.97957577,,
185.0511765,0.906857692,0.311326528,26.54377115,3.980867874,70.59944396,,
185.0798175,0.90684273,0.311275347,26.53743523,3.106347019,55.09025315,,
185.1082215,0.90682706,0.311224585,26.53115223,4.314611181,76.51872633,,
185.1360075,0.90681234,0.311174925,26.52500639,3.947110555,70.00137993,,
185.1643165,0.906797319,0.311124327,26.51874533,3.612325264,64.06420263,,
185.1929575,0.906782027,0.311073131,26.51241133,3.503130089,62.12782112,,
185.2213615,0.906766639,0.311022356,26.50613022,3.94359564,69.93965825,,
185.249586,0.906751588,0.310971897,26.49988926,3.743724245,66.39513261,,
185.278429,0.90673638,0.310920329,26.49351203,3.088863688,54.78131137,,
185.3071845,0.906720654,0.310868914,26.48715461,3.785217526,67.13141629,,
185.3355125,0.906705527,0.31081826,26.48089218,3.566234705,63.24790679,,
185.363619,0.906690248,0.310767998,26.47467917,4.050380378,71.83453801,,
185.3920575,0.906675347,0.310717138,26.46839324,3.135001919,55.60022847,,
185.4208245,0.906659698,0.310665687,26.46203516,3.606858095,63.96893328,,
185.4489235,0.906644432,0.310615427,26.45582517,4.03419414,71.54809984,,
185.477091,0.90662949,0.310565041,26.4496005,3.532808515,62.6560005,,
185.5054,0.906614138,0.310514398,26.44334501,3.847155983,68.23129798,,
185.533907,0.906599031,0.310463397,26.43704622,3.277753895,58.13282873,,
185.56254,0.906583453,0.310412166,26.43072005,3.69228889,65.48503581,,
185.5910095,0.906568198,0.310361224,26.42443045,3.513223786,62.3093879,,
185.619326,0.906552785,0.310310553,26.41817511,3.92360125,69.58791151,,
185.6475315,0.906537682,0.310260075,26.41194473,3.699311227,65.61015622,,
185.675993,0.906522376,0.310209136,26.40565824,3.620610845,64.21453231,,
185.704493,0.906506985,0.310158125,26.39936369,3.678999291,65.25029152,,
185.7331375,0.906491625,0.31010685,26.39303768,3.454956583,61.27687786,,
185.761492,0.906476065,0.310056091,26.38677616,4.105861546,72.82149751,,
185.7896675,0.906461006,0.310005648,26.3805546,3.721563474,66.00578459,,
185.8180905,0.906445627,0.309954758,26.37427882,3.758646542,66.66368668,,
185.846636,0.906430288,0.309903645,26.36797643,3.50706867,62.20186251,,
185.8750595,0.906414764,0.309852746,26.36170142,3.862629071,68.50833262,,
185.9031775,0.906399544,0.309802391,26.35549427,3.87211928,68.67685202,,
185.9314675,0.906384339,0.309751723,26.34924958,3.607260909,63.97944611,,
185.959784,0.906368921,0.309701004,26.34299946,3.822635246,67.79958715,,
185.9883405,0.906353674,0.309649851,26.33669681,3.273245551,58.05559168,,
186.0168785,0.906337983,0.309598727,26.33039866,3.818898651,67.73371269,,
186.045348,0.906322744,0.309547722,26.32411606,3.338776529,59.21822372,,
186.0739315,0.906307114,0.309496509,26.31780873,3.662257977,64.95584541,,
186.101935,0.906291739,0.30944633,26.31162979,4.145675845,73.53022628,,
186.130198,0.906276726,0.309395683,26.30539401,3.344992917,59.32900037,,
186.158774,0.906261057,0.30934447,26.29908959,3.725648766,66.08075851,,
186.186713,0.906245692,0.309294395,26.29292612,4.223525503,74.91167082,,
186.214991,0.906230702,0.309243709,26.28668826,3.310818014,58.72336589,,
186.2439255,0.906214956,0.309191841,26.28030601,3.370651571,59.78480124,,
186.2724825,0.906199239,0.309140646,26.27400745,3.83206469,67.96902518,,
186.300612,0.90618389,0.309090213,26.26780357,3.941821361,69.91597361,,
186.3291195,0.906168626,0.309039098,26.26151674,3.306802859,58.65284117,,
186.357455,0.906152854,0.308988288,26.25526825,4.126123765,73.18536985,,
186.385363,0.906137764,0.308938239,26.24911442,3.829004936,67.91554648,,
186.4138245,0.906122445,0.308887194,26.24283894,3.361578953,59.62492784,,
186.4426295,0.90610674,0.308835529,26.23648814,3.360418079,59.6045146,,
186.4710795,0.906091032,0.308784496,26.230216,3.822209251,67.795611,,
186.4990565,0.906075701,0.308734308,26.22404853,3.988973536,70.75376104,,
186.527594,0.906060498,0.308683109,26.2177579,3.086484164,54.74616594,,
186.5565285,0.906044542,0.308631194,26.21138016,3.458412019,61.34337791,,
186.5849785,0.906028892,0.308580144,26.20510961,3.744272845,66.41401267,,
186.6132415,0.906013452,0.308529425,26.19888067,3.747587366,66.47299818,,
186.641169,0.905997993,0.308479304,26.19272604,4.24382141,75.27518902,,
186.6695615,0.905982908,0.308428344,26.18646932,3.166879228,56.17298875,,
186.698328,0.905966928,0.308376708,26.18013058,3.745614949,66.43859682,,
186.726515,0.905951421,0.308326108,26.17391992,3.930318214,69.71501127,,
186.754969,0.905936062,0.308275025,26.16765081,3.366516042,59.71460367,,
186.783446,0.905920249,0.308223895,26.16137701,3.860907644,68.484227,,
186.811713,0.905904852,0.308173139,26.15514986,3.62152067,64.23820295,,
186.8398425,0.905889256,0.308122625,26.14895337,4.039560736,71.65356798,,
