T(K),5.2,8.2,8.4,10,14.3,20.07,Var8
240,4.26515081543869,4.26388407561991,4.26183758359629,4.25140875817792,4.14029807670383,3.89722289654829,3.65770418362908
241,4.24976576542353,4.25609440655032,4.25533349056669,4.24580027785671,4.13660943211326,3.89830721488617,3.66213709218985
242,4.23522751899669,4.24852717851599,4.24857931085898,4.23962973858192,4.13219009794731,3.89932126732259,3.66827846319263
243,4.22167099745376,4.24119972951061,4.241683107704,4.23304951615742,4.1272371527802,3.90032584430129,3.67583387126307
244,4.20922462134173,4.23412850639054,4.23474822439874,4.22620543947877,4.12193920509449,3.90137903263926,3.68452120184507
245,4.19801055646241,4.22732909924104,4.22787345726513,4.21923702904789,4.11647670191579,3.90253631530701,3.69407020727557
246,4.18814495069583,4.22081627444807,4.22115322225824,4.21227772675678,4.11102222614828,3.90385066753069,3.70422207902001
247,4.17973816200164,4.21460400652652,4.21467771546933,4.20545511727655,4.10574078304667,3.90537264935851,3.71472903544776
248,4.17289497794191,4.20870550875352,4.20853306775865,4.1988911413749,4.10079007624233,3.90715049482793,3.72535392455189
249,4.16771482705425,4.20313326265349,4.20280149374382,4.1927023014712,4.09632077372414,3.90923019786464,3.73586984104268
250,4.16428055038226,4.1978979877359,4.19755770675767,4.18699574894887,4.09247182672934,3.91165485029723,3.74606906930912
251,4.16229931293447,4.19297539781857,4.19275187487843,4.1817402817739,4.08921554351723,3.91444131589239,3.75605538600587
252,4.16104897320047,4.18830124347933,4.18819220085113,4.17674717590803,4.08633458318447,3.91757680111108,3.76628755600915
253,4.15981243919719,4.18381154369722,4.18368666169676,4.17182648002505,4.08360969331865,3.92104719178601,3.77722528806646
254,4.15814820419196,4.17946786577622,4.17913384118621,4.16688034117683,4.08092911153689,3.92483750813898,3.78906653184198
255,4.1563121946571,4.17529677675331,4.17466495438643,4.1620477752998,4.07845778359415,3.92892965888034,3.80133080377581
256,4.1546661353245,4.17133453430707,4.17044483941568,4.15750183280373,4.07640029038643,3.9333055468337,3.81344272058367
257,4.1535176550318,4.16761272961324,4.16661232923309,4.15338868675748,4.07492464745748,3.93794709374031,3.82492674156468
258,4.15284622179116,4.16413681598348,4.16314630000722,4.14969009409725,4.07396602477508,3.94283198439644,3.83594162126144
259,4.15247892161326,4.16089990579022,4.15995156162769,4.14631159633748,4.07335251717049,3.94793635119168,3.8469379425812
260,4.15225101272248,4.15789539262396,4.15693755420216,4.14316313445961,4.0729206374677,3.95323731358544,3.85834304586297
261,4.15210420227713,4.15512555214329,4.15407751272435,4.14021080134769,4.07261370487738,3.95871849912799,3.8702664419782
262,4.15212137897764,4.15260459535391,4.15142943028047,4.13749514074052,4.07251673078477,3.9643720013395,3.88239524186554
263,4.15239225829502,4.15034693481281,4.14905503744835,4.13506035534073,4.07272148930257,3.97019073513998,3.89439828421247
264,4.15297900053536,4.14836207640053,4.14699992755505,4.13293962159176,4.07329564255438,3.97616600845532,3.90602203690823
265,4.15382395622024,4.14663833205694,4.14524122960058,4.13111983138604,4.07420429976038,3.98228047202599,3.91733903798412
266,4.15483567096857,4.14515800857057,4.14373642426103,4.12957449535018,4.07538318884863,3.98851466190231,3.9285160725757
267,4.15592760560768,4.14390440262533,4.14244551264563,4.12827868054588,4.07677169892563,3.99484997650358,3.93970948546199
268,4.15705656105076,4.14287324626539,4.14135829663486,4.12722717796765,4.07834822493703,4.00127277395969,3.95095368746051
269,4.15822739255055,4.14207412560374,4.14049775410525,4.12643675420443,4.080134529012,4.00777486589463,3.96214736994041
270,4.15944735484725,4.141516916132,4.13988769417398,4.1259246211892,4.08215380706781,4.01434862619394,3.97318571237511
271,4.16071915109788,4.14120917735034,4.13954666669289,4.12570452310793,4.08442230162305,4.02098597637012,3.98398728963603
272,4.16202295419624,4.14114847011295,4.13947018072836,4.12577548677643,4.08692419930335,4.0276753415549,3.99457527753811
273,4.16333233277559,4.14132918681285,4.13964650391078,4.12613182692908,4.08963390527209,4.03440432848759,4.00500534766906
274,4.16462209018285,4.14174581814928,4.1400642870485,4.12676794543044,4.09252685153704,4.04116102743062,4.01533060578189
275,4.16588087038363,4.14239195950264,4.14071470845439,4.12767768971091,4.09558670634807,4.04793539464818,4.0255743470194
276,4.16711805644913,4.14325976353144,4.14159264317835,4.12885399824625,4.09880931312178,4.0547200041589,4.03571515173209
277,4.16834446345087,4.14434145295848,4.14269337391741,4.13028987959601,4.10219163131523,4.06150790359697,4.04572858720647
278,4.16956999880553,4.14562898861695,4.1440115120028,4.13197787053002,4.10572997010061,4.06829241651793,4.0555932924102
279,4.17079911476005,4.14710961088994,4.14553384814116,4.13390407308502,4.10941343704759,4.07506729740748,4.0653105303614
280,4.17203307437257,4.14876803320945,4.14724288065943,4.13605109370686,4.11322717271655,4.08182664320763,4.07489448444408
281,4.17327304452529,4.15058944350414,4.1491216404263,4.13840206352148,4.1171567736311,4.08856477549663,4.08435900283634
282,4.17452010657669,4.15255986036569,4.15115439523426,4.14094024902267,4.12118955742743,4.09527680455323,4.09371410292276
283,4.17577516702604,4.15466702076201,4.1533284249659,4.14364786933716,4.12531788011442,4.1019601861443,4.10295689177686
284,4.17703906020829,4.15689936489034,4.15563201780055,4.14650737159036,4.12953542837422,4.1086129823397,4.11208165971795
285,4.1783125548054,4.15924571587686,4.15805384318346,4.14950179446578,4.1338360760941,4.11523333667396,4.12108299625472
286,4.17959425318319,4.16169501826951,4.16058222750351,4.15261378910504,4.13821301136235,4.12181998564373,4.12995976700872
287,4.18087913820174,4.16423615387839,4.16320464965523,4.15582493653748,4.14265813079265,4.12837261199986,4.1387178633194
288,4.18216201315151,4.16685833978045,4.16590889586453,4.15911730219413,4.14716345285931,4.13489100204274,4.1473636755368
289,4.18343808224294,4.16955116039017,4.16868320313706,4.16247373999224,4.15172123572481,4.14137495694519,4.15590334748357
290,4.18470716398657,4.17230452826848,4.17151682390184,4.16588093089297,4.15632337192941,4.14782437081448,4.16434204495997
291,4.18597330250262,4.17510867595397,4.17439996127429,4.16932908653016,4.16096143483747,4.1542392232799,4.17268402881796
292,4.18724055704096,4.17795417360304,4.17732318170017,4.17280888341086,4.1656272663722,4.16061950109878,4.1809333961677
293,4.18851309650702,4.18083184088048,4.18027733876846,4.17631148991091,4.17031287946869,4.16696509865771,4.18909388589978
294,4.18979773345156,4.1837319815602,4.18325316211761,4.179830124636,4.17500936490467,4.17327489979091,4.19716669528052
295,4.19110270344331,4.18664474003906,4.18624144226407,4.18335928710868,4.17970740855038,4.17954722249737,4.2051515433157
296,4.19243595140417,4.18956060538622,4.18923329391396,4.1868936831245,4.18439802025171,4.18578044258266,4.21304816025819
297,4.19380421606979,4.19247021972657,4.19221987781917,4.1904275436043,4.18907255363186,4.19197279612586,4.2208561630069
298,4.19520766788112,4.19536324567423,4.19519076897345,4.19395068188628,4.19372281245642,4.19812115970166,4.22857419334882
299,4.19664376365374,4.19822915986811,4.19813510874345,4.19745130705202,4.1983409580629,4.20422192033028,4.236200533052
300,4.19811002636452,4.20105782228141,4.20104243273698,4.20091804975618,4.2029194403022,4.2102716018531,4.24373354681289
301,4.1996033578825,4.20383980460844,4.20390293744462,4.20433985501262,4.20745122594426,4.2162667930877,4.25117203998227
302,4.20111687416174,4.20656791376606,4.20670871983849,4.2077055050075,4.21193086866489,4.22220382526015,4.25851688605441
303,4.20264258094935,4.20923588161112,4.20945270682803,4.21100400040184,4.21635358789362,4.22807903767677,4.26576964399628
304,4.20417276037991,4.21183768056253,4.21212809504885,4.21422475258342,4.22071478746651,4.23388891369889,4.27293184010856
305,4.20570019710703,4.21436818370213,4.21472909766392,4.21735865621682,4.22501026618996,4.23963020549988,4.28000515230586
306,4.20721914967489,4.21682596789524,4.21725411446435,4.22040263991283,4.2292371236078,4.24530047234792,4.2869921858059
307,4.20872447749732,4.21921082367749,4.21970291588736,4.22335562266444,4.23339294961382,4.25089759708672,4.29389578914143
308,4.21021122254814,4.22152256956761,4.22207530219819,4.22621658820245,4.23747543709287,4.25641955452566,4.30071872978799
309,4.21167478995555,4.22376144879111,4.22437156877564,4.22898536101699,4.24148256428841,4.26186453965762,4.30746337751856
310,4.21311182743681,4.22593002148838,4.22659472478963,4.23166630724854,4.24541347437248,4.26723158821576,4.31413019226669
311,4.2145194915597,4.22803160424519,4.22874866368112,4.23426528229249,4.24926774538492,4.27252006056554,4.32071897371923
312,4.21589504463082,4.23006941692142,4.23083716293183,4.23678796185329,4.25304499000394,4.27772935853201,4.3272295451099
313,4.2172360289577,4.23204664871725,4.23286392779857,4.23923986813456,4.25674500725813,4.28285901901658,4.3336617193593
314,4.2185414285608,4.23396688345574,4.23483286860376,4.2416265280433,4.26036878580249,4.28790933689894,4.34001507588686
315,4.21981088807476,4.23583381970154,4.23674792061985,4.2439533755615,4.26391783176209,4.29288094672791,4.34628910841417
316,4.22104407586248,4.23765104311382,4.23861289779247,4.24622567295027,4.26739362089869,4.29777448169252,4.35248334527304
317,4.22224085545051,4.23942207901129,4.24043152930953,4.24844845249972,4.27079772115757,4.30259066122285,4.35859738915943
318,4.22340325772655,4.24115096484579,4.24220784502692,4.25062581747617,4.27413319520932,4.3073312969135,4.36463136839436
319,4.22453469473616,4.24284202643451,4.24394602648756,4.25276122687896,4.27740404300758,4.31199889188375,4.37058575571741
320,4.22563849603318,4.24449945857408,4.24565012662397,4.25485802172455,4.28061416296261,4.31659589468981,4.37646103177109
321,4.22671792584058,4.24612735999507,4.24732410691369,4.25691946652781,4.28376736754202,4.32112471351878,4.38225771364358
322,4.2277773383034,4.24773081218307,4.24897290783159,4.25894953709007,4.28686826800335,4.32558844828063,4.38797731911433
323,4.22882227864847,4.24931597470625,4.25060254334084,4.26095299024951,4.2899223526883,4.32999095460189,4.39362244873495
324,4.22985817800819,4.25088886840909,4.25221889329757,4.26293447565848,4.29293498940297,4.33433601646348,4.39919569092808
325,4.23089028452863,4.25245531339686,4.25382764222207,4.26489849344813,4.29591137435306,4.3386273031445,4.4046995631522
326,4.23192345171097,4.25402100343964,4.25543443488702,4.2668500031514,4.29885652644336,4.34286837827524,4.41013658345067
327,4.23296189218828,4.25559159114921,4.25704505560011,4.26879512855477,4.30177527979347,4.34706270975001,4.41550935301747
328,4.23400961153076,4.25717255706705,4.25866513617356,4.27073996469015,4.30467230880041,4.35121366088339,4.42082042003754
329,4.23507047741802,4.25876919432632,4.26030011624773,4.27269040171586,4.30755213556873,4.35532449149344,4.42607226066763
330,4.23614790215591,4.26038625083693,4.26195489042354,4.27465191970253,4.31041888040538,4.3593982331915,4.43126716277723
