NH3-H2O 4wt%  Specific Heat - Large HF,,,,
Creation Date : 6/27/2022 10:38:41 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4745.9 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,298.951638,298.910061,38.07456
2,11.6,298.949301,298.910694,36.649635
3,23.2,298.946829,298.910694,35.271206
4,34.8,298.944136,298.911229,33.946604
5,46.4,298.941506,298.911505,32.67106
6,58,298.939349,298.912098,31.442837
7,69.6,298.937111,298.912852,30.25714
8,81.2,298.935053,298.912436,29.116752
9,92.8,298.932799,298.912812,28.019727
10,104.4,298.930642,298.912594,26.963705
11,116,298.927891,298.912415,25.94438
12,127.6,298.925396,298.913523,24.962579
13,139.2,298.923775,298.912911,24.01769
14,150.8,298.921084,298.914454,23.109967
15,162.4,298.919619,298.91384,22.233502
16,174,298.916888,298.914534,21.389592
17,185.6,298.914593,298.913622,20.576241
18,197.2,298.912238,298.915106,19.79851
19,208.8,298.910378,298.914929,19.044308
20,220.4,298.908299,298.914395,18.31772
21,232,298.906064,298.914277,17.620793
22,243.6,298.903571,298.914395,16.949927
23,255.2,298.90165,298.91479,16.301695
24,266.8,298.899474,298.915285,15.679871
25,278.4,298.897118,298.914494,15.080187
26,290,298.895537,298.914889,14.504322
27,301.6,298.892706,298.914355,13.950764
28,313.2,298.890667,298.91572,13.415188
29,324.8,298.888094,298.91469,12.903994
30,336.4,298.885878,298.916018,12.407862
31,348,298.883366,298.915463,11.930274
32,359.6,298.880774,298.915047,11.472748
33,371.2,298.878598,298.915165,11.031507
34,382.8,298.87636,298.914711,10.606906
35,394.4,298.873728,298.915068,10.20099
36,406,298.871117,298.914988,9.808453
37,417.6,298.869038,298.91396,9.432388
38,429.2,298.865675,298.914336,9.067801
39,440.8,298.862727,298.91483,8.720532
40,452.4,298.860114,298.913781,8.383565
41,464,298.857561,298.913762,8.062024
42,475.6,298.854573,298.913424,7.752489
43,487.2,298.852002,298.914513,7.454949
44,498.8,298.849131,298.914057,7.16788
45,510.4,298.846321,298.913424,6.891788
46,522,298.843432,298.914355,6.626832
47,533.6,298.83993,298.912831,6.370637
48,545.2,298.836804,298.913445,6.130721
49,556.8,298.833598,298.911387,5.896136
50,568.4,298.830134,298.912793,5.668906
51,580,298.82683,298.911585,5.45215
52,591.6,298.823248,298.910536,5.244482
53,603.2,298.819626,298.910378,5.04487
54,614.8,298.815966,298.91099,4.853313
55,626.4,298.812167,298.91004,4.668452
56,638,298.808405,298.909922,4.493191
57,649.6,298.804289,298.909388,4.325648
58,661.2,298.800173,298.909329,4.162047
59,672.8,298.796236,298.909071,4.004793
60,684.4,298.791882,298.909052,3.856797
61,696,298.786995,298.908398,3.716178
62,707.6,298.783116,298.907824,3.578646
63,719.2,298.778168,298.907053,3.448316
64,730.8,298.773676,298.906123,3.326904
65,742.4,298.768591,298.906163,3.207376
66,754,298.763169,298.905213,3.092652
67,765.6,298.757349,298.905035,2.980669
68,777.2,298.752087,298.904402,2.877434
69,788.8,298.746724,298.904005,2.775913
70,800.4,298.741124,298.903214,2.681424
71,812,298.73493,298.901947,2.592252
72,823.6,298.729092,298.901631,2.505822
73,835.2,298.723135,298.900898,2.42488
74,846.8,298.716586,298.900483,2.347195
75,858.4,298.709856,298.899771,2.269683
76,870,298.703347,298.898424,2.201432
77,881.6,298.69644,298.897732,2.133866
78,893.2,298.689059,298.896525,2.070246
79,904.8,298.681738,298.896366,2.010052
80,916.4,298.674534,298.895892,1.955004
81,928,298.666975,298.894783,1.904073
