H2O-NH3 6wt% Specific Heat - Large HF,,,,
Creation Date : 9/12/2022 10:05:39 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4629.3 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,300.52952,300.582505,115.949371
2,16.9,300.529362,300.582901,109.719677
3,33.8,300.529362,300.583079,103.825257
4,50.7,300.528906,300.582921,98.251034
5,67.6,300.52962,300.582762,92.977979
6,84.5,300.528748,300.583159,87.987206
7,101.4,300.52859,300.583456,83.27125
8,118.3,300.528786,300.582901,78.809097
9,135.2,300.528826,300.583376,74.582451
10,152.1,300.528153,300.583556,70.588863
11,169,300.527756,300.583277,66.810859
12,185.9,300.528212,300.582783,63.233356
13,202.8,300.527579,300.583258,59.852183
14,219.7,300.527302,300.583634,56.648223
15,236.6,300.527499,300.582604,53.619492
16,253.5,300.527876,300.582724,50.752323
17,270.4,300.527281,300.582505,48.041662
18,287.3,300.526627,300.582625,45.475316
19,304.2,300.526469,300.582346,43.044079
20,321.1,300.525854,300.581595,40.742641
21,338,300.526192,300.581614,38.563929
22,354.9,300.525696,300.582426,36.502302
23,371.8,300.525656,300.58199,34.551154
24,388.7,300.5254,300.581158,32.702575
25,405.6,300.524291,300.581515,30.953432
26,422.5,300.52421,300.580605,29.29815
27,439.4,300.524291,300.580624,27.7341
28,456.3,300.523894,300.580881,26.247604
29,473.2,300.523558,300.580881,24.841588
30,490.1,300.522528,300.580603,23.515533
31,507,300.522271,300.580386,22.255395
32,523.9,300.521775,300.580584,21.063219
33,540.8,300.520031,300.580327,19.935774
34,557.7,300.52009,300.580029,18.866027
35,574.6,300.519516,300.579871,17.855689
36,591.5,300.518626,300.579157,16.898778
37,608.4,300.518191,300.579119,15.992879
38,625.3,300.516526,300.578465,15.133216
39,642.2,300.515477,300.578822,14.321479
40,659.1,300.514109,300.57795,13.554103
41,676,300.513436,300.577612,12.825072
42,692.9,300.511612,300.577931,12.135412
43,709.8,300.510603,300.57787,11.48
44,726.7,300.509673,300.577435,10.863799
45,743.6,300.507414,300.577078,10.283724
46,760.5,300.506325,300.576445,9.728136
47,777.4,300.504502,300.576207,9.20456
48,794.3,300.502026,300.576207,8.709917
49,811.2,300.500065,300.575573,8.239421
50,828.1,300.498105,300.575493,7.796315
51,845,300.49547,300.57482,7.374787
52,861.9,300.493014,300.574324,6.980822
53,878.8,300.490399,300.574187,6.604832
54,895.7,300.487269,300.573967,6.249218
55,912.6,300.48412,300.573098,5.916207
56,929.5,300.480971,300.572522,5.597406
57,946.4,300.477524,300.572266,5.297949
58,963.3,300.473563,300.57177,5.014246
59,980.2,300.470393,300.571255,4.744069
60,997.1,300.466313,300.571413,4.493578
61,1014,300.462351,300.570284,4.253537
62,1030.9,300.45736,300.569353,4.029247
63,1047.8,300.452229,300.568898,3.816426
64,1064.7,300.4471,300.568264,3.615419
65,1081.6,300.441573,300.567828,3.432219
66,1098.5,300.435274,300.567055,3.248676
67,1115.4,300.429331,300.566103,3.083797
68,1132.3,300.422915,300.565075,2.925937
69,1149.2,300.416279,300.564204,2.778692
70,1166.1,300.40988,300.563847,2.637781
71,1183,300.402493,300.563311,2.51228
72,1199.9,300.393896,300.562005,2.392088
73,1216.8,300.385636,300.560776,2.276347
74,1233.7,300.376881,300.559569,2.170708
75,1250.6,300.36858,300.558558,2.071061
76,1267.5,300.359074,300.55822,1.981171
77,1284.4,300.350022,300.556498,1.896764
78,1301.3,300.339106,300.554379,1.817322
79,1318.2,300.328452,300.553824,1.744383
80,1335.1,300.31724,300.552456,1.680178
81,1352,300.305592,300.550812,1.617857
82,1368.9,300.293629,300.549645,1.563582
83,1385.8,300.281289,300.547842,1.514958
84,1402.7,300.268671,300.546118,1.468902
85,1419.6,300.254569,300.544653,1.433461
86,1436.5,300.241137,300.542157,1.395454
87,1453.4,300.226323,300.540888,1.366519
88,1470.3,300.210852,300.538176,1.343407
89,1487.2,300.195263,300.536215,1.321665
90,1504.1,300.178763,300.533877,1.308655
91,1521,300.161967,300.53158,1.295131
92,1537.9,300.144158,300.529301,1.289826
93,1554.8,300.126828,300.52645,1.281268
94,1571.7,300.108624,300.524666,1.286578
95,1588.6,300.088994,300.522013,1.293259
96,1605.5,300.069762,300.518586,1.301996
97,1622.4,300.049893,300.516228,1.314327
98,1639.3,300.027829,300.512722,1.332139
99,1656.2,300.006337,300.509394,1.352005
100,1673.1,299.983815,300.505988,1.373927
101,1690,299.961392,300.502205,1.403554
102,1706.9,299.93693,300.499115,1.44003
103,1723.8,299.912407,300.495114,1.475308
104,1740.7,299.886875,300.490637,1.516581
105,1757.6,299.861264,300.48725,1.560421
106,1774.5,299.833889,300.482693,1.608543
107,1791.4,299.80703,300.47798,1.660776
108,1808.3,299.777993,300.473721,1.716947
109,1825.2,299.748894,300.46877,1.778771
110,1842.1,299.718827,300.464253,1.841963
111,1859,299.688044,300.458746,1.909782
112,1875.9,299.656292,300.453457,1.98017
113,1892.8,299.622639,300.448447,2.057407
114,1909.7,299.588194,300.44191,2.133963
115,1926.6,299.55345,300.435927,2.218395
116,1943.5,299.517203,300.430401,2.304883
117,1960.4,299.479191,300.424876,2.394454
118,1977.3,299.440844,300.417546,2.49105
119,1994.2,299.400773,300.410494,2.587819
120,2011.1,299.359969,300.403265,2.692467
121,2028,299.317084,300.396946,2.801395
122,2044.9,299.273823,300.389439,2.909642
123,2061.8,299.228564,300.381852,3.026625
124,2078.7,299.182312,300.373711,3.145495
125,2095.6,299.134457,300.365887,3.268647
126,2112.5,299.084601,300.357033,3.397798
