NH3-H2O 10wt%  Specific Heat - Large HF,,,,
Creation Date : 7/20/2022 2:35:24 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4398.7 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,299.110568,299.144419,79.039486
2,11.6,299.110589,299.143727,76.102244
3,23.2,299.110924,299.144776,73.271523
4,34.8,299.110945,299.144797,70.542895
5,46.4,299.110568,299.144518,67.917147
6,58,299.110846,299.145033,65.385647
7,69.6,299.110846,299.144797,62.944561
8,81.2,299.111222,299.1444,60.596737
9,92.8,299.11043,299.145092,58.335612
10,104.4,299.111222,299.144875,56.154092
11,116,299.111262,299.145331,54.058944
12,127.6,299.111182,299.145331,52.036347
13,139.2,299.110589,299.14535,50.087472
14,150.8,299.110766,299.14543,48.213688
15,162.4,299.110548,299.145073,46.405761
16,174,299.110529,299.145272,44.665533
17,185.6,299.110489,299.14547,42.990795
18,197.2,299.110409,299.145628,41.378817
19,208.8,299.110648,299.145728,39.823929
20,220.4,299.110468,299.14551,38.329235
21,232,299.109755,299.145411,36.885286
22,243.6,299.109974,299.145548,35.495161
23,255.2,299.109875,299.145291,34.159746
24,266.8,299.109696,299.145033,32.871476
25,278.4,299.109419,299.145113,31.631889
26,290,299.109637,299.14539,30.437729
27,301.6,299.108984,299.14539,29.286955
28,313.2,299.108904,299.145607,28.181782
29,324.8,299.109143,299.145647,27.115361
30,336.4,299.10837,299.145688,26.085629
31,348,299.108092,299.145192,25.095689
32,359.6,299.107439,299.145827,24.145324
33,371.2,299.107062,299.14539,23.228762
34,382.8,299.107399,299.146203,22.344403
35,394.4,299.106944,299.144915,21.491466
36,406,299.106646,299.14547,20.674496
37,417.6,299.105913,299.145251,19.886685
38,429.2,299.10516,299.145033,19.124594
39,440.8,299.104824,299.145232,18.39421
40,452.4,299.104269,299.145033,17.689726
41,464,299.102982,299.145213,17.01198
42,475.6,299.102526,299.145092,16.360127
43,487.2,299.102229,299.145014,15.73142
44,498.8,299.101199,299.145312,15.122425
45,510.4,299.100506,299.145132,14.542411
46,522,299.099318,299.145153,13.983311
47,533.6,299.098744,299.144419,13.443425
48,545.2,299.09799,299.143904,12.92085
49,556.8,299.096781,299.1444,12.422609
50,568.4,299.096049,299.144539,11.938089
51,580,299.095118,299.144797,11.474655
52,591.6,299.093216,299.144478,11.027345
53,603.2,299.092106,299.143469,10.596672
54,614.8,299.09072,299.144539,10.184494
55,626.4,299.08963,299.144043,9.786734
56,638,299.08771,299.144242,9.402169
57,649.6,299.085749,299.143786,9.032012
58,661.2,299.084679,299.143212,8.677285
59,672.8,299.083016,299.142992,8.336443
60,684.4,299.080283,299.143191,8.008114
61,696,299.079192,299.142756,7.690763
62,707.6,299.076657,299.143113,7.385063
63,719.2,299.074755,299.142874,7.092913
64,730.8,299.072695,299.142458,6.810365
65,742.4,299.070359,299.142517,6.536729
66,754,299.067763,299.142102,6.27767
67,765.6,299.065268,299.141487,6.027527
68,777.2,299.062554,299.141468,5.786295
69,788.8,299.060038,299.142002,5.55552
70,800.4,299.057227,299.141171,5.32938
71,812,299.054234,299.140736,5.116269
72,823.6,299.051184,299.14032,4.910187
73,835.2,299.047955,299.14024,4.713019
74,846.8,299.044489,299.139864,4.521509
75,858.4,299.040844,299.139508,4.338058
76,870,299.037854,299.139269,4.164036
77,881.6,299.033516,299.139052,3.995158
78,893.2,299.03011,299.139071,3.833822
79,904.8,299.026186,299.138279,3.677804
80,916.4,299.021511,299.137942,3.5295
81,928,299.016898,299.137507,3.388739
82,939.6,299.0124,299.136595,3.252267
83,951.2,299.007983,299.135943,3.119394
84,962.8,299.00319,299.134714,2.992523
85,974.4,298.998022,299.135586,2.87199
86,986,298.992838,299.134654,2.756605
87,997.6,298.987633,299.133843,2.645164
88,1009.2,298.982251,299.133763,2.541607
89,1020.8,298.976551,299.132792,2.440967
90,1032.4,298.970496,299.132376,2.345297
91,1044,298.964182,299.131684,2.249285
92,1055.6,298.957812,299.130911,2.161503
93,1067.2,298.951716,299.130337,2.077664
94,1078.8,298.945305,299.129662,1.99794
95,1090.4,298.938557,299.128474,1.923017
96,1102,298.931057,299.12798,1.852036
97,1113.6,298.923893,299.12691,1.782943
98,1125.2,298.916117,299.12592,1.716763
99,1136.8,298.90832,299.125325,1.653327
100,1148.4,298.899731,299.124394,1.596748
101,1160,298.892092,299.123423,1.542399
102,1171.6,298.883978,299.122315,1.489936
