NH3-H2O 8wt%  Specific Heat - Large HF,,,,
Creation Date : 7/14/2022 11:04:01 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4550 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,298.94855,298.777476,11.591764
2,11.6,298.94578,298.778882,11.126439
3,23.2,298.941664,298.779494,10.675186
4,34.8,298.939228,298.780188,10.238856
5,46.4,298.935686,298.780741,9.814876
6,58,298.933609,298.782206,9.408039
7,69.6,298.930682,298.782542,9.011332
8,81.2,298.927218,298.783453,8.6316
9,92.8,298.924921,298.784699,8.262157
10,104.4,298.922112,298.785155,7.905584
11,116,298.91956,298.786658,7.559637
12,127.6,298.917086,298.787213,7.226904
13,139.2,298.914256,298.787747,6.907378
14,150.8,298.911999,298.789053,6.598138
15,162.4,298.909844,298.790121,6.299876
16,174,298.906836,298.790497,6.009509
17,185.6,298.905014,298.790774,5.73475
18,197.2,298.9026,298.791525,5.468049
19,208.8,298.900839,298.792219,5.210954
20,220.4,298.897751,298.793347,4.961574
21,232,298.895537,298.793961,4.72043
22,243.6,298.894072,298.794831,4.491463
23,255.2,298.89148,298.79489,4.270731
24,266.8,298.889124,298.795523,4.056343
25,278.4,298.886967,298.796414,3.849672
26,290,298.885226,298.79673,3.652437
27,301.6,298.883326,298.797304,3.462918
28,313.2,298.880852,298.798354,3.280259
29,324.8,298.878756,298.799223,3.104804
30,336.4,298.876696,298.798829,2.935355
31,348,298.874382,298.798869,2.77208
32,359.6,298.872601,298.799937,2.617377
33,371.2,298.870503,298.800055,2.466279
34,382.8,298.86797,298.801501,2.321866
35,394.4,298.866644,298.80152,2.184489
36,406,298.864388,298.802113,2.051912
37,417.6,298.862271,298.802548,1.924139
38,429.2,298.860173,298.803301,1.801681
39,440.8,298.858055,298.803301,1.684713
40,452.4,298.855879,298.803221,1.573062
41,464,298.854138,298.80435,1.465869
42,475.6,298.851447,298.80419,1.361079
43,487.2,298.849429,298.804825,1.264176
44,498.8,298.847271,298.805338,1.168132
45,510.4,298.845114,298.80609,1.077233
46,522,298.843115,298.805577,0.993538
