H2O-NH3 3.2wt%  Specific Heat - Large HF,,,,
Creation Date : 8/3/2022 1:07:56 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4764.8 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,298.896882,298.881762,187.635157
2,11.6,298.895218,298.881922,180.641761
3,23.2,298.894368,298.882317,173.909356
4,34.8,298.893815,298.882969,167.428842
5,46.4,298.893162,298.883801,161.187195
6,58,298.892489,298.884335,155.180392
7,69.6,298.891796,298.88485,149.400632
8,81.2,298.891281,298.885642,143.838302
9,92.8,298.890787,298.885701,138.484454
10,104.4,298.890192,298.885483,133.330939
11,116,298.88954,298.886195,128.37074
12,127.6,298.888947,298.886948,123.599029
13,139.2,298.888808,298.886572,119.001682
14,150.8,298.888392,298.887184,114.576406
15,162.4,298.887976,298.887699,110.314747
16,174,298.888134,298.887759,106.216397
17,185.6,298.88764,298.887858,102.268797
18,197.2,298.887066,298.887976,98.466438
19,208.8,298.88665,298.88855,94.80656
20,220.4,298.886452,298.889124,91.281641
21,232,298.886669,298.889897,87.891678
22,243.6,298.885918,298.889164,84.621719
23,255.2,298.885266,298.889559,81.473253
24,266.8,298.885977,298.88958,78.44143
25,278.4,298.885523,298.889777,75.5245
26,290,298.885325,298.890173,72.71388
27,301.6,298.885285,298.890114,70.005842
28,313.2,298.885107,298.890847,67.396019
29,324.8,298.884018,298.891024,64.889302
30,336.4,298.884514,298.891419,62.467297
31,348,298.883978,298.891322,60.139975
32,359.6,298.883028,298.891796,57.895972
33,371.2,298.882653,298.891835,55.736539
34,382.8,298.883108,298.892449,53.655276
35,394.4,298.882593,298.891974,51.652959
36,406,298.88206,298.892706,49.717287
37,417.6,298.881447,298.892983,47.860187
38,429.2,298.88119,298.892884,46.066555
39,440.8,298.880991,298.893063,44.34305
40,452.4,298.880259,298.892725,42.680109
41,464,298.88016,298.893538,41.082969
42,475.6,298.879546,298.893439,39.539545
43,487.2,298.879626,298.89328,38.055628
44,498.8,298.879507,298.893696,36.626743
45,510.4,298.878083,298.893557,35.246237
46,522,298.878319,298.893418,33.920951
47,533.6,298.877152,298.893834,32.640578
48,545.2,298.876242,298.89427,31.415258
49,556.8,298.876202,298.893479,30.225639
50,568.4,298.874876,298.894091,29.083143
51,580,298.87456,298.89423,27.985247
52,591.6,298.873511,298.89419,26.924056
53,603.2,298.873253,298.894684,25.902296
54,614.8,298.872403,298.894348,24.919655
55,626.4,298.871592,298.89433,23.97405
56,638,298.870819,298.894348,23.061883
57,649.6,298.869494,298.89433,22.183675
58,661.2,298.868901,298.894072,21.338911
59,672.8,298.867476,298.894804,20.522252
60,684.4,298.866129,298.894665,19.741281
61,696,298.864785,298.895041,18.98431
62,707.6,298.863478,298.894606,18.25702
63,719.2,298.861597,298.895121,17.556811
64,730.8,298.860707,298.894429,16.880973
65,742.4,298.859303,298.894448,16.230161
66,754,298.857897,298.894804,15.606612
67,765.6,298.856413,298.894309,15.001938
68,777.2,298.854771,298.894743,14.421603
69,788.8,298.852753,298.894348,13.863917
70,800.4,298.850596,298.893954,13.327496
71,812,298.84832,298.894131,12.811818
72,823.6,298.846241,298.894448,12.312429
73,835.2,298.843729,298.894427,11.829337
74,846.8,298.842265,298.893933,11.366658
75,858.4,298.840247,298.894032,10.923522
76,870,298.837258,298.894389,10.498389
77,881.6,298.834072,298.894389,10.086123
78,893.2,298.831242,298.893259,9.687415
79,904.8,298.828511,298.893736,9.30807
80,916.4,298.826098,298.89334,8.941081
81,928,298.822693,298.892607,8.586956
82,939.6,298.818934,298.893221,8.247396
83,951.2,298.815827,298.892647,7.919508
84,962.8,298.811671,298.892806,7.60962
85,974.4,298.808663,298.892725,7.303164
86,986,298.804568,298.891796,7.012663
87,997.6,298.800412,298.891182,6.732106
88,1009.2,298.796671,298.891123,6.463206
89,1020.8,298.792475,298.891142,6.205281
90,1032.4,298.787905,298.890431,5.957479
91,1044,298.783532,298.889916,5.718421
92,1055.6,298.778307,298.890152,5.487934
93,1067.2,298.774331,298.889441,5.26997
94,1078.8,298.768156,298.889224,5.057492
95,1090.4,298.76301,298.888609,4.855991
96,1102,298.757153,298.888689,4.660146
97,1113.6,298.75177,298.887799,4.474423
98,1125.2,298.74613,298.887026,4.297788
99,1136.8,298.740509,298.886572,4.123553
100,1148.4,298.733723,298.885918,3.959265
101,1160,298.727391,298.885424,3.800464
102,1171.6,298.720444,298.885483,3.65075
103,1183.2,298.713934,298.884455,3.5091
104,1194.8,298.70673,298.883643,3.371222
105,1206.4,298.69919,298.88291,3.239003
106,1218,298.692305,298.881506,3.112959
107,1229.6,298.68433,298.881506,2.990856
108,1241.2,298.675503,298.880082,2.878702
109,1252.8,298.667588,298.879328,2.76912
110,1264.4,298.659377,298.878498,2.664339
111,1276,298.65049,298.877963,2.566074
112,1287.6,298.64218,298.876934,2.470211
113,1299.2,298.632939,298.875332,2.384295
114,1310.8,298.623698,298.874777,2.299407
115,1322.4,298.613882,298.873846,2.218634
116,1334,298.603512,298.872483,2.146095
117,1345.6,298.59352,298.871195,2.072183
118,1357.2,298.582953,298.870543,2.006158
119,1368.8,298.572306,298.869078,1.940993
120,1380.4,298.561501,298.867594,1.884916
121,1392,298.549391,298.865971,1.830212
122,1403.6,298.539139,298.864884,1.779622
123,1415.2,298.527008,298.863121,1.729719
124,1426.8,298.514819,298.862053,1.68496
125,1438.4,298.502531,298.860035,1.646548
126,1450,298.489945,298.858431,1.607964
127,1461.6,298.4772,298.857205,1.574009
