H2O-NH3 9.5wt% Specific Heat - Large HF 24Oct22,,,,
Creation Date : 10/27/2022 11:02:41 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4194.3 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,318.902956,318.992659,-1768.158722
2,17.7,318.876017,318.986918,-1768.165954
3,35.4,318.85145,318.979964,-1685.270344
4,53.1,318.826647,318.974287,-1588.596637
5,70.8,318.802798,318.968768,-1497.246579
6,88.5,318.778948,318.963526,-1411.035492
7,106.2,318.756293,318.958209,-1329.748323
8,123.9,318.733637,318.952868,-1253.091631
9,141.6,318.711581,318.948325,-1180.85998
10,159.3,318.689604,318.942904,-1112.811733
11,177,318.668185,318.938284,-1048.639916
12,194.7,318.646906,318.932822,-988.183517
13,212.4,318.625189,318.92866,-931.201368
14,230.1,318.604308,318.924437,-877.464556
15,247.8,318.582831,318.919375,-826.831103
16,265.5,318.562308,318.914851,-779.117546
17,283.2,318.542025,318.909552,-734.122732
18,300.9,318.521922,318.905466,-691.724357
19,318.6,318.502234,318.900286,-651.773047
20,336.3,318.481612,318.896342,-614.08703
21,354,318.461985,318.891379,-578.592121
22,371.7,318.442599,318.886736,-545.126286
23,389.4,318.42327,318.881438,-513.582516
24,407.1,318.403067,318.876738,-483.847878
25,424.8,318.383601,318.871794,-455.818343
26,442.5,318.36513,318.866873,-429.395775
27,460.2,318.346121,318.862849,-404.488644
28,477.9,318.327071,318.857291,-381.005142
29,495.6,318.307963,318.85187,-358.867156
30,513.3,318.289275,318.847288,-338.005779
31,531,318.270125,318.841452,-318.330242
32,548.7,318.251513,318.836829,-299.786589
33,566.4,318.23308,318.831309,-282.311867
34,584.1,318.214789,318.826166,-265.835962
35,601.8,318.195898,318.820212,-250.303156
36,619.5,318.177031,318.81473,-235.662779
37,637.2,318.159117,318.809332,-221.865338
38,654.9,318.140128,318.804213,-208.859225
39,672.6,318.122294,318.799033,-196.599618
40,690.3,318.103663,318.792555,-185.039655
41,708,318.08515,318.786818,-174.142779
42,725.7,318.06666,318.780878,-163.870026
43,743.4,318.048228,318.775339,-154.18505
44,761.1,318.029993,318.769842,-145.052833
45,778.8,318.011004,318.763445,-136.445149
46,796.5,317.992575,318.757071,-128.327985
47,814.2,317.973128,318.750555,-120.678277
48,831.9,317.954615,318.744616,-113.461214
49,849.6,317.935267,318.73836,-106.659342
50,867.3,317.916579,318.731287,-100.244368
51,885,317.898028,318.725748,-94.19572
52,902.7,317.877665,318.718119,-88.493913
53,920.4,317.858336,318.711684,-83.115797
54,938.1,317.838171,318.705206,-78.045779
55,955.8,317.818785,318.697596,-73.259958
56,973.5,317.797987,318.691279,-68.749788
57,991.2,317.777167,318.683707,-64.494316
58,1008.9,317.7573,318.676375,-60.48149
59,1026.6,317.735842,318.669741,-56.692578
60,1044.3,317.715361,318.662188,-53.120064
61,1062,317.693686,318.655096,-49.750228
62,1079.7,317.671294,318.647086,-46.565419
63,1097.4,317.649077,318.639555,-43.563054
64,1115.1,317.626685,318.631785,-40.725118
65,1132.8,317.603697,318.623694,-38.044188
66,1150.5,317.580168,318.615904,-35.513672
67,1168.2,317.556342,318.607516,-33.119935
68,1185.9,317.531802,318.599966,-30.861258
69,1203.6,317.50664,318.591479,-28.722165
70,1221.3,317.482497,318.583449,-26.704144
71,1239,317.456442,318.574801,-24.791028
72,1256.7,317.430167,318.565695,-22.984669
73,1274.4,317.402899,318.557764,-21.27323
74,1292.1,317.375349,318.54838,-19.652881
75,1309.8,317.347582,318.539534,-18.116674
76,1327.5,317.319457,318.53057,-16.665802
77,1345.2,317.290079,318.520747,-15.288633
78,1362.9,317.260519,318.510893,-13.985329
79,1380.6,317.230048,318.501734,-12.749641
80,1398.3,317.198119,318.491862,-11.575008
