H2O-NH3 2wt% Specific Heat - Large HF 03Nov22,,,,
Creation Date : 11/7/2022 9:33:05 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4850.5 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,318.661433,317.872729,-1769.583562
2,17.7,318.600684,317.871474,-1769.585175
3,35.4,318.542601,317.871294,-1706.857289
4,53.1,318.489535,317.871832,-1612.456421
5,70.8,318.438696,317.871333,-1523.07048
6,88.5,318.389494,317.870837,-1438.619726
7,106.2,318.343554,317.870718,-1358.866583
8,123.9,318.298869,317.870837,-1283.589938
9,141.6,318.255236,317.869502,-1212.509862
10,159.3,318.212382,317.869601,-1145.379733
11,177,318.171378,317.869166,-1082.035636
12,194.7,318.131667,317.867651,-1022.220764
13,212.4,318.092951,317.867354,-965.729286
14,230.1,318.053839,317.866835,-912.385867
15,247.8,318.01602,317.86582,-862.012083
16,265.5,317.979399,317.86431,-814.44942
17,283.2,317.94353,317.863093,-769.527748
18,300.9,317.907938,317.862219,-727.092008
19,318.6,317.873045,317.859751,-687.033929
20,336.3,317.838751,317.858118,-649.169977
21,354,317.804495,317.856047,-613.434495
22,371.7,317.77199,317.854277,-579.656177
23,389.4,317.738989,317.852725,-547.757204
24,407.1,317.707419,317.849837,-517.63363
25,424.8,317.675971,317.84685,-489.17981
26,442.5,317.644282,317.844405,-462.302098
27,460.2,317.613886,317.841498,-436.906555
28,477.9,317.584032,317.838831,-412.91412
29,495.6,317.554114,317.835665,-390.245184
30,513.3,317.524832,317.832381,-368.827392
31,531,317.495413,317.829474,-348.602267
32,548.7,317.466551,317.825533,-329.496033
33,566.4,317.438307,317.82205,-311.431559
34,584.1,317.409964,317.818449,-294.367979
35,601.8,317.382697,317.814608,-278.256874
36,619.5,317.354571,317.810503,-263.026702
37,637.2,317.328375,317.805708,-248.632635
38,654.9,317.300768,317.801508,-235.035987
39,672.6,317.274035,317.79711,-222.197407
40,690.3,317.247443,317.792948,-210.06297
41,708,317.221747,317.787875,-198.592887
42,725.7,317.195254,317.782618,-187.760027
43,743.4,317.169714,317.777663,-177.517739
44,761.1,317.144316,317.772868,-167.841095
45,778.8,317.118521,317.767233,-158.695771
46,796.5,317.093699,317.762434,-150.055592
47,814.2,317.068518,317.756403,-141.884671
48,831.9,317.043002,317.750754,-134.164445
49,849.6,317.017863,317.745138,-126.868629
50,867.3,316.993021,317.739249,-119.967718
51,885,316.96802,317.732977,-113.445172
52,902.7,316.943041,317.726946,-107.275466
53,920.4,316.918658,317.720896,-101.442588
54,938.1,316.893359,317.71353,-95.928235
55,955.8,316.868357,317.70714,-90.715544
56,973.5,316.843497,317.700972,-85.785164
57,991.2,316.818495,317.693884,-81.119105
58,1008.9,316.793436,317.686598,-76.709395
