Blank_run2 for H2O-NH3  Specific Heat - Large HF,,,,
Creation Date : 8/15/2022 9:37:04 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 0 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,299.146401,299.173003,10.312113
2,16.9,299.143668,299.173022,9.576096
3,33.8,299.14127,299.173201,8.887913
4,50.7,299.138357,299.172764,8.248081
5,67.6,299.135565,299.171973,7.652141
6,84.5,299.13192,299.172467,7.093396
7,101.4,299.128514,299.172308,6.57906
8,118.3,299.124533,299.17215,6.099355
9,135.2,299.120451,299.172072,5.651197
10,152.1,299.116055,299.172369,5.23561
11,169,299.111538,299.171694,4.847289
12,185.9,299.106627,299.171299,4.486912
13,202.8,299.101397,299.170903,4.152079
14,219.7,299.09585,299.170388,3.836278
15,236.6,299.089611,299.170149,3.54722
16,253.5,299.083926,299.170012,3.277879
17,270.4,299.076737,299.169358,3.025512
18,287.3,299.070219,299.168961,2.790632
19,304.2,299.062752,299.167773,2.571698
20,321.1,299.055146,299.166703,2.365621
21,338,299.047303,299.166684,2.178745
22,354.9,299.039082,299.165892,2.001299
23,371.8,299.030505,299.164961,1.839455
24,388.7,299.021195,299.164128,1.687383
25,405.6,299.011746,299.163277,1.54234
26,422.5,299.001189,299.162207,1.412384
27,439.4,298.990899,299.161177,1.2898
28,456.3,298.980391,299.160206,1.174417
29,473.2,298.968695,299.159294,1.069149
30,490.1,298.957495,299.158028,0.967825
31,507,298.944849,299.156483,0.875758
32,523.9,298.9326,299.154978,0.790721
33,540.8,298.919321,299.153412,0.711341
34,557.7,298.905154,299.152699,0.637619
35,574.6,298.890946,299.150421,0.567155
36,591.5,298.876381,299.148737,0.500633
37,608.4,298.861044,299.147093,0.441998
38,625.3,298.84553,299.144579,0.385763
39,642.2,298.82952,299.142874,0.331928
40,659.1,298.812739,299.140814,0.282551
41,676,298.795386,299.139111,0.237974
42,692.9,298.777398,299.136238,0.196655
43,709.8,298.758814,299.133486,0.157736
44,726.7,298.740332,299.131445,0.120874
45,743.6,298.720959,299.128731,0.088127
46,760.5,298.700854,299.125998,0.053322
47,777.4,298.680767,299.122967,0.024346
48,794.3,298.659159,299.119641,-0.002229
49,811.2,298.63739,299.117165,-0.024175
50,828.1,298.615267,299.11344,-0.050236
51,845,298.592707,299.109816,-0.070126
52,861.9,298.569516,299.106053,-0.095501
53,878.8,298.54567,299.102467,-0.111962
54,895.7,298.521964,299.099101,-0.129794
55,912.6,298.496119,299.094584,-0.149169
56,929.5,298.471342,299.090661,-0.165287
57,946.4,298.444766,299.086581,-0.177461
58,963.3,298.41825,299.081412,-0.193408
59,980.2,298.391415,299.077608,-0.207811
60,997.1,298.363198,299.073012,-0.2205
61,1014,298.335255,299.068079,-0.228732
62,1030.9,298.306126,299.06297,-0.238849
63,1047.8,298.275929,299.056889,-0.249481
64,1064.7,298.246146,299.05164,-0.258742
65,1081.6,298.215592,299.046053,-0.269031
66,1098.5,298.185097,299.040112,-0.277949
67,1115.4,298.152684,299.033991,-0.281895
68,1132.3,298.120467,299.028981,-0.289612
69,1149.2,298.087302,299.022066,-0.299559
70,1166.1,298.053898,299.01549,-0.30762
71,1183,298.019902,299.008795,-0.310709
72,1199.9,297.984795,299.001923,-0.317227
73,1216.8,297.949988,298.994679,-0.323231
74,1233.7,297.914406,298.987078,-0.329063
75,1250.6,297.877718,298.980015,-0.330609
76,1267.5,297.840476,298.972771,-0.337813
77,1284.4,297.802758,298.96448,-0.339359
78,1301.3,297.764981,298.955872,-0.341591
79,1318.2,297.725899,298.948115,-0.345881
80,1335.1,297.686558,298.939467,-0.3524
81,1352,297.646109,298.930937,-0.355319
82,1368.9,297.605681,298.921637,-0.357208
83,1385.8,297.564837,298.912753,-0.358412
84,1402.7,297.522589,298.903015,-0.360987
85,1419.6,297.480418,298.89328,-0.362706
86,1436.5,297.437456,298.883406,-0.364596
87,1453.4,297.393248,298.873274,-0.36923
88,1470.3,297.349614,298.862528,-0.370091
89,1487.2,297.30493,298.852396,-0.370438
90,1504.1,297.258982,298.841849,-0.37147
91,1521,297.213269,298.830075,-0.372161
92,1537.9,297.166132,298.818816,-0.374566
93,1554.8,297.119192,298.807476,-0.374055
94,1571.7,297.071541,298.795306,-0.375946
95,1588.6,297.022267,298.783116,-0.375265
96,1605.5,296.972933,298.770094,-0.376642
97,1622.4,296.922692,298.757845,-0.378533
98,1639.3,296.872189,298.744904,-0.377337
99,1656.2,296.820046,298.732041,-0.379057
100,1673.1,296.76808,298.718644,-0.378547
101,1690,296.715027,298.705445,-0.377694
102,1706.9,296.661578,298.69084,-0.380444
103,1723.8,296.606682,298.676512,-0.376333
104,1740.7,296.551432,298.661829,-0.37651
105,1757.6,296.495114,298.647246,-0.37703
106,1774.5,296.437766,298.631079,-0.377379
107,1791.4,296.379271,298.61604,-0.374639
108,1808.3,296.320775,298.600703,-0.375331
109,1825.2,296.26117,298.584416,-0.37568
110,1842.1,296.199904,298.568606,-0.373628
111,1859,296.137926,298.551487,-0.372433
112,1875.9,296.075236,298.534193,-0.372611
113,1892.8,296.011692,298.516463,-0.372446
114,1909.7,295.946528,298.499443,-0.371594
115,1926.6,295.880652,298.481673,-0.370914
116,1943.5,295.813864,298.46315,-0.371092
117,1960.4,295.747008,298.444252,-0.371099
118,1977.3,295.677676,298.425076,-0.37265
119,1994.2,295.607531,298.405485,-0.37077
120,2011.1,295.537013,298.386132,-0.37112
121,2028,295.46509,298.365511,-0.368726
122,2044.9,295.391665,298.344952,-0.371478
123,2061.8,295.317351,298.324313,-0.371143
124,2078.7,295.242146,298.302544,-0.372695
125,2095.6,295.16619,298.281352,-0.371158
126,2112.5,295.088614,298.258812,-0.371853
127,2129.4,295.009732,298.236351,-0.372376
128,2146.3,294.930415,298.213177,-0.373242
129,2163.2,294.849715,298.190659,-0.371534
130,2180.1,294.7669,298.167407,-0.374632
131,2197,294.684636,298.142552,-0.37344
