"Blank - Large HF - -196C to 46C, 0.1 Kmin",,,,
Creation Date : 10/10/2022 9:35:14 AM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 0 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,318.951792,319.0661,-789.413966
2,17.7,318.926726,319.062552,-731.498577
3,35.4,318.903197,319.059763,-678.009106
4,53.1,318.880381,319.055819,-628.575123
5,70.8,318.858965,319.052569,-582.861494
6,88.5,318.836989,319.04954,-540.545381
7,106.2,318.815947,319.046851,-501.352995
8,123.9,318.795645,319.043562,-465.047191
9,141.6,318.775797,319.040259,-431.398838
10,159.3,318.755953,319.03641,-400.211466
11,177,318.737166,319.034338,-371.301879
12,194.7,318.717657,319.030394,-344.477446
13,212.4,318.699408,319.027167,-319.60249
14,230.1,318.680262,319.024558,-296.535928
15,247.8,318.660994,319.02093,-275.14252
16,265.5,318.64374,319.017622,-255.295709
17,283.2,318.625368,319.013937,-236.882827
18,300.9,318.607176,319.010668,-219.805613
19,318.6,318.589964,319.006903,-203.959687
20,336.3,318.572272,319.003714,-189.261252
21,354,318.554179,318.999869,-175.621607
22,371.7,318.537482,318.995905,-162.969034
23,389.4,318.520247,318.99214,-151.227629
24,407.1,318.504324,318.987994,-140.333532
25,424.8,318.487124,318.984168,-130.22598
26,442.5,318.470106,318.980025,-120.849053
27,460.2,318.453745,318.975741,-112.149121
28,477.9,318.437403,318.971659,-104.075239
29,495.6,318.420287,318.967173,-96.586302
30,513.3,318.404662,318.962889,-89.638102
31,531,318.388758,318.958029,-83.188863
32,548.7,318.372694,318.953802,-77.208332
33,566.4,318.356669,318.949801,-71.657763
34,584.1,318.340269,318.945097,-66.510218
35,601.8,318.324824,318.939818,-61.731972
36,619.5,318.308779,318.935133,-57.298851
37,637.2,318.293353,318.929594,-53.184448
38,654.9,318.27743,318.925413,-49.36895
39,672.6,318.261527,318.920672,-45.830175
40,690.3,318.245524,318.914973,-42.548406
41,708,318.230612,318.909632,-39.498975
42,725.7,318.214529,318.904669,-36.672622
43,743.4,318.1999,318.899927,-34.046746
44,761.1,318.183798,318.894369,-31.614298
45,778.8,318.168589,318.888472,-29.355029
46,796.5,318.153464,318.882613,-27.262186
47,814.2,318.138476,318.877234,-25.316876
48,831.9,318.122931,318.871355,-23.514732
49,849.6,318.106768,318.865897,-21.838375
50,867.3,318.091162,318.859702,-20.288495
51,885,318.075377,318.854361,-18.846351
52,902.7,318.059733,318.847987,-17.509778
53,920.4,318.044047,318.842467,-16.270321
54,938.1,318.028063,318.835215,-15.121774
55,955.8,318.011881,318.829417,-14.053306
56,973.5,317.996016,318.823199,-13.065446
57,991.2,317.979437,318.817202,-12.143346
58,1008.9,317.963213,318.810866,-11.290724
59,1026.6,317.946791,318.803751,-10.499823
60,1044.3,317.929896,318.797896,-9.76473
61,1062,317.913214,318.7913,-9.086302
62,1079.7,317.896197,318.784308,-8.450368
63,1097.4,317.878661,318.777972,-7.863503
64,1115.1,317.861483,318.770796,-7.320823
65,1132.8,317.843867,318.763945,-6.814902
66,1150.5,317.825873,318.75667,-6.345575
67,1168.2,317.807322,318.74932,-5.907951
68,1185.9,317.788969,318.742545,-5.505738
69,1203.6,317.769762,318.735213,-5.133375
70,1221.3,317.750575,318.727282,-4.786309
71,1239,317.730788,318.71995,-4.460993
