P(MPa),T(K),massfrac,molefrac,cp(J/kgK)
0.1,197.12,0.485957425,0.5,3385.823132
0.1,201.38,0.485957425,0.5,3431.192671
0.1,206.38,0.485957425,0.5,3480.157532
0.1,211.61,0.485957425,0.5,3536.255969
0.1,216.93,0.485957425,0.5,3593.552846
0.1,222.37,0.485957425,0.5,3653.246604
0.1,227.89,0.485957425,0.5,3711.741922
0.1,233.47,0.485957425,0.5,3772.634121
0.1,239.13,0.485957425,0.5,3834.724761
0.1,244.84,0.485957425,0.5,3895.61696
0.1,250.62,0.485957425,0.5,3960.104481
0.1,256.44,0.485957425,0.5,4017.401358
0.1,262.35,0.485957425,0.5,4081.831811
0.1,268.28,0.485957425,0.5,4141.525569
0.1,274.12,0.485957425,0.5,4196.482634
0.1,279.81,0.485957425,0.5,4252.58107
0.1,285.33,0.485957425,0.5,4305.141253
0.1,290.21,0.485957425,0.5,4344.518589
0.1,196.82,0.654069812,0.66667,3793.048544
0.1,201.08,0.654069812,0.66667,3829.226584
0.1,205.86,0.654069812,0.66667,3874.2187
0.1,211.08,0.654069812,0.66667,3912.758681
0.1,217.74,0.654069812,0.66667,3971.403975
0.1,223.36,0.654069812,0.66667,4014.783058
0.1,228.55,0.654069812,0.66667,4062.194724
0.1,234.14,0.654069812,0.66667,4107.18684
0.1,239.9,0.654069812,0.66667,4150.565923
0.1,245.65,0.654069812,0.66667,4194.809131
0.1,251.63,0.654069812,0.66667,4238.99473
0.1,257.78,0.654069812,0.66667,4283.180329
0.1,264,0.654069812,0.66667,4324.946378
0.1,270.16,0.654069812,0.66667,4364.292877
0.1,201.56,0.641107482,0.65393,3807.463278
0.1,207.3,0.641107482,0.65393,3861.863834
0.1,213.4,0.641107482,0.65393,3912.06202
0.1,219.35,0.641107482,0.65393,3962.260205
0.1,225.14,0.641107482,0.65393,4008.313586
0.1,237.26,0.641107482,0.65393,4104.565152
0.1,243.37,0.641107482,0.65393,4150.560967
0.1,249.63,0.641107482,0.65393,4204.961523
0.1,256.22,0.641107482,0.65393,4250.957337
0.1,201.3,0.612309516,0.62556,3748.874031
0.1,207.13,0.612309516,0.62556,3799.106541
0.1,213.35,0.612309516,0.62556,3853.477198
0.1,219.76,0.612309516,0.62556,3907.905329
0.1,225.87,0.612309516,0.62556,3962.275986
0.1,232.04,0.612309516,0.62556,4016.704117
0.1,238.18,0.612309516,0.62556,4066.879152
0.1,244.18,0.612309516,0.62556,4112.91604
0.1,250.31,0.612309516,0.62556,4167.286697
0.1,256.64,0.612309516,0.62556,4217.519207
0.1,201.33,0.58830255,0.60184,3694.484957
0.1,207.3,0.58830255,0.60184,3753.087489
0.1,213.72,0.58830255,0.60184,3803.310031
0.1,220.14,0.58830255,0.60184,3866.04516
0.1,226.42,0.58830255,0.60184,3920.457696
0.1,232.63,0.58830255,0.60184,3979.00283
0.1,238.82,0.58830255,0.60184,4033.415367
0.1,245.09,0.58830255,0.60184,4087.827904
0.1,251.46,0.58830255,0.60184,4146.373038
0.1,257.91,0.58830255,0.60184,4204.975569
