T(K),X,m,cp(J/gK),cpm(J/molK)
196.82,0.65407,111.0186276,3.793109646,65.89596804
201.08,0.65407,111.0186276,3.829265108,66.52408042
205.86,0.65407,111.0186276,3.874258571,67.30573138
211.08,0.65407,111.0186276,3.912824397,67.97571793
217.74,0.65407,111.0186276,3.97147659,68.99465579
223.36,0.65407,111.0186276,4.014863144,69.74839065
228.55,0.65407,111.0186276,4.062266971,70.57191578
234.14,0.65407,111.0186276,4.107260435,71.35356674
239.9,0.65407,111.0186276,4.150646988,72.1073016
245.65,0.65407,111.0186276,4.194836997,72.87499452
251.63,0.65407,111.0186276,4.239027006,73.64268743
257.78,0.65407,111.0186276,4.283217014,74.41038034
264,0.65407,111.0186276,4.324996659,75.1361991
270.16,0.65407,111.0186276,4.364365939,75.82014369
