molfrac,wt,Hmix(J/mol),Hmix(J/g)
0,0,0,0
0.092771084,0.088145761,-1183.417085,-66.02428283
0.098795181,0.093900599,-1253.768844,-69.97244076
0.098795181,0.093900599,-1334.170854,-74.45965139
0.120481928,0.114649611,-1525.125628,-85.21829754
0.122891566,0.116958114,-1615.577889,-90.28439543
0.13253012,0.126198257,-1665.829146,-93.1420004
0.143373494,0.136605151,-1831.658291,-102.4752076
0.157831325,0.150500372,-2002.512563,-112.1232047
0.16626506,0.158616156,-2168.341709,-121.4646436
0.188554217,0.18010142,-2437.18593,-136.6925589
0.204216867,0.195230856,-2603.015075,-146.1196319
0.212048193,0.202805406,-2733.668342,-153.52025
0.234939759,0.224984073,-2917.085427,-164.0283363
0.242168675,0.231999553,-2984.924623,-167.9101286
0.248192771,0.23785008,-3148.241206,-177.1562201
0.275903614,0.264812905,-3052.763819,-172.0476271
0.277108434,0.265987085,-3439.698492,-193.8674437
0.296385542,0.28479533,-3605.527638,-203.4314174
0.298795181,0.287149195,-3685.929648,-207.995701
0.313253012,0.301285635,-3798.994975,-214.5482249
0.327108434,0.314854412,-3836.683417,-216.8436891
0.327710843,0.315444834,-3912.060302,-221.1112894
0.339156627,0.326670376,-4012.562814,-226.9362354
0.358433735,0.345608945,-4090.452261,-231.589905
0.363855422,0.350942757,-4208.542714,-238.3478677
0.387349398,0.374093275,-4276.38191,-242.5074926
0.398192771,0.384798635,-4296.482412,-243.7949191
0.40060241,0.387179367,-4339.19598,-246.251752
0.403012048,0.38956074,-4396.984925,-249.5648974
0.424698795,0.411022007,-4391.959799,-249.5820617
0.436746988,0.422967463,-4442.211055,-252.6079242
0.438554217,0.424760672,-4494.974874,-255.6342159
0.463855422,0.44990378,-4427.135678,-252.1332187
0.476506024,0.462502118,-4467.336683,-254.6032886
0.472891566,0.458900767,-4500,-256.4128528
0.507228916,0.493172713,-4505.025126,-257.1944946
0.513855422,0.499801839,-4449.748744,-254.133364
0.51746988,0.50341981,-4396.984925,-251.1709587
0.537951807,0.523949472,-4366.834171,-249.7362413
0.545783133,0.531811576,-4386.934673,-250.9964213
1,1,0,0
