T(K),X,m,cp(J/gK)
183.5,0.2696,21.67299718,-1.31
184.5,0.2696,21.67299718,-1.01
185.5,0.2696,21.67299718,-0.72
186.5,0.2696,21.67299718,-0.43
187.5,0.2696,21.67299718,-0.12
188.5,0.2696,21.67299718,0.15
189.5,0.2696,21.67299718,0.44
190.5,0.2696,21.67299718,0.71
191.5,0.2696,21.67299718,0.97
192.5,0.2696,21.67299718,1.21
193.5,0.2696,21.67299718,1.44
194.5,0.2696,21.67299718,1.67
195.5,0.2696,21.67299718,1.88
196.5,0.2696,21.67299718,2.08
197.5,0.2696,21.67299718,2.26
198.5,0.2696,21.67299718,2.43
199.5,0.2696,21.67299718,2.58
200.5,0.2696,21.67299718,2.74
201.5,0.2696,21.67299718,2.86
202.5,0.2696,21.67299718,2.99
203.5,0.2696,21.67299718,3.1
204.5,0.2696,21.67299718,3.2
205.5,0.2696,21.67299718,3.29
206.5,0.2696,21.67299718,3.37
207.5,0.2696,21.67299718,3.44
208.5,0.2696,21.67299718,3.5
209.5,0.2696,21.67299718,3.56
210.5,0.2696,21.67299718,3.62
211.5,0.2696,21.67299718,3.65
212.5,0.2696,21.67299718,3.7
213.5,0.2696,21.67299718,3.73
214.5,0.2696,21.67299718,3.75
215.5,0.2696,21.67299718,3.79
216.5,0.2696,21.67299718,3.8
217.5,0.2696,21.67299718,3.83
218.5,0.2696,21.67299718,3.84
219.5,0.2696,21.67299718,3.85
220.5,0.2696,21.67299718,3.87
221.5,0.2696,21.67299718,3.88
222.5,0.2696,21.67299718,3.89
223.5,0.2696,21.67299718,3.89
224.5,0.2696,21.67299718,3.9
225.5,0.2696,21.67299718,3.91
226.5,0.2696,21.67299718,3.92
227.5,0.2696,21.67299718,3.92
228.5,0.2696,21.67299718,3.92
229.5,0.2696,21.67299718,3.93
230.5,0.2696,21.67299718,3.94
231.5,0.2696,21.67299718,3.93
232.5,0.2696,21.67299718,3.95
233.5,0.2696,21.67299718,3.94
234.5,0.2696,21.67299718,3.95
235.5,0.2696,21.67299718,3.96
236.5,0.2696,21.67299718,3.95
237.5,0.2696,21.67299718,3.97
238.5,0.2696,21.67299718,3.97
239.5,0.2696,21.67299718,3.97
240.5,0.2696,21.67299718,3.98
241.5,0.2696,21.67299718,3.98
242.5,0.2696,21.67299718,3.99
243.5,0.2696,21.67299718,3.99
244.5,0.2696,21.67299718,4
245.5,0.2696,21.67299718,4
246.5,0.2696,21.67299718,4.01
247.5,0.2696,21.67299718,4.01
248.5,0.2696,21.67299718,4.02
249.5,0.2696,21.67299718,4.03
250.5,0.2696,21.67299718,4.03
251.5,0.2696,21.67299718,4.04
252.5,0.2696,21.67299718,4.05
253.5,0.2696,21.67299718,4.05
254.5,0.2696,21.67299718,4.06
255.5,0.2696,21.67299718,4.06
