T(K),X,m,cp(J/gK),cpm(J/molK)
196.82,0.6411,111.0186276,3.793395197,65.89596804
201.08,0.6411,111.0186276,3.829553381,66.52408042
205.86,0.6411,111.0186276,3.874550231,67.30573138
211.08,0.6411,111.0186276,3.91311896,67.97571793
217.74,0.6411,111.0186276,3.971775569,68.99465579
223.36,0.6411,111.0186276,4.015165389,69.74839065
228.55,0.6411,111.0186276,4.062572785,70.57191578
234.14,0.6411,111.0186276,4.107569635,71.35356674
239.9,0.6411,111.0186276,4.150959456,72.1073016
245.65,0.6411,111.0186276,4.195152791,72.87499452
251.63,0.6411,111.0186276,4.239346126,73.64268743
257.78,0.6411,111.0186276,4.283539461,74.41038034
264,0.6411,111.0186276,4.325322251,75.1361991
270.16,0.6411,111.0186276,4.364694495,75.82014369
