T(K),latentHeat(J/g)
240,252.753877599695
240.01,252.784573136854
240.02,252.815261307468
240.03,252.845942116227
240.04,252.876615567817
240.05,252.907281666922
240.06,252.937940418228
240.07,252.968591826416
240.08,252.999235896167
240.09,253.029872632159
240.1,253.06050203907
240.11,253.091124121575
240.12,253.121738884349
240.13,253.152346332063
240.14,253.182946469389
240.15,253.213539300996
240.16,253.244124831551
240.17,253.27470306572
240.18,253.305274008168
240.19,253.335837663556
240.2,253.366394036547
240.21,253.396943131799
240.22,253.427484953971
240.23,253.458019507718
240.24,253.488546797695
240.25,253.519066828555
240.26,253.549579604949
240.27,253.580085131527
240.28,253.610583412937
240.29,253.641074453825
240.3,253.671558258837
240.31,253.702034832614
240.32,253.732504179799
240.33,253.762966305032
240.34,253.793421212951
240.35,253.823868908192
240.36,253.854309395391
240.37,253.88474267918
240.38,253.915168764193
240.39,253.945587655058
240.4,253.975999356404
240.41,254.006403872858
240.42,254.036801209045
240.43,254.067191369589
240.44,254.097574359112
240.45,254.127950182235
240.46,254.158318843575
240.47,254.188680347749
240.48,254.219034699374
240.49,254.249381903063
240.5,254.279721963429
240.51,254.310054885081
240.52,254.340380672628
240.53,254.370699330678
240.54,254.401010863837
240.55,254.431315276708
240.56,254.461612573894
240.57,254.491902759995
240.58,254.52218583961
240.59,254.552461817337
240.6,254.582730697772
240.61,254.612992485509
240.62,254.643247185139
240.63,254.673494801255
240.64,254.703735338445
240.65,254.733968801297
240.66,254.764195194396
240.67,254.794414522328
240.68,254.824626789674
240.69,254.854832001016
240.7,254.885030160933
240.71,254.915221274003
240.72,254.945405344802
240.73,254.975582377904
240.74,255.005752377882
240.75,255.035915349307
240.76,255.066071296748
240.77,255.096220224775
240.78,255.126362137952
240.79,255.156497040844
240.8,255.186624938015
240.81,255.216745834024
240.82,255.246859733433
240.83,255.276966640799
240.84,255.307066560679
240.85,255.337159497626
240.86,255.367245456194
240.87,255.397324440935
240.88,255.427396456398
240.89,255.457461507131
240.9,255.487519597681
240.91,255.517570732592
240.92,255.547614916407
240.93,255.577652153669
240.94,255.607682448916
240.95,255.637705806688
240.96,255.667722231519
240.97,255.697731727946
240.98,255.727734300502
240.99,255.757729953718
241,255.787718692123
241.01,255.817700520247
241.02,255.847675442615
241.03,255.877643463754
241.04,255.907604588185
241.05,255.937558820431
241.06,255.967506165011
241.07,255.997446626444
241.08,256.027380209247
241.09,256.057306917935
241.1,256.08722675702
241.11,256.117139731014
241.12,256.147045844428
241.13,256.17694510177
241.14,256.206837507547
241.15,256.236723066263
241.16,256.266601782422
241.17,256.296473660526
241.18,256.326338705075
241.19,256.356196920566
241.2,256.386048311498
241.21,256.415892882364
241.22,256.445730637659
241.23,256.475561581874
241.24,256.505385719498
241.25,256.535203055022
241.26,256.565013592931
241.27,256.59481733771
241.28,256.624614293843
241.29,256.654404465811
241.3,256.684187858095
241.31,256.713964475174
241.32,256.743734321522
241.33,256.773497401617
241.34,256.803253719931
241.35,256.833003280936
241.36,256.862746089103
241.37,256.892482148899
241.38,256.922211464791
241.39,256.951934041245
241.4,256.981649882723
241.41,257.011358993688
241.42,257.041061378599
241.43,257.070757041916
241.44,257.100445988094
241.45,257.130128221589
241.46,257.159803746854
241.47,257.189472568341
241.48,257.2191346905
241.49,257.248790117779
241.5,257.278438854625
241.51,257.308080905483
241.52,257.337716274797
241.53,257.367344967008
241.54,257.396966986555
241.55,257.426582337877
241.56,257.456191025412
241.57,257.485793053594
241.58,257.515388426855
241.59,257.544977149629
241.6,257.574559226344
241.61,257.604134661429
241.62,257.633703459311
241.63,257.663265624414
241.64,257.692821161162
241.65,257.722370073977
241.66,257.751912367277
241.67,257.781448045482
241.68,257.810977113007
241.69,257.840499574268
241.7,257.870015433678
241.71,257.899524695648
241.72,257.929027364588
241.73,257.958523444906
241.74,257.988012941008
241.75,258.0174958573
241.76,258.046972198184
241.77,258.076441968062
241.78,258.105905171333
241.79,258.135361812395
241.8,258.164811895645
241.81,258.194255425478
241.82,258.223692406285
241.83,258.253122842459
241.84,258.282546738389
241.85,258.311964098462
241.86,258.341374927066
241.87,258.370779228584
241.88,258.4001770074
241.89,258.429568267895
241.9,258.458953014447
241.91,258.488331251435
