index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
5998,106146.9,109.698523,109.812369,0.392779,1.703126,,
5999,106164.6,109.750738,109.812567,0.354778,1.665208,,
6000,106182.3,109.802664,109.812628,0.319269,1.62399,,
6001,106200.0,109.853628,109.812445,0.28158,1.590241,,
6002,106217.7,109.903982,109.812582,0.247316,1.556054,,
6003,106235.4,109.953848,109.813544,0.199035,1.512347,,
6004,106253.1,110.002646,109.813834,0.14328,1.462121,,
6005,106270.8,110.051138,109.815817,0.090328,1.4108479999999999,,
6006,106288.5,110.098059,109.816168,0.037688,1.358929,,
6007,106306.2,110.145148,109.818198,-0.004983,1.315053,,
6008,106323.9,110.190085,109.819769,-0.054506,1.2636800000000001,,
6009,106341.6,110.234152,109.821692,-0.108077,1.204731,,
6010,106359.3,110.277533,109.824561,-0.152924,1.15804,,
6011,106377.0,110.319784,109.826743,-0.19995,1.1123699999999999,,
6012,106394.7,110.361685,109.828909,-0.260056,1.051381,,
6013,106412.4,110.402197,109.831946,-0.321092,0.9997100000000001,,
6014,106430.1,110.442557,109.834998,-0.384305,0.9365739999999999,,
6015,106447.8,110.481451,109.838522,-0.435368,0.890385,,
6016,106465.5,110.518988,109.842001,-0.492034,0.831545,,
6017,106483.2,110.556586,109.845709,-0.55181,0.7718470000000001,,
6018,106500.9,110.592719,109.849356,-0.603487,0.7173569999999999,,
6019,106518.6,110.628592,109.852988,-0.661078,0.654407,,
6020,106536.3,110.663901,109.857916,-0.713676,0.600916,,
6021,106554.0,110.698767,109.862235,-0.768454,0.5468490000000001,,
6022,106571.7,110.73226,109.866217,-0.831326,0.48597,,
6023,106589.4,110.765768,109.870856,-0.887651,0.4361170000000001,,
6024,106607.1,110.798132,109.875662,-0.946151,0.380244,,
6025,106624.8,110.831366,109.880667,-1.003089,0.324014,,
6026,106642.5,110.862769,109.885702,-1.055352,0.27214499999999986,,
6027,106660.2,110.894446,109.891318,-1.106361,0.22631500000000004,,
6028,106677.9,110.925574,109.895972,-1.154262,0.17720100000000016,,
6029,106695.6,110.956412,109.902396,-1.205567,0.12469200000000003,,
6030,106713.3,110.987494,109.907416,-1.25906,0.06679599999999986,,
6031,106731.0,111.017279,109.913275,-1.313474,0.014040000000000052,,
6032,106748.7,111.047492,109.919287,-1.368504,-0.0466629999999999,,
6033,106766.4,111.077261,109.925574,-1.418859,-0.09663600000000017,,
6034,106784.1,111.10668,109.931769,-1.468276,-0.143748,,
6035,106801.8,111.136969,109.93859,-1.518926,-0.19241599999999992,,
6036,106819.5,111.166022,109.944922,-1.570821,-0.2432890000000001,,
6037,106837.2,111.195288,109.950964,-1.619604,-0.29072600000000004,,
6038,106854.9,111.22518,109.958075,-1.671169,-0.3364889999999998,,
6039,106872.6,111.25434,109.965002,-1.716509,-0.38335700000000017,,
6040,106890.3,111.283438,109.97193,-1.762155,-0.42352499999999993,,
6041,106908.0,111.312476,109.978827,-1.80033,-0.45908799999999994,,
