index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Q_err,Q_err%,Fc,Fc_err
6497.5,109790.85,116.12532654787232,111.0,-5.360227196808509,-4.360040696808509,0.2715180640931967,6.227420406693549,,
6535.0,110424.60000000002,117.18093986631013,112.0,-5.428448192513367,-4.38901985689693,0.2729581424035582,6.219113863762322,,
6572.0,111049.9,118.22499877837849,113.0,-5.491117259459458,-4.35633843445946,0.21301481773868303,4.889767426095632,,
6609.5,111683.65000000001,119.28205291304351,114.0,-5.550399717391303,-4.32737818405797,0.1506333734203041,3.4809385039476415,,
6646.0,112300.5,120.30899177049182,115.0,-5.601302983606554,-4.330804893516464,0.12362028823246954,2.8544414092063644,,
6683.0,112925.79999999999,121.35187246994539,116.0,-5.647107098360655,-4.3463160370399,0.09772706718208082,2.248503476259834,,
6719.5,113542.65000000001,122.37980912637357,117.0,-5.6866604230769235,-4.364585291369606,0.0766585709607793,1.7563769715386603,,
6755.5,114151.05,123.39515351648348,118.0,-5.720898923076924,-4.385358008504059,0.060610607170066666,1.3821130920789353,,
6792.0,114767.9,124.42080852486193,119.0,-5.752213988950277,-4.4080320761297624,0.050336264146531785,1.1419214578566963,,
6828.0,115376.3,125.43442865745862,120.0,-5.774906375690607,-4.42533567777394,0.04492981080601888,1.0152859371025105,,
6864.5,115993.15,126.46417925000006,121.0,-5.800232405555556,-4.4472520828042335,0.040066203735321784,0.9009204558078,,
6900.5,116601.55,127.47749609444442,122.0,-5.824018555555555,-4.471389673202613,0.03738355726388364,0.8360612694511108,,
6936.5,117209.95,128.49103723333337,123.0,-5.845452472222225,-4.494747945340504,0.03748460610922057,0.8339645863363508,,
6972.5,117818.35,129.50708102222225,124.0,-5.867770711111111,-4.519686455676327,0.04334109563136353,0.958940317130427,,
7008.5,118426.74999999999,130.52189356666662,125.0,-5.892713316666666,-4.549099615579708,0.044048987004597626,0.9683012184155987,,
7044.5,119035.15,131.53616679444437,126.0,-5.917162955555553,-4.578959758834241,0.04727020265325403,1.0323349656448733,,
7080.5,119643.55,132.55159945555556,127.0,-5.94235118333333,-4.61114991410256,0.04982417652663962,1.0805152175655646,,
7116.5,120251.95,133.56473612222226,128.0,-5.96676206111111,-4.6420114091774085,0.04626745875539727,0.9967114398711945,,
7152.0,120851.90000000001,134.56462904469274,129.0,-5.988957653631283,-4.6723206149572505,0.04482188439580901,0.9593066933875023,,
7188.0,121460.3,135.5758779106146,130.0,-6.00877602793296,-4.700398089044072,0.03955716087948923,0.8415704399950948,,
7224.0,122068.7,136.5891566480447,131.0,-6.0258516368715105,-4.72617323687151,0.0358946343345811,0.7594862171904124,,
7260.0,122677.09999999999,137.60184427374296,132.0,-6.043770770949727,-4.752036126505281,0.03883907455549634,0.8173143789641004,,
7296.0,123285.5,138.61450999441345,133.0,-6.060585324022349,-4.777001407355683,0.036937169372063615,0.7732291917516987,,
7331.5,123885.45,139.61404723888896,134.0,-6.075036549999999,-4.7995216111111105,0.03699013345325048,0.7707045920496877,,
7367.5,124493.85,140.63158697222224,135.0,-6.0954928722222235,-4.826877322222223,0.04077966884464698,0.844845769269989,,
7403.5,125102.25,141.64488542222222,136.0,-6.1180412166666684,-4.857225518342645,0.04473559349781942,0.9210112507414283,,
7439.5,125710.65,142.65915548888887,137.0,-6.139406383333336,-4.886438277188084,0.050218925346844426,1.0277204478625495,,
7475.0,126310.6,143.66157152513972,138.0,-6.162820972067038,-4.917818770949719,0.050632399351920106,1.0295702568588572,,
7511.0,126919.00000000001,144.6773030335196,139.0,-6.192193396648045,-4.9535573910614525,0.049995874977388464,1.0092923333765051,,
7547.0,127527.40000000001,145.68876088826818,140.0,-6.21866862569832,-4.9876177988826775,0.04921759823997693,0.9867957053766754,,
7582.5,128127.35,146.6901658707865,141.0,-6.242872196629211,-5.018222760875021,0.04835680119427799,0.963624045773649,,
7618.5,128735.75,147.70495106179771,142.0,-6.2693782584269675,-5.051943023790096,0.049603993504668986,0.9818795119240045,,
7654.0,129335.7,148.70544783798886,143.0,-6.2964615195530715,-5.085873072625698,0.048112666900179166,0.9460060487773814,,
7689.5,129935.65,149.70312245505625,144.0,-6.32025525280899,-5.118435095505619,0.04940830159037776,0.965300930234752,,
7725.5,130544.04999999999,150.71858697191018,145.0,-6.3425004775280875,-5.15044029213483,0.04943903697838154,0.9598992352921604,,
7760.5,131135.55,151.70154510112366,146.0,-6.364612044943816,-5.182387927625381,0.0446053112307768,0.8607096159861459,,
7796.5,131743.95,152.71498911235955,147.0,-6.381389050561799,-5.208657764044945,0.038159298869720394,0.7326129033305233,,
7832.5,132352.34999999998,153.7280882865169,148.0,-6.398247567415732,-5.236050499619122,0.03674078294604413,0.7016888578274162,,
7867.5,132943.85,154.71434819662926,149.0,-6.411550955056182,-5.263754758426969,0.04228270741975307,0.8032803456897547,,
7903.5,133552.25,155.72782039325847,150.0,-6.426185286516857,-5.290681252808991,0.04384336662480712,0.8286903808754171,,
7938.5,134143.75,156.71607339325845,151.0,-6.439388382022475,-5.316829150384057,0.04552474589123591,0.8562386453201617,,
7974.5,134752.15,157.73033513483145,152.0,-6.456649073033709,-5.34595614044944,0.04105990268320284,0.7680553600604529,,
8010.0,135352.1,158.72696637288126,153.0,-6.469748796610172,-5.372241189868598,0.03693955069847152,0.68760037743903,,
8045.5,135952.05,159.72726025842684,154.0,-6.479988533707866,-5.393696550561799,0.035916693234830405,0.6659012589629162,,
8081.5,136560.45,160.74128853932575,155.0,-6.4904828988764045,-5.413314141814258,0.031244207173015074,0.5771733609855434,,
8116.5,137151.95,161.72624371910115,156.0,-6.502301522471906,-5.437856460674153,0.03834676324322016,0.7051816008851796,,
8152.5,137760.34999999998,162.7404416179775,157.0,-6.514733488764043,-5.463723652605852,0.044986999884702596,0.823376194424596,,
8187.5,138351.85,163.73025070786508,158.0,-6.530307455056176,-5.49533676404494,0.05807730787119284,1.0568471117399547,,
8223.5,138960.25,164.74374586516856,159.0,-6.54816645505618,-5.530270935282168,0.06288280384541983,1.137065517789345,,
8259.0,139560.19999999998,165.74510459322045,160.0,-6.569384129943501,-5.573781401129941,0.06422704164895189,1.1523064330425932,,
