index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Q_err,Q_err%,Fc,Fc_err
6446.0,108920.5,114.66653970445353,111.0,-6.820564963562751,-5.820378463562752,1.2956054813992874,22.25981505343942,,
6497.5,109790.85,116.12004411946901,112.0,-7.591817092920354,-6.552388757303916,1.017096553843543,15.522530660437239,,
6543.5,110568.25000000001,117.41658719626167,113.0,-8.15997273831776,-7.025193913317761,0.813655115759377,11.581959527365065,,
6586.5,111294.95,118.62897734951461,114.0,-8.628670480582523,-7.4056489472491895,0.6839751672061565,9.23585727703468,,
6627.5,111987.85,119.78499909000004,115.0,-9.054582824999999,-7.784084734909909,0.6285639883576837,8.074989029072517,,
6667.5,112663.85,120.91096904081643,116.0,-9.48490937755102,-8.184118316230265,0.6471102113614742,7.90690195763865,,
6707.0,113331.40000000001,122.02307305181355,117.0,-9.96495965284974,-8.642884521142424,0.7406791315154393,8.569814044183662,,
6745.5,113982.05,123.10959551578947,118.0,-10.54251121578948,-9.206970301216614,0.922062525205257,10.014831101208344,,
6783.5,114624.25,124.1789675957446,119.0,-11.222462148936176,-9.87828023611566,1.1010327277985146,11.14599607908535,,
6821.0,115258.0,125.2346621497325,120.0,-11.85553967914439,-10.505968981227724,1.0479826976856614,9.975116998329407,,
6858.5,115891.75,126.29249053225799,121.0,-12.286119263440867,-10.933138940689545,0.7518046418558869,6.876384229033415,,
6895.5,116517.05,127.33677084239126,122.0,-12.539127222826089,-11.186498340473147,0.4286179390489622,3.831564856164215,,
6932.0,117133.90000000002,128.36281335519124,123.0,-12.605519715846984,-11.254815188965264,0.33243347886435703,2.9537000233490285,,
6969.0,117759.20000000001,129.40400988524598,124.0,-12.491182081967214,-11.143097826532431,0.31076995487101566,2.788900893708861,,
7005.5,118376.05,130.43309971978024,125.0,-12.352137912087915,-11.008524211000958,0.12221821029367261,1.110214302581434,,
7042.0,118992.9,131.4597797734807,126.0,-12.331789906077345,-10.993586709356032,0.0664387225275377,0.6043407332294508,,
7078.5,119609.75,132.48815812087918,127.0,-12.37353436263736,-11.04233309340659,0.09199289505199246,0.8330929186235261,,
7114.5,120218.15000000001,133.50389314285715,128.0,-12.435740510989003,-11.110989859055302,0.1240806444056951,1.116737986261153,,
7151.0,120835.0,134.53379100552482,129.0,-12.50796132044199,-11.191324281767956,0.12530752490872624,1.119684514127319,,
