index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6001,101400.0,102.132529,99.833334,-2.390259,-1.90627,
6002,101416.9,102.160269,99.846259,-2.415947,-1.923297,
6003,101433.8,102.187964,99.858405,-2.433896,-1.94773,
6004,101450.7,102.215536,99.870917,-2.450823,-1.964649,
6005,101467.6,102.243658,99.884314,-2.470422,-1.9839300000000002,
6006,101484.5,102.270987,99.897177,-2.493397,-2.006897,
6007,101501.4,102.299246,99.909766,-2.514689,-2.021071,
6008,101518.3,102.326498,99.92301,-2.534279,-2.0418890000000003,
6009,101535.2,102.354666,99.936102,-2.549489,-2.0611099999999998,
6010,101552.1,102.382284,99.949469,-2.569404,-2.070507,
6011,101569.0,102.409659,99.962744,-2.573494,-2.0795350000000004,
6012,101585.9,102.438193,99.976065,-2.591383,-2.100815,
6013,101602.8,102.465262,99.989233,-2.612974,-2.117762,
6014,101619.7,102.493552,100.002783,-2.627485,-2.127011,
6015,101636.6,102.52149,100.016699,-2.646022,-2.151103,
6016,101653.5,102.548956,100.030112,-2.66322,-2.179731,
6017,101670.4,102.576269,100.044058,-2.679729,-2.195303,
6018,101687.3,102.604742,100.057333,-2.694232,-2.200527,
6019,101704.2,102.632483,100.071692,-2.709043,-2.218419,
6020,101721.1,102.660513,100.085898,-2.720826,-2.219065,
6021,101738.0,102.688818,100.099646,-2.732618,-2.232393,
6022,101754.9,102.715857,100.113654,-2.756506,-2.258438,
6023,101771.8,102.74407,100.127783,-2.768618,-2.275489,
6024,101788.7,102.77207,100.14202,-2.786775,-2.297348,
6025,101805.6,102.80036,100.156378,-2.802237,-2.313729,
6026,101822.5,102.828101,100.170966,-2.817017,-2.333758,
6027,101839.4,102.856039,100.185751,-2.830109,-2.336638,
6028,101856.3,102.884299,100.199561,-2.839189,-2.3407630000000004,
6029,101873.2,102.91236,100.214072,-2.852281,-2.3523,
6030,101890.1,102.94036,100.229102,-2.865358,-2.371246,
6031,101907.0,102.968253,100.244315,-2.880442,-2.3844659999999998,
6032,101923.9,102.996161,100.258551,-2.892524,-2.403343,
6033,101940.8,103.024146,100.273718,-2.910289,-2.425739,
6034,101957.7,103.052344,100.288611,-2.928727,-2.443859,
6035,101974.6,103.080191,100.303336,-2.942465,-2.451094,
6036,101991.5,103.108664,100.318732,-2.948127,-2.461698,
6037,102008.4,103.136771,100.33425,-2.965532,-2.483113,
6038,102025.3,103.164862,100.349295,-2.976903,-2.490765,
6039,102042.2,103.193381,100.364996,-2.991275,-2.506366,
6040,102059.1,103.221503,100.379828,-3.001975,-2.5127289999999998,
6041,102076.0,103.249899,100.395026,-3.011992,-2.5190259999999998,
6042,102092.9,103.278311,100.410819,-3.024674,-2.535412,
6043,102109.8,103.306143,100.426398,-3.035682,-2.538989,
6044,102126.7,103.334219,100.442404,-3.051035,-2.552789,
6045,102143.6,103.362707,100.457236,-3.062391,-2.566921,
6046,102160.5,103.391775,100.4728,-3.077078,-2.5837640000000004,
6047,102177.4,103.419806,100.488638,-3.091418,-2.589125,
6048,102194.3,103.44863,100.504904,-3.104068,-2.599912,
6049,102211.2,103.476538,100.520529,-3.11137,-2.618959,
6050,102228.1,103.505545,100.53678,-3.12569,-2.648426,
6051,102245.0,103.534277,100.553137,-3.141343,-2.654174,
6052,102261.9,103.562827,100.569327,-3.153311,-2.657165,
6053,102278.8,103.59104,100.584875,-3.169648,-2.667618,
6054,102295.7,103.619849,100.601675,-3.182933,-2.681513,
6055,102312.6,103.649161,100.618063,-3.19589,-2.698482,
6056,102329.5,103.677466,100.6341,-3.203162,-2.712859,
6057,102346.4,103.706198,100.650885,-3.2074,-2.7174009999999997,
6058,102363.3,103.734946,100.667578,-3.214316,-2.7264720000000002,
6059,102380.2,103.763617,100.683859,-3.232285,-2.74134,
6060,102397.1,103.791571,100.7013,-3.247206,-2.7608949999999997,
6061,102414.0,103.820181,100.71781,-3.263486,-2.774383,
6062,102430.9,103.848578,100.734396,-3.275746,-2.781993,
6063,102447.8,103.877051,100.75141,-3.289328,-2.7872139999999996,
6064,102464.7,103.905508,100.768668,-3.29755,-2.7963560000000003,
6065,102481.6,103.934103,100.785513,-3.306115,-2.813267,
6066,102498.5,103.962195,100.802588,-3.314337,-2.8285940000000003,
6067,102515.4,103.990256,100.819022,-3.321237,-2.836728,
6068,102532.3,104.018164,100.836661,-3.334452,-2.84622,
6069,102549.2,104.046072,100.854102,-3.349006,-2.853651,
6070,102566.1,104.07453,100.870902,-3.365578,-2.8717610000000002,
6071,102583.0,104.102911,100.888525,-3.375774,-2.8779269999999997,
6072,102599.9,104.13111,100.905447,-3.392334,-2.895407,
6073,102616.8,104.158698,100.923315,-3.405857,-2.907067,
6074,102633.7,104.18595,100.94036,-3.414057,-2.915257,
6075,102650.6,104.214453,100.958426,-3.418219,-2.9166250000000002,
6076,102667.5,104.242331,100.975821,-3.4234,-2.930155,
6077,102684.4,104.269949,100.993597,-3.433241,-2.9375120000000003,
6078,102701.3,104.297278,101.01142,-3.443412,-2.951387,
6079,102718.2,104.32543,101.028418,-3.457942,-2.9656000000000002,
6080,102735.1,104.35311,101.046744,-3.474431,-2.970012,
6081,102752.0,104.380942,101.065115,-3.487912,-2.990294,
6082,102768.9,104.408438,101.082694,-3.496075,-3.005877,
6083,102785.8,104.43624,101.100836,-3.504553,-3.020536,
6084,102802.7,104.46366,101.118491,-3.515377,-3.0304219999999997,
6085,102819.6,104.492102,101.136938,-3.521173,-3.0232140000000003,
6086,102836.5,104.518744,101.154639,-3.531323,-3.034285,
6087,102853.4,104.547293,101.172675,-3.543127,-3.041128,
6088,102870.3,104.574438,101.191138,-3.55858,-3.060287,
6089,102887.2,104.602332,101.209311,-3.571372,-3.076165,
6090,102904.1,104.630881,101.227713,-3.586818,-3.091295,
6091,102921.0,104.658881,101.246054,-3.593601,-3.095284,
6092,102937.9,104.68717,101.264258,-3.601719,-3.108037,
6093,102954.8,104.714606,101.282309,-3.606841,-3.125843,
6094,102971.7,104.742697,101.301245,-3.617596,-3.131016,
6095,102988.6,104.771002,101.31951,-3.622708,-3.1265259999999997,
6096,103005.5,104.798514,101.338156,-3.634464,-3.140749,
6097,103022.4,104.827353,101.357138,-3.646207,-3.146602,
6098,103039.3,104.855719,101.375784,-3.650969,-3.150119,
6099,103056.2,104.883948,101.394476,-3.664377,-3.166305,
