index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Q_err,Q_err%,Fc,Fc_err
6127.5,108439.05,113.84676658461541,111.0,-4.189609192307691,-2.8157305420344665,2.098136174317112,74.514806832373,,
6149.0,108819.6,114.48471752805285,112.0,-4.636752554455444,-3.262734775449919,2.2344916486682984,68.48523715385878,,
6217.5,110032.04999999999,116.5185154879033,113.0,-6.250145862903223,-4.877218538880877,1.2525004315768247,25.68062967841139,,
6269.5,110952.45,118.05605430630641,114.0,-7.107160099099101,-5.736185890059553,0.9012496619989985,15.711653688922583,,
6314.5,111748.94999999998,119.38662690384623,115.0,-7.717872596153844,-6.352168471153845,0.7415820090167681,11.67447010236589,,
6356.5,112492.35,120.62718394444441,116.0,-8.232428888888885,-6.8726861332070674,0.670449856930634,9.755281180253398,,
6396.5,113200.34999999999,121.80726877604165,117.0,-8.716038661458335,-7.364055181458335,0.6874315295725213,9.334958968034055,,
6435.0,113881.79999999999,122.94495321390376,118.0,-9.223636433155079,-7.880453918869365,0.7605426018881326,9.650999926121644,,
6472.5,114545.55,124.05045911413045,119.0,-9.76424308695652,-8.429969236381808,0.8320879969273403,9.870593516951875,,
6509.5,115200.45,125.14171214285709,120.0,-10.249012884615386,-8.924187804155617,0.7682949799455727,8.609130565224213,,
6545.5,115837.65,126.2036812166666,121.0,-10.583414011111113,-9.266984011111115,0.5465512342172815,5.897832925598733,,
6581.5,116474.85,127.26577001123596,122.0,-10.793813882022475,-9.486399257745019,0.29772144351874397,3.138403048719187,,
6617.0,117103.20000000001,128.31346021468923,123.0,-10.88210071751413,-9.584137746415864,0.17377366480627712,1.813138222802176,,
6652.5,117731.55,129.36098203977278,124.0,-10.862544159090909,-9.574273361403048,0.1538755192175877,1.6071769982869828,,
6687.5,118351.05,130.3937471954022,125.0,-10.827357994252871,-9.547848069834266,0.09628449243050813,1.008441815645475,,
6722.5,118970.55,131.4265910057471,126.0,-10.86772604597701,-9.598213768520363,0.1239607699956161,1.2914983244296463,,
6757.5,119590.05,132.45899716091952,127.0,-10.942715672413788,-9.682382189855648,0.12861849223700758,1.3283765267163568,,
6792.0,120200.69999999998,133.47636089017337,128.0,-11.017333306358376,-9.765238902849603,0.12149008440445996,1.2441076517749898,,
6827.0,120820.19999999998,134.50904537572262,129.0,-11.0885044566474,-9.846478468343307,0.11258589099104746,1.1434127576982382,,
6861.0,121422.0,135.51226173988434,130.0,-11.15379812138729,-9.920574917898918,0.10371834055433737,1.045487196182617,,
6895.5,122032.65000000001,136.53022144767442,131.0,-11.216512633720937,-9.991178516761872,0.09943295653706179,0.9952074859862267,,
6930.5,122652.15000000001,137.56302099418608,132.0,-11.275823889534879,-10.059164018189849,0.09803781229603138,0.9746119271815327,,
6964.5,123253.95,138.56647897674415,133.0,-11.330921168604647,-10.124173402522775,0.09435866845245533,0.9320135550912505,,
6999.0,123864.6,139.58423480701757,134.0,-11.385029742690058,-10.186345076023391,0.08940396276082904,0.8776844107830982,,
7033.0,124466.4,140.58715182456137,135.0,-11.436726426900584,-10.247669678362573,0.08601203573950164,0.8393326330679025,,
7067.0,125068.2,141.5900582280701,136.0,-11.485330742690062,-10.304683415204682,0.08252269978701138,0.800827123570319,,
7102.0,125687.7,142.62233218713442,137.0,-11.533727649122804,-10.361798467836254,0.08130976528156025,0.7847070712092254,,
7136.0,126289.5,143.62532512865488,138.0,-11.579865625730996,-10.416992116959065,0.08121831677336738,0.7796714815704083,,
7170.0,126891.3,144.62838781871338,139.0,-11.625277807017543,-10.470356736842104,0.07722778757168308,0.7375850652723343,,
7204.0,127493.09999999999,145.63137218713445,140.0,-11.667373163742688,-10.521612781389747,0.07569244396456973,0.7193996351818974,,
7238.0,128094.9,146.6341456608187,141.0,-11.70167656725146,-10.566057696663226,0.06406914224059743,0.6063675221159406,,
7272.5,128705.55,147.65205471764705,142.0,-11.717653952941173,-10.590678952941174,0.04781427531042957,0.4514750708891133,,
7306.5,129307.35,148.65520612352938,143.0,-11.69018664705882,-10.57083904705882,0.1028670333258309,0.9731207983386345,,
7340.5,129909.15,149.65832807058823,144.0,-11.569682952941177,-10.460852782352942,0.27177335693684157,2.5980038395656693,,
