T(K),X,m,cp(J/gK),cpm(J/molK),cpm2(J/molK)
201.33,0.5883,83.90306624,3.694472,64.3684288,64.41681745
207.3,0.5883,83.90306624,3.753048,65.38899279,65.43814864
213.72,0.5883,83.90306624,3.803256,66.26376192,66.31357538
220.14,0.5883,83.90306624,3.866016,67.35722334,67.4078588
226.42,0.5883,83.90306624,3.920408,68.3048899,68.35623777
232.63,0.5883,83.90306624,3.978984,69.32545389,69.37756896
238.82,0.5883,83.90306624,4.033376,70.27312046,70.32594793
245.09,0.5883,83.90306624,4.087768,71.22078702,71.27432689
251.46,0.5883,83.90306624,4.146344,72.24135101,72.29565809
257.91,0.5883,83.90306624,4.20492,73.261915,73.31698928
