index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6001,101400.0,107.323737,107.769034,-0.068002,0.415987,
6002,101416.9,107.322745,107.767233,-0.075278,0.41737199999999997,
6003,101433.8,107.321921,107.765601,-0.073698,0.412468,
6004,101450.7,107.320303,107.764487,-0.068637,0.417537,
6005,101467.6,107.31925,107.7629,-0.065475,0.421017,
6006,101484.5,107.318961,107.761191,-0.060099,0.426401,
6007,101501.4,107.317725,107.759848,-0.060099,0.433519,
6008,101518.3,107.317038,107.759116,-0.063263,0.429127,
6009,101535.2,107.315985,107.757086,-0.064529,0.42385,
6010,101552.1,107.315588,107.755377,-0.072754,0.426143,
6011,101569.0,107.315009,107.75408,-0.073704,0.420255,
6012,101585.9,107.314352,107.752707,-0.073388,0.41718,
6013,101602.8,107.313528,107.751303,-0.068961,0.426251,
6014,101619.7,107.3133,107.749976,-0.063267,0.43720699999999996,
6015,101636.6,107.31301,107.748099,-0.06137,0.433549,
6016,101653.5,107.311438,107.747061,-0.063901,0.419588,
6017,101670.4,107.311224,107.745825,-0.061688,0.422738,
6018,101687.3,107.310721,107.743979,-0.062954,0.430751,
6019,101704.2,107.310232,107.743246,-0.066434,0.42419,
6020,101721.1,107.310278,107.741827,-0.069598,0.432163,
6021,101738.0,107.309759,107.740088,-0.07561,0.424615,
6022,101754.9,107.309271,107.738806,-0.071182,0.426886,
6023,101771.8,107.308798,107.737784,-0.077826,0.415303,
6024,101788.7,107.308295,107.735953,-0.079409,0.410018,
6025,101805.6,107.307776,107.734335,-0.088268,0.40024,
6026,101822.5,107.307318,107.732932,-0.089851,0.393408,
6027,101839.4,107.306906,107.731467,-0.091434,0.402037,
6028,101856.3,107.306921,107.730216,-0.086689,0.41173699999999996,
6029,101873.2,107.306647,107.728705,-0.078464,0.42151700000000003,
6030,101890.1,107.306464,107.727896,-0.081628,0.41248399999999996,
6031,101907.0,107.306219,107.726462,-0.08416,0.41181599999999996,
6032,101923.9,107.306097,107.724997,-0.08954,0.39964099999999997,
6033,101940.8,107.305518,107.72428,-0.090806,0.393744,
6034,101957.7,107.305121,107.722525,-0.093022,0.391846,
6035,101974.6,107.305319,107.720633,-0.098403,0.392968,
6036,101991.5,107.305167,107.719229,-0.099986,0.386443,
6037,102008.4,107.304694,107.717978,-0.099037,0.383382,
6038,102025.3,107.304465,107.717139,-0.094292,0.391846,
6039,102042.2,107.304022,107.715811,-0.085749,0.39915999999999996,
6040,102059.1,107.303595,107.714774,-0.091762,0.397484,
6041,102076.0,107.303137,107.713095,-0.099674,0.39329200000000003,
6042,102092.9,107.30303,107.712241,-0.101573,0.38768899999999995,
6043,102109.8,107.302298,107.710638,-0.106637,0.390056,
6044,102126.7,107.301642,107.709052,-0.108537,0.389709,
6045,102143.6,107.300894,107.708167,-0.113601,0.381869,
6046,102160.5,107.299979,107.707281,-0.110121,0.383193,
6047,102177.4,107.299323,107.70545,-0.107591,0.394702,
6048,102194.3,107.298377,107.704031,-0.098415,0.405741,
6049,102211.2,107.297018,107.702414,-0.108226,0.384185,
6050,102228.1,107.296606,107.701956,-0.10791,0.369354,
6051,102245.0,107.295706,107.700339,-0.116456,0.370713,
6052,102261.9,107.294485,107.698584,-0.118672,0.377474,
6053,102278.8,107.293143,107.697852,-0.119306,0.38272399999999995,
6054,102295.7,107.292151,107.696433,-0.118991,0.38242899999999996,
6055,102312.6,107.291037,107.69512,-0.11741,0.379998,
6056,102329.5,107.289221,107.694098,-0.112347,0.37795599999999996,
6057,102346.4,107.288168,107.692755,-0.112981,0.377018,
6058,102363.3,107.286292,107.691412,-0.111083,0.376761,
6059,102380.2,107.28501,107.690451,-0.117097,0.373848,
6060,102397.1,107.283026,107.689108,-0.118681,0.36763,
6061,102414.0,107.28176,107.68746,-0.116784,0.372319,
6062,102430.9,107.280127,107.685782,-0.120899,0.372854,
6063,102447.8,107.278662,107.684195,-0.123749,0.37836499999999995,
6064,102464.7,107.276968,107.683386,-0.12375,0.377444,
6065,102481.6,107.274619,107.682272,-0.126916,0.36593200000000004,
6066,102498.5,107.273566,107.680792,-0.129133,0.35661,
6067,102515.4,107.271506,107.679816,-0.130717,0.353792,
6068,102532.3,107.26969,107.678152,-0.131984,0.356248,
6069,102549.2,107.268118,107.677145,-0.131036,0.36431899999999995,
6070,102566.1,107.266226,107.676474,-0.126922,0.36689499999999997,
